"SYMBOL 
","UNDERLYING ASSET 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","NAV 
","52W H 
","52W L 
","30D  %CHNG 
","365 D   %CHNG 
"
"SILVERBND","Commodity - Silver","252.55","269.90","252.55","251.93","264.00","-","12.07","4.79","1,11,523","2.89","254.10","269.90","180.00",36.91,"-"
"GROWWSLVR","Commodity-Silver","254.39","257.00","248.22","248.47","256.99","-","8.52","3.43","21,62,447","54.98","249.48","257.00","94.20",35.11,"-"
"SILVERIETF","Domestic Price of Silver","259.39","262.00","254.84","254.08","262.00","-","7.92","3.12","1,82,30,776","473.38","254.08","262.00","88.80",35.72,"186.51"
"HDFCSILVER","HDFC Silver ETF","249.39","252.49","244.51","244.43","251.79","-","7.36","3.01","1,71,08,287","427.52","243.94","252.49","85.67",35.87,"186.67"
"TATSILV","Tata Silver Exchange Traded Fund","24.94","25.53","24.70","24.69","25.34","-","0.65","2.63","25,41,56,494","641.49","25.24","25.53","8.56",35.02,"186.86"
"SILVERCASE","Commodity-Silver","26.60","26.93","25.87","25.83","26.50","-","0.67","2.59","4,47,83,988","118.18","22.03","26.93","9.00",35.59,"-"
"ESILVER","Edelweiss Silver ETF","256.20","263.50","254.99","253.90","260.33","-","6.43","2.53","2,70,837","7.05","254.08","263.50","86.27",35.45,"184.25"
"SILVERBEES","Domestic price of Silver- based on LBMA Silver daily spot fixing price","246.60","251.40","243.79","243.35","249.45","-","6.10","2.51","12,24,80,487","3,046.21","243.52","251.40","77.55",35.51,"185.02"
"SILVERBETA","UTI Silver Exchange Traded Fund (UTI Silver ETF)","247.00","254.08","246.51","246.03","251.95","-","5.92","2.41","38,22,625","96.04","247.13","254.08","85.08",0,"-"
"HNGSNGBEES","Hang Seng Index","525.00","532.02","520.25","519.59","532.02","-","12.43","2.39","2,87,765","15.27","449.81","579.92","309.05",4.22,"65.66"
"SILVER360","Commodity-Silver","252.99","257.86","249.23","249.21","254.98","-","5.77","2.32","2,32,448","5.91","249.10","257.86","78.40",34.5,"-"
"SILVERAG","Mirae Asset Silver ETF","253.86","255.59","248.00","248.47","254.20","-","5.73","2.31","9,82,506","24.88","247.65","255.59","84.55",35.5,"-"
"SILVERADD","DSP Silver ETF","252.50","253.92","230.85","246.35","251.80","-","5.45","2.21","16,76,886","42.02","245.40","253.92","84.09",34.94,"185.86"
"AXISILVER","Axis Silver ETF","256.13","260.60","253.71","253.26","258.80","-","5.54","2.19","29,27,293","75.60","252.79","260.60","86.48",35.21,"185.07"
"SBISILVER","SBI SILVER ETF","251.45","257.72","249.27","249.68","255.00","-","5.32","2.13","73,30,579","186.61","249.10","257.72","86.00",35.02,"185.46"
"MOSILVER","Domestic Price of Physical Silver","255.69","258.54","252.20","251.92","257.00","-","5.08","2.02","5,97,013","15.34","251.28","258.54","112.32",34.96,"-"
"SILVER1","Kotak Silver ETF","254.38","256.70","247.57","248.61","253.50","-","4.89","1.97","42,05,140","106.34","246.94","256.70","85.87",35.49,"186.78"
"SILVER","Physical price of Silver","255.79","262.20","253.90","254.38","259.30","-","4.92","1.93","60,46,857","156.86","253.85","262.20","89.00",35.7,"186.34"
"IVZINGOLD","Gold","12,232.20","12,500.00","12,210.05","12,269.05","12,449.00","-","179.95","1.47","1,852","2.28","12,222.84","12,500.00","6,803.00",7.7,"82.26"
"EVIETF","Nifty EV & New Age Automotive ETF","31.20","31.50","30.77","31.05","31.50","-","0.45","1.45","1,52,390","0.47","31.02","33.75","23.56",-0.93,"-"
"PSUBANK","Nifty PSU Bank","873.97","874.50","863.56","862.47","874.50","-","12.03","1.39","1,53,131","13.30","863.60","896.02","552.00",6.01,"43.38"
