key_type,asset,tf,family,surprise,slot,direction,intensity,pretrend,n,fwd_15m_med,fwd_1h_med,fwd_4h_med,fwd_24h_med,cont_15m,cont_1h,cont_4h,cont_24h,adverse_med,adverse_worst
event,EURUSD,M15,ADP,up,other,dn,ALL,ALL,27,-0.4287,-0.2024,-1.0657,-0.4789,0.2963,0.4444,0.4444,0.4815,-6.9501,-23.6361
event,EURUSD,M15,ADP,down,other,up,ALL,ALL,25,-0.4281,0.0849,0.4526,-1.1285,0.4,0.56,0.56,0.48,-4.1247,-18.1961
event,EURUSD,M15,ADP,down,other,up,ALL,bull,16,-0.0865,0.1281,0.8035,-0.6452,0.4375,0.5625,0.625,0.5,-3.9724,-18.1961
event,EURUSD,M15,ADP,down,other,dn,ALL,ALL,15,0.2683,0.7558,-1.7637,1.8796,0.6,0.6667,0.2667,0.5333,-5.7712,-12.254
event,EURUSD,M15,ADP,up,other,dn,ALL,bull,15,-0.4287,-1.2191,-1.255,-1.2625,0.3333,0.3333,0.4,0.3333,-7.072,-23.6361
event,EURUSD,M15,ADP,big_up,other,dn,ALL,ALL,13,-0.9063,0.3698,-0.1183,1.9463,0.2308,0.6923,0.4615,0.7692,-3.0295,-17.6093
event,EURUSD,M15,ADP,up,other,dn,ALL,bear,12,-0.4171,0.2796,-0.4786,1.6911,0.25,0.5833,0.5,0.6667,-5.7062,-9.8716
event,EURUSD,M15,ADP,up,other,up,ALL,ALL,11,-0.5742,-0.1112,-0.5886,2.7809,0.3636,0.4545,0.4545,0.6364,-3.4333,-18.8819
event,EURUSD,M15,ADP,down,other,dn,ALL,bull,10,0.291,0.9357,-1.535,3.2557,0.6,0.7,0.3,0.7,-4.6629,-10.4499
event,EURUSD,M15,ADP,big_up,other,up,ALL,ALL,9,0.3008,0.0,0.9356,0.0747,0.6667,0.4444,0.7778,0.5556,-1.4306,-5.879
