tag,verdict,failed,note,n,net,avg,wr,pf,tr,ho,yrs_pos,maxdd,avg2x,avg3x
VCX gold W24 q0.25 rr3.0 stop2.0,PASS,,,730,119.3395,0.1635,0.3041,1.2316,65.2628,54.0767,11/19,-37.1491,0.119,0.0842
VCX gold W24 q0.25 rr2.0 stop1.5,PASS,,,905,132.0542,0.1459,0.3901,1.234,94.0721,37.9821,13/19,-15.4844,0.0779,0.009
VCX gold W24 q0.35 rr3.0 stop2.0,PASS,,,907,139.6401,0.154,0.3021,1.2176,78.3008,61.3393,13/19,-42.2172,0.122,0.0803
VCX gold W24 q0.35 rr2.0 stop1.5,PASS,,,1140,147.1671,0.1291,0.3842,1.2051,105.4759,41.6912,14/19,-23.2632,0.065,0.0074
VCX gold W48 q0.25 rr3.0 stop2.0,PASS,,,530,71.583,0.1351,0.2962,1.1891,44.557,27.026,11/19,-26.9624,0.0921,0.0506
VCX gold W48 q0.25 rr2.0 stop1.5,PASS,,,599,90.1489,0.1505,0.3907,1.242,75.1208,15.028,14/19,-23.9168,0.0746,0.0226
VCX gold W48 q0.35 rr3.0 stop2.0,PASS,,,663,54.3875,0.082,0.2821,1.1126,29.5025,24.885,12/19,-44.5192,0.0446,0.0104
VCX gold W48 q0.35 rr2.0 stop1.5,PASS,,,773,80.5834,0.1042,0.3752,1.1635,61.8328,18.7506,14/19,-49.5732,0.0359,-0.0175
VCX gold W96 q0.25 rr3.0 stop2.0,PASS,,,339,102.4114,0.3021,0.3392,1.4511,73.5522,28.8593,14/19,-20.563,0.2725,0.229
VCX gold W96 q0.25 rr2.0 stop1.5,PASS,,,394,56.8728,0.1443,0.3883,1.2314,41.4607,15.4121,14/19,-18.3219,0.1043,0.0807
VCX gold W96 q0.35 rr3.0 stop2.0,PASS,,,422,103.029,0.2441,0.3246,1.3574,68.2789,34.7502,14/19,-26.7763,0.2173,0.1751
VCX gold W96 q0.35 rr2.0 stop1.5,PASS,,,503,59.7698,0.1188,0.3797,1.1879,39.5734,20.1964,13/19,-26.1345,0.0856,0.0531
PULLBACK gold dip1 rr3.0 stop2.0,PASS,,,1238,101.0366,0.0816,0.2932,1.1142,28.4252,72.6114,10/19,-55.8716,0.0507,0.0335
PULLBACK gold dip1 rr2.0 stop1.5,reject,"avg>=floor,train+,2x_cost_avg>0",,1893,9.3934,0.005,0.3418,1.0074,-38.7067,48.1001,9/19,-77.4228,-0.0385,-0.0764
PULLBACK gold dip3 rr3.0 stop2.0,PASS,,,1239,104.0148,0.084,0.2938,1.1175,31.4034,72.6114,11/19,-55.8716,0.0531,0.0358
PULLBACK gold dip3 rr2.0 stop1.5,reject,"avg>=floor,train+,2x_cost_avg>0",,1894,11.3645,0.006,0.3421,1.0089,-36.7356,48.1001,9/19,-77.4228,-0.0374,-0.0753
MTF-DONCH gold N24 H4-gated rr2.0,PASS,,,1228,117.7452,0.0959,0.373,1.1508,54.5287,63.2164,13/19,-26.5041,0.0708,0.0357
MTF-DONCH gold N24 H4-gated rr3.0,PASS,,,1025,146.1042,0.1425,0.2995,1.2011,48.1293,97.9749,13/19,-44.9434,0.1207,0.0949
MTF-DONCH gold N48 H4-gated rr2.0,PASS,,,1024,78.2716,0.0764,0.3652,1.1188,43.3442,34.9274,12/19,-30.9836,0.0555,0.0264
MTF-DONCH gold N48 H4-gated rr3.0,PASS,,,870,103.8518,0.1194,0.292,1.1665,49.0293,54.8224,13/19,-28.5911,0.0867,0.0666
EXIT baseline DONCH96 fixed rr3 (deployed),PASS,,,911,125.7946,0.1381,0.2975,1.194,52.9924,72.8022,12/19,-33.9057,0.1001,0.0733
EXIT DONCH96 chandelier 3.0ATR (no target),PASS,,,766,147.9391,0.1931,0.3499,1.3666,90.0184,57.9207,14/19,-39.4739,0.1598,0.1276
EXIT DONCH96 chandelier 4.0ATR (no target),PASS,,,670,176.4744,0.2634,0.3507,1.44,112.6062,63.8682,15/19,-31.7366,0.2286,0.195
EXIT DONCH96 chandelier 5.0ATR (no target),PASS,,,615,207.6022,0.3376,0.3252,1.5283,160.8573,46.7449,13/19,-35.9776,0.3008,0.2654
EXIT DONCH96 trail3.0 + BE at +1R,PASS,,,795,154.167,0.1939,0.3157,1.4261,96.8664,57.3007,14/19,-32.1381,0.1612,0.1278
EXIT DONCH96 trail4.0 + BE at +1R,PASS,,,730,170.1793,0.2331,0.2808,1.497,113.423,56.7563,14/19,-26.9841,0.1993,0.1679
REGIME DONCH96 er_pctile>=0.5 trending,PASS,,,841,80.3224,0.0955,0.2866,1.1322,15.4263,64.8962,11/19,-47.3959,0.0625,0.0378
