ccy,family,scale,n
CAD,BOC_RATE,0.072383,156
CAD,CPI_MM,0.217874,357
CAD,CPI_YY,0.191843,92
CAD,EMP_CHANGE,153674.961112,235
CAD,GDP_MM,0.238752,234
CAD,HOUSING,20923.326045,234
CAD,OTHER,3814554917.284698,2422
CAD,RETAIL,0.992011,468
CAD,TRADE,1431778041.988449,235
CAD,UNRATE,0.379379,235
CHF,CPI_MM,0.167329,235
CHF,OTHER,7247.437547,936
CHF,PPI_MM,0.377712,235
CHF,SNB_RATE,0.080847,77
CHF,TRADE,989087911.770226,228
CHF,UNRATE,0.070609,235
EUR,CONF,1.510502,235
EUR,CPI_FLASH,0.249687,563
EUR,ECB_RATE,0.045665,188
EUR,GDP,0.054279,31
EUR,OTHER,1435285934.587584,10538
EUR,PMI_FLASH,1.844721,1338
EUR,PPI_MM,0.390473,235
EUR,RETAIL,0.711657,235
EUR,TRADE,4675319354.867802,233
EUR,UNRATE,0.114073,235
GBP,BOE_RATE,0.083111,194
GBP,CLAIMANT,33979.303718,234
GBP,CPI_YY,0.19245,468
GBP,GDP,0.203991,156
GBP,GDP_MM,0.664966,95
GBP,OTHER,1950142506.001364,6121
GBP,PMI_FLASH,2.763537,160
GBP,RETAIL,1.197762,234
GBP,UNRATE,0.116838,234
USD,ADP,428815.371156,233
USD,AHE,0.346589,234
USD,CLAIMS,123744.983088,1012
USD,CONF,5.140775,234
USD,CPI_MM,0.124108,466
USD,CPI_YY,0.138378,468
USD,CRUDE,4277781.431784,1017
USD,DURABLES,1.926512,468
USD,FOMC_RATE,0.040161,155
USD,GDP,0.505804,232
USD,HOMESALES,110169.449749,701
USD,HOUSING,70944.236031,463
USD,ISM_MFG,1.74121,235
USD,ISM_SVC,2.224378,235
USD,NFP,695669.743635,234
USD,OTHER,14435113426.384607,7764
USD,PCE_MM,0.070671,233
USD,PMI_FLASH,1.744563,320
USD,PPI_MM,0.315139,466
USD,RETAIL,0.986663,468
USD,TRADE,3885305875.445582,235
USD,UNRATE,0.451979,234
USD,UOM,2.831854,468
