id,family,symbol,tf,n,tpm,wr,rr_real,avg_r,net,tr,ho,n_ho,stress3x,verdict
GS01-XAUUSD-M15,GS01,XAUUSD,M15,33,0.56,27.3,3.0,0.0909,3.0,0.0,3.0,13,-16.0,REJECT
GS01-XAUUSD-H1,GS01,XAUUSD,H1,8,0.14,25.0,3.0,0.0,0.0,-2.0,2.0,2,-7.0,REJECT
GS01-XAGUSD-H1,GS01,XAGUSD,H1,23,0.12,4.3,3.0,-0.8261,-19.0,-17.0,-2.0,2,-19.0,REJECT
GS01-EURUSD-H1,GS01,EURUSD,H1,32,0.17,15.6,3.0,-0.375,-12.0,-8.0,-4.0,8,-13.0,REJECT
GS01-GBPUSD-H1,GS01,GBPUSD,H1,28,0.15,46.4,3.0,0.8571,24.0,25.0,-1.0,1,17.0,REJECT
GS01L-XAUUSD-M15,GS01L,XAUUSD,M15,360,6.15,26.1,2.71,-0.032,-11.5,-18.1,6.6,114,-39.3,REJECT
GS01L-XAUUSD-H1,GS01L,XAUUSD,H1,83,1.42,25.3,2.98,0.0073,0.6,-9.4,10.0,26,-6.5,REJECT
GS01L-XAUUSD-H4,GS01L,XAUUSD,H4,14,0.24,42.9,2.52,0.5073,7.1,1.1,6.0,6,11.1,WATCH
GS01L-EURUSD-H1,GS01L,EURUSD,H1,283,1.47,24.0,2.72,-0.1061,-30.0,-32.5,2.4,47,-35.5,REJECT
GS01L-GBPUSD-H1,GS01L,GBPUSD,H1,298,1.55,30.9,2.86,0.1915,57.1,49.0,8.1,41,50.5,DEPLOY-CANDIDATE
GS02-XAUUSD-M15,GS02,XAUUSD,M15,10,0.17,50.0,1.55,0.223,2.2,2.2,0.0,0,1.7,REJECT
GS02-XAUUSD-H1,GS02,XAUUSD,H1,1,0.02,0.0,0.0,-1.0,-1.0,-1.0,0.0,0,-1.0,REJECT
GS02-XAGUSD-H1,GS02,XAGUSD,H1,8,0.04,12.5,2.65,-0.4255,-3.4,-1.4,-2.0,2,-3.6,REJECT
GS02-EURUSD-H1,GS02,EURUSD,H1,7,0.04,28.6,1.57,-0.2647,-1.9,-3.2,1.3,2,-2.0,REJECT
GS02-GBPUSD-H1,GS02,GBPUSD,H1,9,0.05,33.3,1.97,-0.0085,-0.1,-0.1,0.0,0,-0.3,REJECT
GS02T-XAUUSD-M15,GS02T,XAUUSD,M15,2586,44.15,31.4,2.05,-0.0395,-102.2,-83.2,-19.0,753,-260.1,REJECT
GS02T-XAUUSD-H1,GS02T,XAUUSD,H1,959,16.37,29.0,2.2,-0.0711,-68.2,0.1,-68.3,282,-113.7,REJECT
GS02T-XAUUSD-H4,GS02T,XAUUSD,H4,289,4.93,30.8,2.19,-0.0178,-5.1,8.1,-13.2,85,-11.3,REJECT
GS02T-XAGUSD-H1,GS02T,XAGUSD,H1,2930,15.92,31.8,1.67,-0.1504,-440.7,-390.8,-49.8,475,-528.6,REJECT
GS02T-EURUSD-H1,GS02T,EURUSD,H1,3357,17.45,30.2,2.26,-0.0138,-46.3,-63.2,16.9,531,-168.2,REJECT
GS02T-GBPUSD-H1,GS02T,GBPUSD,H1,3423,17.79,29.3,2.25,-0.049,-167.8,-149.7,-18.2,548,-333.4,REJECT
GS03-XAUUSD-M15,GS03,XAUUSD,M15,1023,17.47,44.5,1.2,-0.0137,-14.0,14.3,-28.3,310,-63.2,REJECT
GS03-EURUSD-M15,GS03,EURUSD,M15,921,19.15,44.2,1.13,-0.0438,-40.4,-12.1,-28.3,567,-86.5,REJECT
GS03-GBPUSD-M15,GS03,GBPUSD,M15,933,19.39,44.4,1.18,-0.0247,-23.0,-34.8,11.8,575,-55.5,REJECT
GS04-XAUUSD-D1,GS04,XAUUSD,D1,33,0.56,45.5,1.66,0.1136,3.8,0.7,3.0,11,3.7,WATCH
GS04-XAGUSD-D1,GS04,XAGUSD,D1,99,0.54,37.4,1.85,0.0307,3.0,-2.1,5.1,16,1.5,REJECT
GS04-EURUSD-D1,GS04,EURUSD,D1,116,0.6,32.8,1.61,-0.076,-8.8,-5.7,-3.1,21,-9.1,REJECT
GS04-GBPUSD-D1,GS04,GBPUSD,D1,115,0.6,32.2,1.67,-0.0794,-9.1,-8.4,-0.7,17,-9.4,REJECT
GS04-SPX500-D1,GS04,SPX500,D1,45,0.56,46.7,1.26,0.0354,1.6,0.2,1.4,13,1.3,WATCH
GS06-XAUUSD-M15,GS06,XAUUSD,M15,841,14.36,45.1,1.33,0.0499,41.9,11.5,30.4,239,-5.6,REJECT
