entry_time,exit_time,side,entry,exit,risk,r,bars,kind,ny_date,dur_h
2020-07-23 15:00:00-04:00,2020-07-23 16:00:00-04:00,-1,1888.78,1882.84,19.28,0.308,1,trail/stop,2020-07-23,1
2020-07-24 07:00:00-04:00,2020-07-24 08:00:00-04:00,-1,1890.46,1889.23,19.9,0.062,1,trail/stop,2020-07-24,1
2020-07-24 13:00:00-04:00,2020-07-24 14:00:00-04:00,-1,1900.36,1899.91,19.33,0.023,1,trail/stop,2020-07-24,1
2020-07-27 09:00:00-04:00,2020-07-27 10:00:00-04:00,-1,1931.76,1917.6,19.89,0.712,1,trail/stop,2020-07-27,1
2020-07-28 00:00:00-04:00,2020-07-28 05:00:00-04:00,-1,1943.26,1932.15,23.53,0.472,5,trail/stop,2020-07-28,5
2020-07-31 10:00:00-04:00,2020-07-31 11:00:00-04:00,-1,1967.22,1968.87,22.77,-0.072,1,trail/stop,2020-07-31,1
2020-08-05 09:00:00-04:00,2020-08-05 10:00:00-04:00,-1,2035.0,2011.75,21.37,1.088,1,trail/stop,2020-08-05,1
2020-08-06 05:00:00-04:00,2020-08-06 07:00:00-04:00,-1,2046.32,2052.66,24.26,-0.261,2,trail/stop,2020-08-06,2
2020-08-06 12:00:00-04:00,2020-08-06 13:00:00-04:00,-1,2057.75,2060.87,26.65,-0.117,1,trail/stop,2020-08-06,1
2020-08-14 03:00:00-04:00,2020-08-14 09:00:00-04:00,-1,1942.52,1955.18,38.54,-0.329,6,trail/stop,2020-08-14,6
2020-08-25 04:00:00-04:00,2020-08-25 05:00:00-04:00,1,1935.1,1938.13,23.62,0.128,1,trail/stop,2020-08-25,1
2020-08-25 15:00:00-04:00,2020-08-26 01:00:00-04:00,1,1928.74,1918.42,20.19,-0.511,9,trail/stop,2020-08-25,9
2020-08-26 10:00:00-04:00,2020-08-27 08:00:00-04:00,1,1935.38,1935.22,20.83,-0.008,21,trail/stop,2020-08-26,21
2020-09-01 10:00:00-04:00,2020-09-04 08:00:00-04:00,-1,1982.82,1944.01,19.89,1.952,67,trail/stop,2020-09-01,67
2020-09-10 03:00:00-04:00,2020-09-10 04:00:00-04:00,-1,1943.9,1938.51,18.79,0.287,1,trail/stop,2020-09-10,1
2020-09-10 13:00:00-04:00,2020-09-11 09:00:00-04:00,-1,1953.9,1954.22,19.13,-0.017,19,trail/stop,2020-09-10,19
2020-09-15 10:00:00-04:00,2020-09-16 01:00:00-04:00,-1,1955.98,1961.7,14.35,-0.399,14,trail/stop,2020-09-15,14
2020-09-16 14:00:00-04:00,2020-09-17 20:00:00-04:00,-1,1962.46,1949.46,14.19,0.916,28,trail/stop,2020-09-16,28
2020-09-24 04:00:00-04:00,2020-09-24 05:00:00-04:00,1,1860.92,1871.36,23.68,0.441,1,trail/stop,2020-09-24,1
2020-09-29 09:00:00-04:00,2020-09-29 10:00:00-04:00,-1,1884.04,1883.54,17.51,0.029,1,trail/stop,2020-09-29,1
2020-10-01 16:00:00-04:00,2020-10-01 18:00:00-04:00,-1,1903.74,1901.41,17.21,0.135,1,trail/stop,2020-10-01,1
2020-10-02 10:00:00-04:00,2020-10-02 11:00:00-04:00,-1,1902.8,1909.23,19.58,-0.329,1,trail/stop,2020-10-02,1
2020-10-06 11:00:00-04:00,2020-10-07 02:00:00-04:00,-1,1911.2,1888.31,14.65,1.563,14,trail/stop,2020-10-06,14
2020-10-11 21:00:00-04:00,2020-10-11 22:00:00-04:00,-1,1924.88,1920.05,14.31,0.338,1,trail/stop,2020-10-11,1
2020-10-20 06:00:00-04:00,2020-10-20 07:00:00-04:00,1,1906.22,1905.44,13.27,-0.059,1,trail/stop,2020-10-20,1
2020-10-21 08:00:00-04:00,2020-10-21 09:00:00-04:00,-1,1916.12,1911.4,13.78,0.342,1,trail/stop,2020-10-21,1
2020-10-21 14:00:00-04:00,2020-10-21 15:00:00-04:00,-1,1924.44,1920.66,14.5,0.261,1,trail/stop,2020-10-21,1
2020-10-26 03:00:00-04:00,2020-10-26 04:00:00-04:00,1,1900.42,1901.1,13.03,0.052,1,trail/stop,2020-10-26,1
2020-10-29 10:00:00-04:00,2020-10-29 11:00:00-04:00,1,1873.88,1870.66,14.17,-0.227,1,trail/stop,2020-10-29,1
2020-11-03 20:00:00-05:00,2020-11-03 21:00:00-05:00,-1,1899.68,1896.73,13.9,0.212,1,trail/stop,2020-11-03,1
2020-11-06 10:00:00-05:00,2020-11-06 14:00:00-05:00,-1,1941.7,1954.67,20.73,-0.625,4,trail/stop,2020-11-06,4
2020-11-23 04:00:00-05:00,2020-11-25 08:00:00-05:00,-1,1868.94,1815.65,13.53,3.939,50,trail/stop,2020-11-23,50
2020-12-01 22:00:00-05:00,2020-12-01 23:00:00-05:00,-1,1808.82,1800.78,17.53,0.458,1,trail/stop,2020-12-01,1
2020-12-02 08:00:00-05:00,2020-12-02 10:00:00-05:00,-1,1820.26,1821.66,16.47,-0.085,2,trail/stop,2020-12-02,2
