id,symbol,tf,variant,rr_plan,n,tpm,wr,rr_real,avg,net,tr,ho,stress3x,stress3x_status,plateau,verdict
MACDZ-PCO2-XAUUSD-M15-rr2,XAUUSD,M15,PCO2,2.0,181,0.871364858453266,33.14917127071823,1.9943245663918263,-0.00730074601105643,-1.321435028001214,-3.321435028001215,2.0,-7.5,Fail,1/2,FAIL
MACDZ-PCO2-XAUUSD-M15-rr3,XAUUSD,M15,PCO2,3.0,181,0.871364858453266,28.176795580110497,2.7690971410530767,0.06118881429040514,11.07517538656333,9.05749245973401,2.0176829268293215,3.3,Pass,2/2,PASS
MACDZ-HOOK-XAUUSD-M15-rr2,XAUUSD,M15,HOOK,2.0,6524,31.40764826822711,33.736971183323114,1.9316881399313244,-0.010844135127345212,-70.74713757080016,-133.5636664596468,62.81652888884665,-424.1,Fail,,FAIL
MACDZ-HOOK-XAUUSD-M15-rr3,XAUUSD,M15,HOOK,3.0,5726,27.565940218250834,27.26161369193154,2.6678850787173087,-7.45343454819016e-05,-0.4267836622293686,-112.99804822403385,112.57126456180444,-337.9,Fail,,FAIL
MACDZ-PCO2-XAUUSD-H1-rr2,XAUUSD,H1,PCO2,2.0,56,0.2695935473667563,35.714285714285715,1.9889345906902105,0.06747663953221807,3.778691813804212,5.0,-1.2213081861957884,3.7,Pass,1/2,FAIL
MACDZ-PCO2-XAUUSD-H1-rr3,XAUUSD,H1,PCO2,3.0,56,0.2695935473667563,32.142857142857146,2.9096473883352254,0.25048654135941234,14.02724631612709,15.248554502322879,-1.2213081861957884,9.9,Pass,2/2,FAIL
MACDZ-HOOK-XAUUSD-H1-rr2,XAUUSD,H1,HOOK,2.0,1922,9.252835679266171,34.495317377731524,1.9593336667330192,0.020715719251208284,39.815612400822324,11.907520062745554,27.908092338076766,-22.7,Fail,,FAIL
MACDZ-HOOK-XAUUSD-H1-rr3,XAUUSD,H1,HOOK,3.0,1667,8.025222204649692,27.534493101379727,2.8022324444931628,0.04653291398400913,77.57036761134323,41.30030126925128,36.270066342091965,-13.1,Fail,,FAIL
MACDZ-PCO2-XAGUSD-M15-rr2,XAGUSD,M15,PCO2,2.0,57,1.1237564766839379,31.57894736842105,1.8282077850446912,-0.10442503782605145,-5.952227156084932,-6.70864389233952,0.7564167362545895,-8.1,Fail,1/2,FAIL
MACDZ-PCO2-XAGUSD-M15-rr3,XAGUSD,M15,PCO2,3.0,57,1.1237564766839379,28.07017543859649,2.508501604373413,-0.01482604033231727,-0.8450842989420844,-3.8515010351966197,3.006416736254536,-9.5,Fail,1/2,FAIL
MACDZ-HOOK-XAGUSD-M15-rr2,XAGUSD,M15,HOOK,2.0,1463,28.843082901554403,30.416951469583047,1.8592092131279754,-0.12867124285921305,-188.24602830302868,-135.04636553144485,-53.19966277158383,-259.8,Fail,,FAIL
MACDZ-HOOK-XAGUSD-M15-rr3,XAGUSD,M15,HOOK,3.0,1305,25.728108808290155,24.367816091954023,2.4822575637969115,-0.1496376335788387,-195.2771118203845,-144.28776355537843,-50.98934826500604,-250.7,Fail,,FAIL
MACDZ-PCO2-XAGUSD-H1-rr2,XAGUSD,H1,PCO2,2.0,50,0.27173718978753797,22.0,1.6450227736020522,-0.40822960543266523,-20.411480271633263,-19.411480271633263,-1.0,-28.5,Fail,0/2,FAIL
MACDZ-PCO2-XAGUSD-H1-rr3,XAGUSD,H1,PCO2,3.0,50,0.27173718978753797,18.0,1.9434511039537214,-0.4596256335203741,-22.981281676018707,-21.981281676018707,-1.0,-34.8,Fail,0/2,FAIL
MACDZ-HOOK-XAGUSD-H1-rr2,XAGUSD,H1,HOOK,2.0,1527,8.29885377611141,29.273084479371313,1.891552837905364,-0.1519205633773099,-231.9827002771522,-235.90683177220745,3.9241314950552892,-277.3,Fail,,FAIL
MACDZ-HOOK-XAGUSD-H1-rr3,XAGUSD,H1,HOOK,3.0,1344,7.304295661489021,24.107142857142858,2.58635074414663,-0.13419805163334905,-180.36218139522114,-189.4212878567331,9.059106461511972,-205.0,Fail,,FAIL
