id,title,currency,date,impact,forecast,previous,actual,all_day,tentative
,Bank Holiday,JPY,2017-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,CNY,2017-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,AUD,2017-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,NZD,2017-01-01T00:00:00Z,None,,,,true,false
,Bank Holiday,CHF,2017-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,GBP,2017-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,CAD,2017-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,USD,2017-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,NZD,2017-01-02T00:00:00Z,None,,,,true,false
,Bank Holiday,JPY,2017-01-02T00:00:00Z,None,,,,true,false
,Spanish Manufacturing PMI,EUR,2017-01-02T03:15:00Z,None,54.6,54.5,55.3,false,false
,Italian Manufacturing PMI,EUR,2017-01-02T03:45:00Z,None,52.3,52.2,53.2,false,false
,French Final Manufacturing PMI,EUR,2017-01-02T03:50:00Z,None,53.5,53.5,53.5,false,false
,German Final Manufacturing PMI,EUR,2017-01-02T03:55:00Z,None,55.5,55.5,55.6,false,false
,Final Manufacturing PMI,EUR,2017-01-02T04:00:00Z,None,54.9,54.9,54.9,false,false
,AIG Manufacturing Index,AUD,2017-01-02T17:30:00Z,None,,54.2,55.4,false,false
,RatingDog Manufacturing PMI,CNY,2017-01-02T20:45:00Z,High,50.9,50.9,51.9,false,false
,German Prelim CPI m/m,EUR,2017-01-03T00:00:00Z,None,0.6%,0.1%,0.7%,true,false
,Commodity Prices y/y,AUD,2017-01-03T00:33:00Z,None,,28.7%,45.5%,false,false
,French Prelim CPI m/m,EUR,2017-01-03T02:45:00Z,None,0.5%,0.0%,0.3%,false,false
,Manufacturing PMI,CHF,2017-01-03T03:30:00Z,None,56.1,56.6,56.0,false,false
,German Unemployment Change,EUR,2017-01-03T03:55:00Z,None,-5K,-6K,-17K,false,false
,Final Manufacturing PMI,GBP,2017-01-03T04:30:00Z,High,53.3,53.6,56.1,false,false
,GDT Price Index,NZD,2017-01-03T09:09:00Z,High,,-0.5%,-3.9%,false,false
,Manufacturing PMI,CAD,2017-01-03T09:30:00Z,None,,51.5,51.8,false,false
,Final Manufacturing PMI,USD,2017-01-03T09:45:00Z,None,54.2,54.2,54.3,false,false
,ISM Manufacturing Prices,USD,2017-01-03T10:00:00Z,None,55.6,54.5,65.5,false,false
,Construction Spending m/m,USD,2017-01-03T10:00:00Z,None,0.5%,0.6%,0.9%,false,false
,ISM Manufacturing PMI,USD,2017-01-03T10:00:00Z,High,53.7,53.2,54.7,false,false
,BRC Shop Price Index y/y,GBP,2017-01-03T19:01:00Z,None,,-1.7%,-1.4%,false,false
,Final Manufacturing PMI,JPY,2017-01-03T19:30:00Z,None,51.9,51.9,52.4,false,false
,Total Vehicle Sales,USD,2017-01-04T00:00:00Z,None,17.8M,17.9M,18.4M,true,false
,Omdia Total Vehicle Sales,USD,2017-01-04T00:00:00Z,None,17.7M,17.6M,18.3M,true,false
,Spanish Unemployment Change,EUR,2017-01-04T03:00:00Z,None,-44.2K,24.8K,-86.8K,false,false
,Spanish Services PMI,EUR,2017-01-04T03:15:00Z,None,54.8,55.1,55.0,false,false
,Italian Services PMI,EUR,2017-01-04T03:45:00Z,None,52.7,53.3,52.3,false,false
,French Final Services PMI,EUR,2017-01-04T03:50:00Z,None,52.6,52.6,52.9,false,false
,German Final Services PMI,EUR,2017-01-04T03:55:00Z,None,53.8,53.8,54.3,false,false
,Final Services PMI,EUR,2017-01-04T04:00:00Z,None,53.1,53.1,53.7,false,false
,Mortgage Approvals,GBP,2017-01-04T04:30:00Z,None,69K,67K,68K,false,false
,M4 Money Supply m/m,GBP,2017-01-04T04:30:00Z,None,1.4%,1.1%,0.4%,false,false
