ny_date,ist_time,side,r
2010-06-02,2010-06-03 06:30:00+05:30,1,-1.0
2010-06-08,2010-06-08 21:30:00+05:30,1,-1.0
2010-06-20,2010-06-21 03:30:00+05:30,1,-1.0
2010-07-05,2010-07-06 06:30:00+05:30,-1,-1.0
2010-08-04,2010-08-04 20:30:00+05:30,-1,-1.0
2010-08-23,2010-08-23 20:30:00+05:30,-1,-1.0
2010-08-27,2010-08-27 21:30:00+05:30,1,-1.0
2011-05-30,2011-05-31 04:30:00+05:30,1,3.0
2011-06-08,2011-06-08 16:30:00+05:30,-1,3.0
2011-10-30,2011-10-31 07:30:00+05:30,-1,3.0
2011-12-28,2011-12-28 20:30:00+05:30,-1,3.0
2012-02-23,2012-02-23 12:30:00+05:30,1,3.0
2012-03-19,2012-03-19 20:30:00+05:30,1,-1.0
2012-12-18,2012-12-18 16:30:00+05:30,1,3.0
2013-01-22,2013-01-22 10:30:00+05:30,1,-1.0
2013-02-07,2013-02-07 14:30:00+05:30,1,-1.0
2013-03-11,2013-03-11 23:30:00+05:30,1,-1.0
2013-05-16,2013-05-16 18:30:00+05:30,1,-1.0
2013-05-27,2013-05-28 06:30:00+05:30,-1,-1.0
2013-06-19,2013-06-20 00:30:00+05:30,-1,3.0
2013-08-30,2013-08-30 19:30:00+05:30,-1,3.0
2013-11-05,2013-11-05 14:30:00+05:30,-1,-1.0
2013-11-29,2013-11-29 23:30:00+05:30,-1,-1.0
2014-02-18,2014-02-18 14:30:00+05:30,1,-1.0
2014-04-20,2014-04-21 02:30:00+05:30,-1,-1.0
2014-04-27,2014-04-28 06:30:00+05:30,-1,-1.0
2014-05-06,2014-05-06 13:30:00+05:30,1,-1.0
2014-05-13,2014-05-13 15:30:00+05:30,-1,3.0
2014-05-15,2014-05-15 13:30:00+05:30,-1,-1.0
2014-07-17,2014-07-17 20:30:00+05:30,-1,-1.0
2014-07-24,2014-07-24 12:30:00+05:30,-1,-1.0
2014-09-08,2014-09-08 23:30:00+05:30,-1,-1.0
2014-11-03,2014-11-04 09:30:00+05:30,1,-1.0
2014-12-19,2014-12-19 22:30:00+05:30,-1,0.576046959873812
2015-01-27,2015-01-27 14:30:00+05:30,1,-1.0
2015-05-25,2015-05-26 06:30:00+05:30,-1,-1.0
2015-07-03,2015-07-03 22:30:00+05:30,-1,-1.0
2015-11-06,2015-11-06 19:30:00+05:30,-1,-1.0
2015-11-27,2015-11-27 12:30:00+05:30,1,-1.0
2016-01-19,2016-01-19 13:30:00+05:30,-1,-1.0
2016-03-28,2016-03-28 18:30:00+05:30,1,3.0
2016-04-08,2016-04-08 20:30:00+05:30,1,-1.0
2016-07-19,2016-07-19 17:30:00+05:30,-1,1.9151207793940321
2016-07-27,2016-07-28 00:30:00+05:30,1,3.0
2016-08-09,2016-08-09 19:30:00+05:30,1,3.0
2016-09-06,2016-09-06 20:30:00+05:30,1,3.0
2016-12-26,2016-12-27 07:30:00+05:30,-1,-1.0
2017-02-20,2017-02-21 06:30:00+05:30,-1,3.0
2017-04-16,2017-04-17 04:30:00+05:30,-1,-1.0
2017-04-25,2017-04-25 12:30:00+05:30,1,0.17380952380950015
2017-05-29,2017-05-30 03:30:00+05:30,-1,-1.0
2017-06-02,2017-06-02 18:30:00+05:30,1,-1.0
2017-08-07,2017-08-08 07:30:00+05:30,1,-1.0
2017-09-05,2017-09-05 13:30:00+05:30,-1,-1.0
2017-09-20,2017-09-21 00:30:00+05:30,-1,-1.0
2017-10-09,2017-10-09 22:30:00+05:30,1,3.0
