ny_date,ist_time,side,r
2022-06-12,2022-06-13 03:45:00+05:30,-1,2.0
2022-06-15,2022-06-16 07:15:00+05:30,-1,2.0
2022-06-16,2022-06-17 05:45:00+05:30,-1,2.0
2022-06-19,2022-06-20 07:15:00+05:30,-1,-1.0
2022-06-21,2022-06-22 05:45:00+05:30,-1,2.0
2022-06-28,2022-06-29 06:00:00+05:30,1,-1.0
2022-06-29,2022-06-30 06:45:00+05:30,-1,-1.0
2022-06-30,2022-07-01 05:45:00+05:30,-1,2.0
2022-07-04,2022-07-05 04:45:00+05:30,1,-1.0
2022-07-05,2022-07-06 06:30:00+05:30,1,-1.0
2022-07-06,2022-07-07 08:15:00+05:30,1,2.0
2022-07-07,2022-07-08 06:30:00+05:30,1,-1.0
2022-07-11,2022-07-12 06:45:00+05:30,-1,2.0
2022-07-12,2022-07-13 07:00:00+05:30,-1,-1.0
2022-07-14,2022-07-15 07:30:00+05:30,1,-1.0
2022-07-17,2022-07-18 04:45:00+05:30,1,2.0
2022-07-18,2022-07-19 06:30:00+05:30,-1,-1.0
2022-07-19,2022-07-20 06:00:00+05:30,1,-1.0
2022-07-20,2022-07-21 07:30:00+05:30,1,-1.0
2022-07-26,2022-07-27 05:45:00+05:30,1,-1.0
2022-07-29,2022-07-29 09:30:00+05:30,1,2.0
2022-08-01,2022-08-02 06:15:00+05:30,1,-1.0
2022-08-03,2022-08-04 06:30:00+05:30,1,-1.0
2022-08-04,2022-08-05 05:45:00+05:30,-1,-1.0
2022-08-07,2022-08-08 05:45:00+05:30,-1,-1.0
2022-08-10,2022-08-11 07:00:00+05:30,-1,-1.0
2022-08-15,2022-08-16 05:45:00+05:30,-1,2.0
2022-08-16,2022-08-17 06:30:00+05:30,1,-1.0
2022-08-17,2022-08-18 09:15:00+05:30,-1,2.0
2022-08-18,2022-08-19 05:45:00+05:30,-1,2.0
2022-08-21,2022-08-22 06:00:00+05:30,-1,-1.0
2022-08-22,2022-08-23 06:00:00+05:30,1,-1.0
2022-08-24,2022-08-25 06:00:00+05:30,1,2.0
2022-08-25,2022-08-26 06:30:00+05:30,-1,-1.0
2022-08-31,2022-09-01 05:00:00+05:30,-1,2.0
2022-09-05,2022-09-06 03:45:00+05:30,1,2.0
2022-09-06,2022-09-07 04:30:00+05:30,-1,2.0
2022-09-08,2022-09-09 05:45:00+05:30,1,2.0
2022-09-11,2022-09-12 02:45:00+05:30,1,2.0
2022-09-21,2022-09-21 20:15:00+05:30,-1,2.0
2022-09-22,2022-09-23 06:15:00+05:30,1,-1.0
