ny_date,ist_time,side,r
2022-10-10,2022-10-10 15:30:00+05:30,1,-1.0
2022-10-13,2022-10-13 15:00:00+05:30,1,-1.0
2022-10-14,2022-10-14 14:30:00+05:30,-1,-1.0
2022-10-21,2022-10-21 14:00:00+05:30,-1,-1.0
2022-10-25,2022-10-25 15:00:00+05:30,-1,-1.0
2022-10-27,2022-10-27 17:00:00+05:30,1,-1.0
2022-10-31,2022-10-31 14:00:00+05:30,-1,-1.0
2022-11-02,2022-11-02 16:30:00+05:30,-1,-1.0
2022-11-03,2022-11-03 16:00:00+05:30,-1,-1.0
2022-11-10,2022-11-10 18:30:00+05:30,1,3.0
2022-11-14,2022-11-14 19:30:00+05:30,1,-1.0
2022-11-17,2022-11-17 14:30:00+05:30,-1,-1.0
2022-11-21,2022-11-21 18:00:00+05:30,1,-1.0
2022-11-23,2022-11-23 14:30:00+05:30,1,-1.0
2022-11-23,2022-11-23 18:30:00+05:30,-1,-1.0
2022-11-24,2022-11-24 15:30:00+05:30,1,-1.0
2022-11-30,2022-11-30 14:00:00+05:30,1,-1.0
2022-11-30,2022-11-30 18:30:00+05:30,-1,-1.0
2022-12-02,2022-12-02 18:30:00+05:30,-1,-1.0
2022-12-06,2022-12-06 15:00:00+05:30,-1,3.0
2022-12-12,2022-12-12 15:00:00+05:30,1,3.0
2022-12-14,2022-12-14 19:30:00+05:30,1,-1.0
2022-12-22,2022-12-22 15:00:00+05:30,-1,3.0
2022-12-23,2022-12-23 15:00:00+05:30,1,-1.0
2022-12-27,2022-12-27 18:30:00+05:30,-1,-1.0
2023-01-06,2023-01-06 18:30:00+05:30,1,-1.0
2023-01-11,2023-01-11 18:30:00+05:30,1,-1.0
2023-01-13,2023-01-13 16:30:00+05:30,-1,-1.0
2023-01-23,2023-01-23 18:00:00+05:30,1,-1.0
2023-01-27,2023-01-27 19:30:00+05:30,1,-1.0
2023-01-31,2023-01-31 13:30:00+05:30,-1,-1.0
2023-02-01,2023-02-01 18:30:00+05:30,-1,-1.0
2023-02-02,2023-02-02 17:00:00+05:30,-1,-1.0
2023-02-03,2023-02-03 18:30:00+05:30,-1,-1.0
2023-02-06,2023-02-06 13:00:00+05:30,-1,-1.0
2023-02-08,2023-02-08 21:00:00+05:30,-1,-1.0
2023-02-10,2023-02-10 15:00:00+05:30,-1,-1.0
2023-02-16,2023-02-16 17:00:00+05:30,-1,3.0
2023-02-20,2023-02-20 20:00:00+05:30,-1,3.0
2023-02-23,2023-02-23 19:30:00+05:30,1,-1.0
2023-02-24,2023-02-24 15:30:00+05:30,-1,3.0
2023-03-03,2023-03-03 15:00:00+05:30,1,3.0
2023-03-07,2023-03-07 17:00:00+05:30,-1,3.0
2023-03-08,2023-03-08 16:00:00+05:30,1,-1.0
2023-03-09,2023-03-09 18:30:00+05:30,1,-1.0
2023-03-14,2023-03-14 17:00:00+05:30,1,-1.0
2023-03-16,2023-03-16 15:00:00+05:30,-1,-1.0
2023-03-17,2023-03-17 14:00:00+05:30,1,-1.0
2023-03-17,2023-03-17 16:30:00+05:30,-1,3.0
2023-03-21,2023-03-21 15:00:00+05:30,1,-1.0
2023-04-06,2023-04-06 17:30:00+05:30,1,-1.0
2023-04-07,2023-04-07 18:30:00+05:30,1,-1.0
2023-04-11,2023-04-11 17:30:00+05:30,-1,-1.0
2023-04-14,2023-04-14 16:30:00+05:30,1,-1.0
2023-04-27,2023-04-27 16:30:00+05:30,1,-1.0
2023-05-01,2023-05-01 19:30:00+05:30,1,-1.0
2023-05-05,2023-05-05 16:00:00+05:30,1,3.0
2023-05-10,2023-05-10 13:30:00+05:30,-1,-1.0
2023-05-11,2023-05-11 17:00:00+05:30,-1,2.0658309883176313
2023-05-17,2023-05-17 15:30:00+05:30,1,3.0
2023-05-19,2023-05-19 17:00:00+05:30,1,-1.0
2023-05-19,2023-05-19 21:00:00+05:30,-1,2.1929411338395273
2023-06-05,2023-06-05 18:30:00+05:30,-1,3.0
2023-06-14,2023-06-14 19:00:00+05:30,-1,3.0
2023-06-15,2023-06-15 19:30:00+05:30,1,3.0
2023-06-16,2023-06-16 18:30:00+05:30,1,-1.0
2023-06-19,2023-06-19 19:30:00+05:30,-1,3.0
2023-06-28,2023-06-28 16:00:00+05:30,1,-1.0
2023-06-28,2023-06-28 19:00:00+05:30,-1,-1.0
2023-06-30,2023-06-30 14:30:00+05:30,1,3.0
2023-07-05,2023-07-05 12:00:00+05:30,-1,3.0
2023-07-07,2023-07-07 12:30:00+05:30,-1,-1.0
2023-07-17,2023-07-17 15:30:00+05:30,-1,-1.0
2023-07-18,2023-07-18 19:30:00+05:30,1,3.0
2023-07-21,2023-07-21 17:00:00+05:30,-1,-1.0
2023-07-25,2023-07-25 17:00:00+05:30,1,-1.0
2023-07-26,2023-07-26 15:30:00+05:30,-1,-1.0
2023-08-04,2023-08-04 17:00:00+05:30,-1,-1.0
2023-08-07,2023-08-07 19:30:00+05:30,1,-1.0
2023-08-09,2023-08-09 14:30:00+05:30,1,-1.0
2023-08-11,2023-08-11 18:30:00+05:30,-1,-1.0
2023-08-18,2023-08-18 15:00:00+05:30,-1,-1.0
2023-08-25,2023-08-25 16:00:00+05:30,1,-1.0
2023-08-28,2023-08-28 18:00:00+05:30,1,3.0
2023-08-31,2023-08-31 17:30:00+05:30,1,-1.0
2023-09-08,2023-09-08 12:00:00+05:30,1,-1.0
2023-09-12,2023-09-12 13:00:00+05:30,-1,-1.0
2023-09-14,2023-09-14 16:30:00+05:30,1,3.0
2023-09-15,2023-09-15 18:30:00+05:30,-1,3.0
2023-09-18,2023-09-18 17:30:00+05:30,-1,-1.0
2023-09-19,2023-09-19 15:00:00+05:30,1,-1.0
2023-09-27,2023-09-27 19:30:00+05:30,-1,3.0
2023-10-05,2023-10-05 15:00:00+05:30,-1,-1.0
2023-10-06,2023-10-06 16:00:00+05:30,1,-1.0
2023-10-11,2023-10-11 16:30:00+05:30,1,-1.0
2023-10-12,2023-10-12 15:30:00+05:30,1,-1.0
2023-10-16,2023-10-16 16:30:00+05:30,1,1.2059599775845702
2023-10-20,2023-10-20 18:00:00+05:30,-1,-1.0
2023-10-20,2023-10-20 20:00:00+05:30,-1,1.4189189189189984
2023-10-27,2023-10-27 16:30:00+05:30,-1,3.0
2023-11-01,2023-11-01 14:00:00+05:30,-1,-1.0
2023-11-02,2023-11-02 14:30:00+05:30,1,3.0
2023-11-03,2023-11-03 18:30:00+05:30,1,2.2411046202868725
2023-11-08,2023-11-08 16:00:00+05:30,1,-1.0
2023-11-14,2023-11-14 14:00:00+05:30,1,-1.0
2023-11-14,2023-11-14 18:30:00+05:30,1,3.0
2023-11-20,2023-11-20 14:30:00+05:30,1,-1.0
2023-11-23,2023-11-23 19:00:00+05:30,1,0.8888308493896865
2023-11-30,2023-11-30 15:30:00+05:30,1,3.0
2023-12-05,2023-12-05 16:30:00+05:30,-1,-1.0
2023-12-08,2023-12-08 15:00:00+05:30,1,-1.0
2023-12-11,2023-12-11 19:30:00+05:30,1,3.0
2023-12-13,2023-12-13 19:00:00+05:30,-1,-1.0
2023-12-14,2023-12-14 18:30:00+05:30,1,-1.0
2023-12-22,2023-12-22 18:30:00+05:30,1,-1.0
2023-12-26,2023-12-26 17:00:00+05:30,-1,-1.0
2023-12-27,2023-12-27 19:30:00+05:30,1,3.0
2023-12-29,2023-12-29 17:00:00+05:30,-1,3.0
2024-01-03,2024-01-03 15:00:00+05:30,-1,3.0
2024-01-10,2024-01-10 19:30:00+05:30,1,-1.0
2024-01-12,2024-01-12 13:00:00+05:30,1,-1.0
2024-01-18,2024-01-18 15:30:00+05:30,1,-1.0
2024-01-22,2024-01-22 18:30:00+05:30,1,-1.0
2024-01-24,2024-01-24 16:00:00+05:30,1,-1.0
2024-01-25,2024-01-25 16:30:00+05:30,-1,-1.0
2024-01-26,2024-01-26 17:00:00+05:30,1,3.0
2024-01-30,2024-01-30 19:30:00+05:30,1,-1.0
2024-02-01,2024-02-01 20:00:00+05:30,1,-1.0
2024-02-02,2024-02-02 17:00:00+05:30,1,-1.0
2024-02-02,2024-02-02 18:30:00+05:30,-1,-1.0
2024-02-06,2024-02-06 15:00:00+05:30,-1,-1.0
2024-02-08,2024-02-08 15:30:00+05:30,-1,-1.0
2024-02-12,2024-02-12 19:30:00+05:30,1,3.0
2024-02-13,2024-02-13 13:30:00+05:30,-1,3.0
2024-02-16,2024-02-16 18:30:00+05:30,-1,-1.0
2024-02-19,2024-02-20 04:00:00+05:30,-1,-1.0
2024-02-21,2024-02-21 19:30:00+05:30,-1,-1.0
2024-02-23,2024-02-23 17:00:00+05:30,1,-1.0
2024-02-27,2024-02-27 19:30:00+05:30,-1,3.0
2024-03-04,2024-03-04 16:00:00+05:30,-1,-1.0
2024-03-05,2024-03-05 18:00:00+05:30,-1,3.0
2024-03-08,2024-03-08 16:30:00+05:30,-1,-1.0
2024-03-11,2024-03-11 14:30:00+05:30,-1,-1.0
2024-03-12,2024-03-12 15:30:00+05:30,-1,-1.0
2024-03-13,2024-03-13 16:30:00+05:30,1,-1.0
2024-03-15,2024-03-15 15:00:00+05:30,1,-1.0
2024-03-15,2024-03-15 19:00:00+05:30,-1,-1.0
2024-03-18,2024-03-18 17:30:00+05:30,1,3.0
2024-03-20,2024-03-20 18:30:00+05:30,-1,-1.0
2024-03-21,2024-03-21 19:30:00+05:30,1,-1.0
2024-03-28,2024-03-28 18:30:00+05:30,1,-1.0
2024-04-01,2024-04-01 18:00:00+05:30,-1,3.0
2024-04-02,2024-04-02 17:30:00+05:30,-1,3.0
2024-04-03,2024-04-03 17:30:00+05:30,1,-1.0
2024-04-09,2024-04-09 13:30:00+05:30,-1,-1.0
2024-04-10,2024-04-10 18:00:00+05:30,1,-1.0
