ny_date,ist_time,side,r
2011-03-15,2011-03-15 09:30:00+05:30,-1,2.0
2011-05-16,2011-05-17 00:30:00+05:30,-1,-1.0
2011-05-31,2011-05-31 13:30:00+05:30,1,-1.0
2011-10-11,2011-10-11 14:30:00+05:30,-1,-1.0
2011-11-01,2011-11-01 14:30:00+05:30,-1,2.0
2012-01-27,2012-01-27 21:30:00+05:30,1,-1.0
2012-02-21,2012-02-21 11:30:00+05:30,1,2.0
2012-03-19,2012-03-19 20:30:00+05:30,1,-1.0
2012-06-14,2012-06-14 19:30:00+05:30,-1,-1.0
2012-06-25,2012-06-25 21:30:00+05:30,1,-1.0
2012-09-17,2012-09-17 23:30:00+05:30,-1,-1.0
2012-10-17,2012-10-17 21:30:00+05:30,1,-1.0
2012-11-12,2012-11-12 22:30:00+05:30,-1,-1.0
2012-11-20,2012-11-20 23:30:00+05:30,-1,-1.0
2013-02-19,2013-02-19 20:30:00+05:30,-1,2.0
2013-04-09,2013-04-09 11:30:00+05:30,1,2.0
2013-05-14,2013-05-14 15:30:00+05:30,-1,2.0
2013-06-18,2013-06-18 19:30:00+05:30,-1,2.0
2013-07-02,2013-07-02 20:30:00+05:30,-1,-1.0
2013-08-06,2013-08-06 19:30:00+05:30,-1,-1.0
2013-10-20,2013-10-21 08:30:00+05:30,1,2.0
2013-10-29,2013-10-29 13:30:00+05:30,-1,-1.0
2013-12-18,2013-12-19 00:30:00+05:30,1,-1.0
2014-01-22,2014-01-23 02:30:00+05:30,-1,-1.0
2014-07-14,2014-07-14 09:30:00+05:30,-1,2.0
2014-07-15,2014-07-15 20:30:00+05:30,-1,-1.0
2014-09-15,2014-09-16 07:30:00+05:30,1,-1.0
2014-10-12,2014-10-13 04:30:00+05:30,1,-1.0
2014-10-27,2014-10-28 03:30:00+05:30,-1,-1.0
2014-11-07,2014-11-07 10:30:00+05:30,-1,-1.0
2015-01-20,2015-01-20 14:30:00+05:30,1,-1.0
2015-01-28,2015-01-29 07:30:00+05:30,-1,2.0
2015-02-16,2015-02-17 08:30:00+05:30,-1,2.0
2015-03-18,2015-03-19 00:30:00+05:30,1,2.0
2015-04-08,2015-04-08 20:30:00+05:30,-1,2.0
2015-05-21,2015-05-21 18:30:00+05:30,-1,-1.0
2015-07-10,2015-07-10 21:30:00+05:30,1,-1.0
2015-11-06,2015-11-06 19:30:00+05:30,-1,2.0
2015-11-17,2015-11-17 22:30:00+05:30,-1,-1.0
2016-01-13,2016-01-13 20:30:00+05:30,1,-1.0
2016-02-09,2016-02-10 01:30:00+05:30,-1,-1.0
2016-02-14,2016-02-15 06:30:00+05:30,-1,2.0
2016-03-08,2016-03-08 20:30:00+05:30,-1,-1.0
2016-03-16,2016-03-17 00:30:00+05:30,1,2.0
2016-06-01,2016-06-01 22:30:00+05:30,-1,-1.0
2016-06-03,2016-06-03 12:30:00+05:30,1,2.0
2016-06-23,2016-06-23 13:30:00+05:30,1,-1.0
2016-07-12,2016-07-12 22:30:00+05:30,-1,-1.0
2016-07-27,2016-07-27 19:30:00+05:30,1,-1.0
2016-10-11,2016-10-11 16:30:00+05:30,-1,0.32479249368458785
2016-11-24,2016-11-25 07:30:00+05:30,-1,-1.0
2016-12-13,2016-12-13 21:30:00+05:30,-1,-1.0
2017-01-09,2017-01-09 22:30:00+05:30,1,0.34069791451581066
2017-01-17,2017-01-17 11:30:00+05:30,1,2.0
2017-01-24,2017-01-24 20:30:00+05:30,1,-1.0
2017-02-19,2017-02-20 07:30:00+05:30,-1,-1.0
2017-02-27,2017-02-27 22:30:00+05:30,1,-1.0
2017-11-24,2017-11-24 17:30:00+05:30,-1,-1.0
2018-01-29,2018-01-29 18:30:00+05:30,-1,1.6866028708134218
2018-02-02,2018-02-02 19:30:00+05:30,-1,2.0
2018-02-19,2018-02-20 07:30:00+05:30,-1,-1.0
2018-02-23,2018-02-23 20:30:00+05:30,-1,-1.0
2018-05-29,2018-05-29 12:30:00+05:30,-1,-1.0
2018-08-14,2018-08-15 08:30:00+05:30,-1,2.0
2018-08-17,2018-08-18 00:30:00+05:30,1,-1.0
