ny_date,ist_time,side,r
2010-08-03,2010-08-03 13:30:00+05:30,1,-1.0
2010-09-01,2010-09-01 17:30:00+05:30,1,-1.0
2010-09-14,2010-09-14 21:30:00+05:30,1,2.0
2010-12-30,2010-12-30 21:30:00+05:30,1,-1.0
2011-02-04,2011-02-04 21:30:00+05:30,-1,-1.0
2011-02-14,2011-02-14 17:30:00+05:30,-1,-1.0
2011-02-23,2011-02-23 13:30:00+05:30,1,2.0
2011-03-03,2011-03-03 21:30:00+05:30,1,-1.0
2011-04-06,2011-04-06 13:30:00+05:30,1,2.0
2011-04-10,2011-04-11 01:30:00+05:30,1,-1.0
2011-09-01,2011-09-01 13:30:00+05:30,-1,2.0
2011-09-05,2011-09-05 21:30:00+05:30,-1,-1.0
2011-09-06,2011-09-06 21:30:00+05:30,-1,-1.0
2011-11-23,2011-11-23 21:30:00+05:30,-1,-1.0
2011-12-12,2011-12-12 17:30:00+05:30,-1,2.0
2011-12-13,2011-12-14 01:30:00+05:30,-1,-1.0
2011-12-28,2011-12-28 21:30:00+05:30,-1,-1.0
2012-01-05,2012-01-05 17:30:00+05:30,-1,2.0
2012-01-08,2012-01-09 05:30:00+05:30,-1,-1.0
2012-01-13,2012-01-13 21:30:00+05:30,-1,-1.0
2012-01-19,2012-01-19 17:30:00+05:30,1,2.0
2012-01-25,2012-01-26 01:30:00+05:30,1,2.0
2012-02-23,2012-02-23 17:30:00+05:30,1,-1.0
2012-03-02,2012-03-02 21:30:00+05:30,-1,-1.0
2012-03-12,2012-03-12 09:30:00+05:30,-1,-1.0
2012-03-14,2012-03-14 13:30:00+05:30,-1,-1.0
2012-03-21,2012-03-21 09:30:00+05:30,1,-1.0
2012-03-26,2012-03-26 21:30:00+05:30,1,-1.0
2012-04-04,2012-04-04 17:30:00+05:30,-1,0.4228817468860393
2012-04-26,2012-04-26 13:30:00+05:30,1,-1.0
2012-05-04,2012-05-04 21:30:00+05:30,-1,2.0
2012-05-09,2012-05-09 21:30:00+05:30,-1,2.0
2012-05-15,2012-05-15 21:30:00+05:30,-1,2.0
2012-07-12,2012-07-12 13:30:00+05:30,-1,-1.0
2012-08-21,2012-08-21 13:30:00+05:30,1,2.0
2012-08-22,2012-08-23 01:30:00+05:30,1,1.213257348530262
2012-09-07,2012-09-07 13:30:00+05:30,1,2.0
2012-09-07,2012-09-07 21:30:00+05:30,1,2.0
2012-09-12,2012-09-12 17:30:00+05:30,1,2.0
2012-10-26,2012-10-26 17:30:00+05:30,-1,-1.0
2012-11-02,2012-11-02 21:30:00+05:30,-1,2.0
2012-11-09,2012-11-09 17:30:00+05:30,-1,-1.0
2012-11-19,2012-11-19 21:30:00+05:30,1,-1.0
2012-11-30,2012-11-30 13:30:00+05:30,1,-1.0
2012-12-14,2012-12-15 01:30:00+05:30,1,2.0
2013-01-01,2013-01-02 09:30:00+05:30,1,-1.0
2013-07-02,2013-07-03 01:30:00+05:30,-1,2.0
2013-07-05,2013-07-05 21:30:00+05:30,-1,-1.0
2013-07-24,2013-07-24 13:30:00+05:30,1,-1.0
2013-07-25,2013-07-26 01:30:00+05:30,1,-1.0
2013-08-08,2013-08-08 21:30:00+05:30,1,-1.0
2013-08-20,2013-08-20 21:30:00+05:30,1,-1.0
2013-08-29,2013-08-29 13:30:00+05:30,-1,2.0
2013-09-05,2013-09-05 21:30:00+05:30,-1,-1.0
2013-09-11,2013-09-11 21:30:00+05:30,1,2.0
2013-09-18,2013-09-19 01:30:00+05:30,1,1.4914125481948497
2013-10-02,2013-10-02 21:30:00+05:30,1,-1.0
2013-10-31,2013-10-31 17:30:00+05:30,-1,2.0
2013-12-05,2013-12-05 13:30:00+05:30,1,-1.0
2013-12-09,2013-12-10 01:30:00+05:30,1,-1.0
2014-02-10,2014-02-11 09:30:00+05:30,1,-1.0
2014-02-18,2014-02-18 17:30:00+05:30,1,-1.0
2014-02-26,2014-02-26 21:30:00+05:30,-1,-1.0
2014-02-28,2014-02-28 17:30:00+05:30,1,-1.0
2014-03-13,2014-03-13 13:30:00+05:30,1,-1.0
2014-03-19,2014-03-20 01:30:00+05:30,-1,2.0
2014-04-09,2014-04-10 01:30:00+05:30,1,-1.0
2014-04-21,2014-04-21 21:30:00+05:30,-1,-1.0
2014-04-28,2014-04-28 13:30:00+05:30,1,-1.0
2014-05-01,2014-05-01 13:30:00+05:30,1,-1.0
2014-05-06,2014-05-06 13:30:00+05:30,1,-1.0
2014-05-09,2014-05-09 21:30:00+05:30,-1,2.0
2014-05-15,2014-05-15 13:30:00+05:30,-1,-1.0
2014-05-23,2014-05-23 17:30:00+05:30,-1,2.0
2014-06-30,2014-06-30 13:30:00+05:30,1,-1.0
2014-07-15,2014-07-15 21:30:00+05:30,-1,2.0
2014-07-22,2014-07-22 17:30:00+05:30,-1,2.0
2014-07-29,2014-07-29 21:30:00+05:30,-1,-1.0
2014-08-05,2014-08-05 21:30:00+05:30,-1,-1.0
2015-07-19,2015-07-20 01:30:00+05:30,-1,-1.0
2015-07-27,2015-07-27 13:30:00+05:30,1,-1.0
2015-08-04,2015-08-05 01:30:00+05:30,-1,-1.0
2015-08-12,2015-08-12 13:30:00+05:30,1,-1.0
2015-08-20,2015-08-21 05:30:00+05:30,1,2.0
2015-08-24,2015-08-24 09:30:00+05:30,1,2.0
2015-09-11,2015-09-11 21:30:00+05:30,1,-1.0
2015-09-17,2015-09-18 01:30:00+05:30,1,-1.0
2015-09-22,2015-09-22 13:30:00+05:30,-1,-1.0
2015-10-09,2015-10-09 13:30:00+05:30,1,2.0
2015-10-22,2015-10-22 21:30:00+05:30,-1,2.0
2015-10-28,2015-10-29 01:30:00+05:30,-1,-1.0
2015-11-04,2015-11-04 21:30:00+05:30,-1,2.0
2015-11-10,2015-11-10 21:30:00+05:30,-1,-1.0
2015-11-22,2015-11-23 09:30:00+05:30,-1,-1.0
2015-12-03,2015-12-03 21:30:00+05:30,1,2.0
2016-01-03,2016-01-04 05:30:00+05:30,-1,-1.0
2016-01-04,2016-01-04 21:30:00+05:30,-1,-1.0
2016-02-03,2016-02-03 21:30:00+05:30,1,2.0
2016-02-23,2016-02-23 17:30:00+05:30,-1,-1.0
2016-03-02,2016-03-02 21:30:00+05:30,-1,-1.0
2016-03-30,2016-03-30 13:30:00+05:30,1,2.0
2016-04-13,2016-04-13 21:30:00+05:30,-1,-1.0
2016-04-22,2016-04-23 01:30:00+05:30,-1,-1.0
2016-05-13,2016-05-13 13:30:00+05:30,-1,2.0
2016-05-18,2016-05-19 01:30:00+05:30,-1,2.0
2016-05-27,2016-05-28 01:30:00+05:30,-1,-1.0
2016-06-03,2016-06-03 21:30:00+05:30,1,-1.0
2016-07-28,2016-07-28 13:30:00+05:30,1,2.0
2016-08-02,2016-08-02 21:30:00+05:30,1,-1.0
2016-08-16,2016-08-16 13:30:00+05:30,1,-1.0
2016-08-26,2016-08-27 01:30:00+05:30,-1,-1.0
2016-09-08,2016-09-08 17:30:00+05:30,1,-1.0
2016-11-01,2016-11-01 17:30:00+05:30,1,2.0
2017-02-22,2017-02-22 13:30:00+05:30,-1,-1.0
2017-03-15,2017-03-16 05:30:00+05:30,1,2.0
2017-03-26,2017-03-27 05:30:00+05:30,1,-1.0
2017-03-30,2017-03-31 01:30:00+05:30,-1,2.0
2017-04-09,2017-04-10 05:30:00+05:30,-1,-1.0
2017-04-18,2017-04-18 17:30:00+05:30,1,2.0
2017-05-16,2017-05-16 13:30:00+05:30,1,2.0
2017-05-17,2017-05-17 21:30:00+05:30,1,-1.0
2017-06-27,2017-06-27 17:30:00+05:30,1,2.0
2017-06-28,2017-06-28 13:30:00+05:30,1,-1.0
2017-07-11,2017-07-12 01:30:00+05:30,1,-1.0
2017-11-14,2017-11-14 17:30:00+05:30,1,2.0
2017-11-15,2017-11-15 17:30:00+05:30,1,-1.0
2017-12-28,2017-12-28 13:30:00+05:30,1,2.0
2018-01-02,2018-01-02 13:30:00+05:30,1,-1.0
2018-04-10,2018-04-10 17:30:00+05:30,1,-1.0
2018-04-17,2018-04-17 13:30:00+05:30,1,-1.0
2018-04-20,2018-04-20 21:30:00+05:30,-1,2.0
2018-04-25,2018-04-25 17:30:00+05:30,-1,2.0
2018-07-18,2018-07-18 17:30:00+05:30,-1,-1.0
2018-08-02,2018-08-02 17:30:00+05:30,-1,2.0
2018-08-10,2018-08-10 13:30:00+05:30,-1,2.0
2018-10-24,2018-10-24 13:30:00+05:30,-1,2.0
2018-11-27,2018-11-27 21:30:00+05:30,-1,-1.0
2019-01-18,2019-01-18 21:30:00+05:30,-1,-1.0
2019-01-28,2019-01-28 21:30:00+05:30,1,-1.0
2019-02-06,2019-02-06 21:30:00+05:30,-1,2.0
2019-02-11,2019-02-11 21:30:00+05:30,-1,-1.0
2019-02-26,2019-02-27 01:30:00+05:30,1,-1.0
2019-03-05,2019-03-05 21:30:00+05:30,-1,2.0
2019-03-07,2019-03-08 01:30:00+05:30,-1,-1.0
2019-03-18,2019-03-18 13:30:00+05:30,1,2.0
2019-03-20,2019-03-21 01:30:00+05:30,1,-1.0
2019-03-26,2019-03-27 01:30:00+05:30,-1,-0.17777777777780956
2019-04-12,2019-04-12 09:30:00+05:30,1,-1.0
2019-04-23,2019-04-23 21:30:00+05:30,-1,2.0
2019-04-24,2019-04-25 01:30:00+05:30,-1,-1.0
2019-05-20,2019-05-20 09:30:00+05:30,-1,-1.0
2019-06-03,2019-06-04 01:30:00+05:30,1,-1.0
2019-07-24,2019-07-24 09:30:00+05:30,-1,-1.0
2019-11-05,2019-11-05 21:30:00+05:30,-1,2.0
2019-11-14,2019-11-14 17:30:00+05:30,-1,-1.0
2019-11-27,2019-11-27 21:30:00+05:30,-1,-1.0
