ny_date,ist_time,side,r
2012-12-06,2012-12-07 02:30:00+05:30,1,2.3552624609354296
2013-03-14,2013-03-15 02:30:00+05:30,1,-1.0
2013-10-29,2013-10-30 02:30:00+05:30,1,3.0
2016-12-20,2016-12-21 02:30:00+05:30,1,2.0780203882515242
2017-03-29,2017-03-30 02:30:00+05:30,1,-1.0
2017-04-24,2017-04-25 02:30:00+05:30,1,0.08425848472788859
2017-07-23,2017-07-24 02:30:00+05:30,-1,-0.937773587446961
2017-09-12,2017-09-12 14:30:00+05:30,1,0.39218339943275904
2017-09-27,2017-09-27 14:30:00+05:30,1,3.0
2017-10-01,2017-10-02 06:30:00+05:30,1,1.4632296185888183
2017-10-18,2017-10-18 18:30:00+05:30,1,-1.0
2017-10-26,2017-10-26 22:30:00+05:30,1,3.0
2017-11-03,2017-11-03 14:30:00+05:30,1,-1.0
2018-07-17,2018-07-17 22:30:00+05:30,1,-1.0
2018-07-26,2018-07-27 06:30:00+05:30,1,-1.0
2018-08-10,2018-08-10 14:30:00+05:30,-1,3.0
2018-08-27,2018-08-27 14:30:00+05:30,1,-1.0
2018-09-04,2018-09-04 14:30:00+05:30,-1,3.0
2018-09-06,2018-09-06 22:30:00+05:30,-1,-1.0
2018-09-18,2018-09-18 14:30:00+05:30,1,0.9069124589398757
2019-02-21,2019-02-21 10:30:00+05:30,1,0.5029719098203056
2019-03-15,2019-03-15 18:30:00+05:30,1,-1.0
2019-04-15,2019-04-16 06:30:00+05:30,1,3.0
2019-04-24,2019-04-24 18:30:00+05:30,1,-1.0
2019-05-06,2019-05-06 14:30:00+05:30,-1,-1.0
2019-07-03,2019-07-03 22:30:00+05:30,1,-1.0
2019-09-10,2019-09-10 22:30:00+05:30,1,-0.5009856989484751
2019-10-28,2019-10-28 18:30:00+05:30,1,-1.0
2019-11-03,2019-11-04 06:30:00+05:30,1,3.0
2019-11-07,2019-11-07 14:30:00+05:30,1,-1.0
2020-01-02,2020-01-03 02:30:00+05:30,1,-1.0
2020-01-22,2020-01-22 10:30:00+05:30,1,-1.0
2020-07-20,2020-07-20 18:30:00+05:30,1,-1.0
2020-07-30,2020-07-30 14:30:00+05:30,-1,-1.0
