ny_date,ist_time,side,r
2022-03-15,2022-03-16 01:30:00+05:30,1,3.0
2022-03-18,2022-03-18 16:30:00+05:30,-1,-1.0
2022-03-18,2022-03-18 23:00:00+05:30,1,-1.0
2022-03-21,2022-03-21 23:00:00+05:30,-1,-1.0
2022-03-22,2022-03-22 20:00:00+05:30,1,-1.0
2022-03-23,2022-03-23 17:30:00+05:30,-1,-1.0
2022-03-28,2022-03-28 13:00:00+05:30,1,-1.0
2022-03-29,2022-03-29 13:00:00+05:30,1,-1.0
2022-03-30,2022-03-31 01:00:00+05:30,-1,-1.0
2022-03-31,2022-03-31 19:00:00+05:30,-1,-0.29165690409246336
2022-04-05,2022-04-05 13:00:00+05:30,1,-1.0
2022-04-05,2022-04-05 20:00:00+05:30,-1,-1.0
2022-04-11,2022-04-11 11:00:00+05:30,-1,-1.0
2022-04-14,2022-04-14 10:30:00+05:30,1,-1.0
2022-04-19,2022-04-20 01:00:00+05:30,1,3.0
2022-04-21,2022-04-21 13:30:00+05:30,1,-1.0
2022-05-04,2022-05-05 00:00:00+05:30,1,-1.0
2022-05-04,2022-05-05 00:30:00+05:30,1,-1.0
2022-05-17,2022-05-17 11:30:00+05:30,1,-1.0
2022-05-18,2022-05-18 21:00:00+05:30,-1,3.0
2022-05-19,2022-05-19 13:00:00+05:30,-1,-1.0
2022-05-23,2022-05-23 11:30:00+05:30,1,-1.0
2022-05-24,2022-05-24 12:30:00+05:30,-1,-1.0
2022-05-24,2022-05-24 20:00:00+05:30,-1,-1.0
2022-05-26,2022-05-26 17:00:00+05:30,1,3.0
2022-05-27,2022-05-27 19:00:00+05:30,1,3.0
2022-05-30,2022-05-30 12:00:00+05:30,1,-1.0
2022-05-31,2022-05-31 18:00:00+05:30,-1,-1.0
2022-06-02,2022-06-02 21:00:00+05:30,1,3.0
2022-06-06,2022-06-06 20:30:00+05:30,1,-1.0
2022-06-07,2022-06-07 16:30:00+05:30,-1,-1.0
2022-06-08,2022-06-08 18:30:00+05:30,-1,3.0
2022-07-05,2022-07-05 14:00:00+05:30,-1,3.0
2022-07-05,2022-07-05 18:00:00+05:30,-1,-1.0
2022-07-07,2022-07-08 06:30:00+05:30,1,-1.0
2022-07-11,2022-07-12 06:30:00+05:30,-1,-1.0
2022-07-19,2022-07-19 19:30:00+05:30,1,3.0
2022-07-24,2022-07-25 07:30:00+05:30,-1,-1.0
2022-07-28,2022-07-29 01:00:00+05:30,1,3.0
2022-08-01,2022-08-01 17:00:00+05:30,1,-1.0
2022-08-01,2022-08-02 07:30:00+05:30,-1,-1.0
2022-08-03,2022-08-03 19:00:00+05:30,1,3.0
2022-08-04,2022-08-04 13:30:00+05:30,1,-1.0
2022-08-05,2022-08-05 18:30:00+05:30,-1,-1.0
2022-08-05,2022-08-05 21:00:00+05:30,-1,-1.0
2022-08-08,2022-08-08 13:00:00+05:30,1,-1.0
2022-08-08,2022-08-08 18:00:00+05:30,1,-1.0
2022-08-09,2022-08-09 15:30:00+05:30,-1,-1.0
2022-08-10,2022-08-10 18:30:00+05:30,1,3.0
2022-08-12,2022-08-12 23:30:00+05:30,1,-1.0
2022-08-16,2022-08-16 14:00:00+05:30,1,-1.0
2022-08-16,2022-08-16 23:30:00+05:30,1,-1.0
2022-08-19,2022-08-19 12:00:00+05:30,-1,-1.0
2022-09-12,2022-09-12 13:00:00+05:30,1,3.0
2022-09-16,2022-09-16 11:30:00+05:30,-1,3.0
2022-10-07,2022-10-07 12:00:00+05:30,-1,-1.0
2022-10-07,2022-10-07 18:30:00+05:30,-1,3.0
2022-10-18,2022-10-18 09:30:00+05:30,1,-1.0
2022-10-21,2022-10-21 13:30:00+05:30,-1,-1.0
