ny_date,ist_time,side,r
2020-11-17,2020-11-18 08:30:00+05:30,1,-1.0
2020-11-19,2020-11-19 13:30:00+05:30,-1,-1.0
2020-11-24,2020-11-24 13:00:00+05:30,1,3.0
2020-11-24,2020-11-25 06:00:00+05:30,1,-1.0
2020-11-26,2020-11-26 11:30:00+05:30,1,3.0
2020-12-02,2020-12-03 08:00:00+05:30,1,-1.0
2020-12-04,2020-12-04 13:00:00+05:30,1,-1.0
2020-12-08,2020-12-09 06:30:00+05:30,1,-1.0
2020-12-09,2020-12-09 21:30:00+05:30,-1,-1.0
2020-12-16,2020-12-16 13:00:00+05:30,1,-1.0
2020-12-17,2020-12-17 12:00:00+05:30,1,-1.0
2020-12-17,2020-12-18 10:00:00+05:30,-1,-1.0
2020-12-29,2020-12-29 19:30:00+05:30,1,3.0
2021-01-18,2021-01-19 04:30:00+05:30,1,3.0
2021-02-07,2021-02-08 05:00:00+05:30,1,-1.0
2021-02-09,2021-02-09 19:30:00+05:30,1,3.0
2021-02-09,2021-02-10 06:30:00+05:30,1,-1.0
2021-02-10,2021-02-11 08:30:00+05:30,1,3.0
2021-02-16,2021-02-17 10:00:00+05:30,1,-1.0
2021-03-17,2021-03-18 06:30:00+05:30,1,-1.0
2021-03-22,2021-03-23 08:00:00+05:30,-1,3.0
2021-03-23,2021-03-24 07:30:00+05:30,-1,3.0
2021-03-24,2021-03-25 07:00:00+05:30,-1,-1.0
2021-03-29,2021-03-29 22:30:00+05:30,1,-1.0
2021-03-29,2021-03-30 08:00:00+05:30,1,-1.0
2021-04-01,2021-04-01 13:30:00+05:30,1,-1.0
2021-04-11,2021-04-12 07:30:00+05:30,-1,-1.0
2021-04-12,2021-04-13 08:00:00+05:30,1,-1.0
2021-04-13,2021-04-14 07:30:00+05:30,1,-1.0
2021-04-18,2021-04-19 07:30:00+05:30,1,-1.0
2021-04-20,2021-04-20 20:30:00+05:30,-1,-1.0
2021-04-22,2021-04-23 07:30:00+05:30,1,-1.0
2021-04-28,2021-04-28 19:30:00+05:30,1,-1.0
2021-04-28,2021-04-29 07:00:00+05:30,1,-1.0
2021-04-29,2021-04-30 07:30:00+05:30,-1,3.0
2021-05-10,2021-05-11 06:30:00+05:30,-1,3.0
2021-05-23,2021-05-24 08:00:00+05:30,-1,-1.0
2021-05-24,2021-05-25 07:30:00+05:30,1,3.0
2021-05-25,2021-05-25 13:30:00+05:30,1,3.0
2021-05-27,2021-05-28 07:30:00+05:30,1,-1.0
2021-06-03,2021-06-03 10:30:00+05:30,-1,3.0
2021-06-03,2021-06-04 07:00:00+05:30,-1,-1.0
2021-06-04,2021-06-04 21:30:00+05:30,1,-1.0
2021-06-16,2021-06-17 00:00:00+05:30,-1,-1.0
2021-06-17,2021-06-17 19:30:00+05:30,1,-1.0
2021-06-24,2021-06-25 08:00:00+05:30,1,-1.0
2021-06-28,2021-06-29 09:00:00+05:30,-1,-1.0
2021-07-01,2021-07-02 07:00:00+05:30,-1,3.0
2021-07-23,2021-07-23 19:00:00+05:30,-1,3.0
2021-08-08,2021-08-09 07:00:00+05:30,-1,-1.0
2021-08-10,2021-08-11 07:30:00+05:30,1,-1.0
2021-08-12,2021-08-12 19:30:00+05:30,-1,-1.0
2021-08-24,2021-08-24 20:30:00+05:30,1,-1.0
2021-08-25,2021-08-26 08:00:00+05:30,-1,-1.0
2021-09-01,2021-09-01 22:00:00+05:30,1,-1.0
2021-09-01,2021-09-02 07:30:00+05:30,1,-1.0
2021-09-02,2021-09-03 07:30:00+05:30,-1,-1.0
2021-09-06,2021-09-07 08:00:00+05:30,1,-1.0
2021-09-08,2021-09-09 07:00:00+05:30,-1,3.0
2021-10-08,2021-10-09 00:00:00+05:30,1,-1.0
2021-10-18,2021-10-18 19:30:00+05:30,1,3.0
2021-10-19,2021-10-19 20:00:00+05:30,1,1.6437620605755048
2021-10-22,2021-10-22 19:30:00+05:30,1,-1.0
2021-10-26,2021-10-26 21:30:00+05:30,-1,3.0
2021-10-26,2021-10-27 07:30:00+05:30,-1,-1.0
2021-10-28,2021-10-29 07:30:00+05:30,-1,-1.0
2021-10-29,2021-10-29 23:30:00+05:30,-1,-1.0
2021-11-01,2021-11-01 22:30:00+05:30,1,-1.0
2021-11-02,2021-11-02 20:00:00+05:30,-1,-1.0
2021-11-09,2021-11-10 07:30:00+05:30,-1,-1.0
2021-11-15,2021-11-15 18:00:00+05:30,1,-1.0
2021-11-15,2021-11-16 06:30:00+05:30,1,-1.0
2021-11-17,2021-11-17 21:00:00+05:30,-1,3.0
2021-11-18,2021-11-18 17:00:00+05:30,-1,3.0
2021-11-23,2021-11-23 20:30:00+05:30,-1,-1.0
2021-11-25,2021-11-26 06:00:00+05:30,-1,3.0
2021-12-08,2021-12-08 21:00:00+05:30,1,-1.0
2021-12-21,2021-12-21 21:00:00+05:30,1,-1.0
2021-12-23,2021-12-23 20:30:00+05:30,1,-1.0
2021-12-28,2021-12-29 10:00:00+05:30,-1,-1.0
2021-12-30,2021-12-30 19:30:00+05:30,1,-1.0
2022-01-04,2022-01-05 06:30:00+05:30,-1,-1.0
2022-02-08,2022-02-08 22:00:00+05:30,1,3.0
2022-02-16,2022-02-17 06:30:00+05:30,1,-1.0
2022-02-23,2022-02-23 21:00:00+05:30,-1,3.0
2022-03-28,2022-03-29 07:30:00+05:30,1,-1.0
2022-03-29,2022-03-29 17:30:00+05:30,1,-1.0
2022-03-31,2022-03-31 19:30:00+05:30,-1,-1.0
2022-04-01,2022-04-01 15:30:00+05:30,1,-1.0
2022-04-04,2022-04-04 11:30:00+05:30,1,-1.0
2022-04-06,2022-04-06 17:00:00+05:30,-1,-1.0
2022-04-07,2022-04-07 19:30:00+05:30,-1,-1.0
2022-04-10,2022-04-11 07:30:00+05:30,-1,0.06278384036780298
2022-04-18,2022-04-19 07:00:00+05:30,-1,3.0
2022-04-20,2022-04-21 06:30:00+05:30,-1,3.0
2022-04-21,2022-04-21 22:00:00+05:30,-1,-1.0
2022-05-04,2022-05-05 07:00:00+05:30,1,-1.0
2022-05-16,2022-05-17 00:00:00+05:30,1,3.0
2022-05-18,2022-05-18 21:00:00+05:30,-1,-1.0
2022-05-26,2022-05-27 07:00:00+05:30,1,-1.0
2022-05-27,2022-05-27 18:30:00+05:30,1,3.0
2022-05-31,2022-05-31 11:30:00+05:30,1,-1.0
2022-06-01,2022-06-02 07:30:00+05:30,-1,-1.0
2022-06-02,2022-06-02 22:00:00+05:30,1,-1.0
2022-06-08,2022-06-08 21:00:00+05:30,1,-1.0
2022-06-20,2022-06-21 08:00:00+05:30,1,-1.0
2022-06-22,2022-06-22 12:00:00+05:30,-1,-1.0
2022-06-26,2022-06-27 07:00:00+05:30,1,3.0
2022-07-04,2022-07-05 07:00:00+05:30,1,-1.0
2022-07-05,2022-07-05 18:00:00+05:30,-1,-1.0
2022-07-07,2022-07-07 20:30:00+05:30,1,-1.0
2022-07-10,2022-07-11 07:00:00+05:30,-1,3.0
2022-07-19,2022-07-20 07:00:00+05:30,1,-1.0
2022-07-20,2022-07-21 08:00:00+05:30,-1,-1.0
2022-07-22,2022-07-22 22:00:00+05:30,-1,-1.0
2022-07-25,2022-07-26 07:00:00+05:30,1,-1.0
2022-07-27,2022-07-28 09:00:00+05:30,-1,3.0
2022-08-05,2022-08-05 19:00:00+05:30,-1,-1.0
2022-08-08,2022-08-09 07:30:00+05:30,-1,-1.0
2022-08-09,2022-08-10 07:30:00+05:30,-1,3.0
2022-08-11,2022-08-11 11:30:00+05:30,1,-1.0
2022-08-18,2022-08-19 07:00:00+05:30,-1,-1.0
2022-08-19,2022-08-19 19:30:00+05:30,-1,-1.0
2022-08-22,2022-08-23 08:30:00+05:30,-1,-1.0
2022-08-23,2022-08-23 12:00:00+05:30,-1,-1.0
2022-08-23,2022-08-24 07:30:00+05:30,-1,-1.0
2022-09-06,2022-09-06 19:30:00+05:30,-1,-1.0
2022-09-13,2022-09-13 23:30:00+05:30,-1,3.0
2022-09-16,2022-09-16 23:00:00+05:30,-1,-1.0
2022-09-19,2022-09-20 08:00:00+05:30,1,-1.0
2022-09-20,2022-09-21 07:30:00+05:30,-1,-1.0
2022-09-21,2022-09-21 19:30:00+05:30,-1,-1.0
2022-09-23,2022-09-23 19:30:00+05:30,-1,-1.0
2022-10-06,2022-10-07 07:00:00+05:30,-1,3.0
2022-10-09,2022-10-10 07:00:00+05:30,-1,3.0
2022-10-30,2022-10-31 07:00:00+05:30,-1,-1.0
2022-11-09,2022-11-09 19:30:00+05:30,-1,-1.0
2022-11-10,2022-11-10 18:30:00+05:30,1,3.0
2022-11-23,2022-11-23 19:30:00+05:30,1,-1.0
2022-11-24,2022-11-25 06:30:00+05:30,-1,-1.0
2022-11-27,2022-11-28 06:00:00+05:30,-1,-1.0
2022-11-28,2022-11-29 06:30:00+05:30,1,3.0
2022-12-12,2022-12-12 19:30:00+05:30,-1,-1.0
2022-12-21,2022-12-21 20:00:00+05:30,1,3.0
2022-12-21,2022-12-22 07:00:00+05:30,1,-1.0
2022-12-30,2022-12-30 21:30:00+05:30,-1,3.0
2023-01-10,2023-01-11 06:30:00+05:30,1,-1.0
2023-01-16,2023-01-17 06:30:00+05:30,-1,-1.0
2023-01-16,2023-01-17 07:00:00+05:30,-1,-1.0
2023-01-18,2023-01-18 19:00:00+05:30,1,-1.0
2023-01-18,2023-01-19 06:30:00+05:30,-1,-1.0
2023-01-19,2023-01-20 06:00:00+05:30,1,3.0
2023-01-25,2023-01-26 06:00:00+05:30,1,-1.0
2023-01-29,2023-01-30 10:00:00+05:30,-1,3.0
2023-02-10,2023-02-10 16:30:00+05:30,-1,-1.0
2023-02-13,2023-02-14 05:30:00+05:30,1,-1.0
2023-02-14,2023-02-14 19:00:00+05:30,-1,-1.0
2023-02-17,2023-02-17 21:30:00+05:30,-1,-1.0
2023-02-21,2023-02-22 05:30:00+05:30,-1,-1.0
2023-02-24,2023-02-24 18:00:00+05:30,-1,-1.0
2023-02-28,2023-03-01 06:30:00+05:30,1,3.0
