ny_date,ist_time,side,r
2013-01-20,2013-01-21 02:30:00+05:30,1,3.0
2013-03-06,2013-03-07 02:30:00+05:30,1,3.0
2014-01-01,2014-01-02 02:30:00+05:30,1,-1.0
2016-12-20,2016-12-21 02:30:00+05:30,1,3.0
2017-03-01,2017-03-02 02:30:00+05:30,1,-1.0
2017-05-25,2017-05-26 02:30:00+05:30,1,3.0
2017-08-01,2017-08-02 02:30:00+05:30,1,-1.0
2017-09-14,2017-09-15 02:30:00+05:30,1,3.0
2017-10-17,2017-10-18 02:30:00+05:30,1,2.5250215590456646
2017-11-01,2017-11-01 18:30:00+05:30,1,-1.0
2017-11-02,2017-11-03 06:30:00+05:30,1,-1.0
2017-11-21,2017-11-21 18:30:00+05:30,1,3.0
2017-11-30,2017-11-30 14:30:00+05:30,1,3.0
2017-11-30,2017-11-30 22:30:00+05:30,1,-1.0
2017-12-18,2017-12-18 10:30:00+05:30,1,0.6564048705241382
2018-01-04,2018-01-04 10:30:00+05:30,1,3.0
2018-01-07,2018-01-08 02:30:00+05:30,1,3.0
2018-06-11,2018-06-11 22:30:00+05:30,1,-1.0
2018-07-13,2018-07-13 22:30:00+05:30,1,1.9739756900968821
2018-08-07,2018-08-07 22:30:00+05:30,1,-1.0
2018-08-15,2018-08-15 18:30:00+05:30,-1,-1.0
2018-08-21,2018-08-21 14:30:00+05:30,1,-1.0
2018-08-27,2018-08-27 18:30:00+05:30,1,-0.370746949707361
2018-09-11,2018-09-11 18:30:00+05:30,-1,-1.0
2018-09-20,2018-09-20 18:30:00+05:30,1,-1.0
2018-10-02,2018-10-03 02:30:00+05:30,1,-1.0
2019-02-20,2019-02-21 02:30:00+05:30,1,-1.0
2019-03-04,2019-03-04 22:30:00+05:30,-1,-1.0
2019-03-07,2019-03-07 10:30:00+05:30,-1,-1.0
2019-04-04,2019-04-05 06:30:00+05:30,1,-1.0
2019-04-16,2019-04-16 14:30:00+05:30,1,-1.0
2019-04-21,2019-04-22 02:30:00+05:30,1,-1.0
2019-05-02,2019-05-02 22:30:00+05:30,-1,-1.0
2019-05-05,2019-05-06 06:30:00+05:30,-1,-1.0
2019-06-18,2019-06-18 18:30:00+05:30,1,3.0
2019-06-21,2019-06-21 22:30:00+05:30,1,-1.0
2019-07-03,2019-07-03 22:30:00+05:30,1,-1.0
2019-07-11,2019-07-11 22:30:00+05:30,1,0.2666511711990831
2019-10-30,2019-10-31 02:30:00+05:30,1,-1.0
2019-11-01,2019-11-01 22:30:00+05:30,1,3.0
2019-11-13,2019-11-14 06:30:00+05:30,1,1.5671357930772043
2019-12-03,2019-12-03 18:30:00+05:30,-1,-1.0
2019-12-23,2019-12-23 18:30:00+05:30,1,-1.0
2020-01-02,2020-01-02 22:30:00+05:30,1,-1.0
2020-07-29,2020-07-29 10:30:00+05:30,-1,-1.0
2020-07-30,2020-07-30 14:30:00+05:30,-1,-1.0
2020-08-05,2020-08-05 14:30:00+05:30,1,3.0
2020-08-11,2020-08-11 14:30:00+05:30,1,-1.0
2020-08-24,2020-08-24 14:30:00+05:30,1,3.0
2020-09-02,2020-09-02 22:30:00+05:30,1,-1.0
2020-12-20,2020-12-21 02:30:00+05:30,1,-1.0
2020-12-29,2020-12-29 10:30:00+05:30,1,-1.0
2021-01-04,2021-01-04 14:30:00+05:30,1,-1.0
2021-01-21,2021-01-21 10:30:00+05:30,1,-1.0
2021-01-27,2021-01-28 02:30:00+05:30,-1,-1.0
2021-02-14,2021-02-15 06:30:00+05:30,1,-1.0
