ny_date,ist_time,side,r
2011-03-15,2011-03-16 02:30:00+05:30,-1,-1.0
2011-04-20,2011-04-21 02:30:00+05:30,-1,2.0
2012-01-06,2012-01-07 02:30:00+05:30,1,-1.0
2012-01-29,2012-01-30 02:30:00+05:30,-1,-1.0
2012-02-23,2012-02-24 02:30:00+05:30,-1,-1.0
2012-05-14,2012-05-15 02:30:00+05:30,1,2.0
2012-05-30,2012-05-31 02:30:00+05:30,1,-1.0
2012-07-08,2012-07-09 02:30:00+05:30,1,-0.3623103986579383
2012-09-09,2012-09-10 02:30:00+05:30,-1,0.9757221880762178
2012-12-14,2012-12-15 02:30:00+05:30,-1,-1.0
2013-02-01,2013-02-02 02:30:00+05:30,-1,-1.0
2013-03-01,2013-03-02 02:30:00+05:30,1,-1.0
2013-09-29,2013-09-30 02:30:00+05:30,-1,-1.0
2013-12-10,2013-12-11 02:30:00+05:30,-1,-1.0
2014-02-28,2014-03-01 02:30:00+05:30,-1,-1.0
2014-05-28,2014-05-29 02:30:00+05:30,1,-1.0
2014-07-27,2014-07-28 02:30:00+05:30,1,2.0
2014-09-04,2014-09-05 02:30:00+05:30,1,2.0
2014-09-25,2014-09-26 02:30:00+05:30,1,2.0
2014-10-05,2014-10-06 02:30:00+05:30,1,-1.0
2017-01-23,2017-01-24 02:30:00+05:30,-1,-1.0
2017-03-27,2017-03-28 02:30:00+05:30,-1,-1.0
2017-05-17,2017-05-18 02:30:00+05:30,-1,1.8730361351138964
2017-06-29,2017-06-30 02:30:00+05:30,-1,-1.0
2017-07-18,2017-07-19 02:30:00+05:30,-1,-1.0
2018-01-02,2018-01-03 02:30:00+05:30,-1,-1.0
2018-01-12,2018-01-13 02:30:00+05:30,-1,2.0
2018-01-24,2018-01-25 02:30:00+05:30,-1,2.0
2018-04-03,2018-04-04 02:30:00+05:30,1,2.0
2018-04-25,2018-04-26 02:30:00+05:30,1,-0.2352921613621997
2018-08-22,2018-08-23 02:30:00+05:30,-1,2.0
2018-09-20,2018-09-21 02:30:00+05:30,-1,-1.0
2018-10-25,2018-10-26 02:30:00+05:30,1,-0.03958619233611845
2019-01-09,2019-01-10 02:30:00+05:30,-1,-1.0
2019-02-05,2019-02-06 02:30:00+05:30,1,0.3571030018971152
2019-04-18,2019-04-19 02:30:00+05:30,1,-1.0
2019-12-11,2019-12-12 02:30:00+05:30,-1,2.0
2020-01-15,2020-01-16 02:30:00+05:30,-1,-1.0
2020-03-02,2020-03-03 02:30:00+05:30,-1,2.0
2020-03-06,2020-03-07 02:30:00+05:30,-1,2.0
2020-03-09,2020-03-10 02:30:00+05:30,-1,-1.0
2021-02-01,2021-02-02 02:30:00+05:30,1,-1.0
2021-02-23,2021-02-24 02:30:00+05:30,1,2.0
2023-12-19,2023-12-20 02:30:00+05:30,-1,2.0
2024-03-21,2024-03-22 02:30:00+05:30,1,2.0
2024-04-30,2024-05-01 02:30:00+05:30,1,-1.0
2024-07-25,2024-07-26 02:30:00+05:30,-1,2.0
2024-11-22,2024-11-23 02:30:00+05:30,1,-1.0
2024-12-18,2024-12-19 02:30:00+05:30,1,0.6175620377670102
2025-02-25,2025-02-26 02:30:00+05:30,-1,-1.0
2025-03-04,2025-03-05 02:30:00+05:30,-1,2.0
2026-01-23,2026-01-24 02:30:00+05:30,-1,2.0
2026-01-27,2026-01-28 02:30:00+05:30,-1,-1.0
