ny_date,ist_time,side,r
2008-01-30,2008-01-31 00:30:00+05:30,1,-1.0
2008-02-10,2008-02-11 05:30:00+05:30,1,-1.0
2008-02-12,2008-02-12 22:30:00+05:30,-1,-1.0
2008-02-19,2008-02-19 15:30:00+05:30,1,3.0
2008-02-20,2008-02-20 22:30:00+05:30,1,3.0
2008-02-26,2008-02-26 12:30:00+05:30,-1,-1.0
2008-02-26,2008-02-27 05:30:00+05:30,1,3.0
2008-03-02,2008-03-03 06:30:00+05:30,1,-1.0
2008-03-14,2008-03-14 18:30:00+05:30,1,-1.0
2008-03-25,2008-03-25 12:30:00+05:30,1,-1.0
2008-04-06,2008-04-07 04:30:00+05:30,1,-1.0
2008-04-09,2008-04-09 12:30:00+05:30,-1,-1.0
2008-04-16,2008-04-16 15:30:00+05:30,1,-1.0
2008-04-18,2008-04-18 16:30:00+05:30,-1,3.0
2008-04-29,2008-04-29 17:30:00+05:30,-1,3.0
2008-05-05,2008-05-05 22:30:00+05:30,1,-1.0
2008-05-09,2008-05-09 12:30:00+05:30,1,-1.0
2008-05-21,2008-05-21 13:30:00+05:30,1,-1.0
2008-05-21,2008-05-21 20:30:00+05:30,1,-1.0
2008-05-26,2008-05-27 05:30:00+05:30,1,-1.0
2008-05-27,2008-05-27 17:30:00+05:30,-1,3.0
2008-05-28,2008-05-28 13:30:00+05:30,-1,-1.0
2008-06-05,2008-06-05 12:30:00+05:30,-1,-1.0
2008-06-26,2008-06-26 14:30:00+05:30,1,3.0
2008-07-06,2008-07-07 07:30:00+05:30,-1,-1.0
2008-07-11,2008-07-11 14:30:00+05:30,1,3.0
2008-07-22,2008-07-22 11:30:00+05:30,1,-1.0
2008-07-29,2008-07-29 19:30:00+05:30,-1,3.0
2008-07-30,2008-07-30 18:30:00+05:30,-1,-1.0
2008-08-07,2008-08-08 05:30:00+05:30,-1,3.0
2008-09-01,2008-09-01 18:30:00+05:30,-1,3.0
2008-09-02,2008-09-02 12:30:00+05:30,-1,-1.0
2008-10-22,2008-10-22 09:30:00+05:30,-1,3.0
2008-11-04,2008-11-04 17:30:00+05:30,1,-1.0
2008-11-06,2008-11-07 05:30:00+05:30,-1,-1.0
2008-11-10,2008-11-10 18:30:00+05:30,1,-1.0
2008-11-11,2008-11-11 20:30:00+05:30,-1,-1.0
2008-11-12,2008-11-12 20:30:00+05:30,-1,-1.0
2008-11-19,2008-11-19 19:30:00+05:30,1,-1.0
2008-11-21,2008-11-21 18:30:00+05:30,1,3.0
2008-12-01,2008-12-01 12:30:00+05:30,-1,3.0
2008-12-01,2008-12-01 18:30:00+05:30,-1,3.0
2008-12-10,2008-12-10 14:30:00+05:30,1,3.0
2008-12-16,2008-12-17 00:30:00+05:30,1,-1.0
2008-12-23,2008-12-23 21:30:00+05:30,-1,-1.0
2008-12-26,2008-12-26 22:30:00+05:30,1,3.0
2008-12-28,2008-12-29 05:30:00+05:30,1,-1.0
2008-12-31,2008-12-31 16:30:00+05:30,-1,-1.0
2009-01-05,2009-01-05 17:30:00+05:30,-1,-1.0
2009-01-20,2009-01-20 16:30:00+05:30,1,3.0
2009-02-11,2009-02-11 15:30:00+05:30,1,3.0
2009-02-16,2009-02-17 08:30:00+05:30,1,3.0
2009-02-17,2009-02-17 19:30:00+05:30,1,-1.0
2009-02-18,2009-02-18 23:30:00+05:30,1,-1.0
2009-03-17,2009-03-17 16:30:00+05:30,-1,3.0
2009-03-18,2009-03-18 19:30:00+05:30,-1,-1.0
2009-03-30,2009-03-30 15:30:00+05:30,-1,-1.0
2009-04-02,2009-04-02 18:30:00+05:30,-1,3.0
2009-04-08,2009-04-08 09:30:00+05:30,1,-1.0
2009-04-08,2009-04-08 21:30:00+05:30,1,-1.0
2009-04-12,2009-04-13 07:30:00+05:30,1,-1.0
2009-04-16,2009-04-16 18:30:00+05:30,-1,-1.0
2009-04-21,2009-04-21 11:30:00+05:30,1,-1.0
2009-04-23,2009-04-23 18:30:00+05:30,1,3.0
2009-05-05,2009-05-05 16:30:00+05:30,1,-1.0
2009-05-07,2009-05-07 15:30:00+05:30,1,-1.0
2009-05-12,2009-05-12 16:30:00+05:30,1,-1.0
2009-05-12,2009-05-12 22:30:00+05:30,1,-1.0
2009-05-15,2009-05-15 19:30:00+05:30,1,-1.0
2009-05-22,2009-05-22 16:30:00+05:30,1,-1.0
2009-05-26,2009-05-26 13:30:00+05:30,-1,-1.0
2009-06-22,2009-06-22 14:30:00+05:30,-1,-1.0
2009-07-06,2009-07-06 12:30:00+05:30,-1,-1.0
2009-07-14,2009-07-14 16:30:00+05:30,1,3.0
2009-07-15,2009-07-15 17:30:00+05:30,1,-1.0
2009-07-19,2009-07-20 07:30:00+05:30,1,3.0
2009-07-20,2009-07-20 14:30:00+05:30,1,-1.0
2009-07-27,2009-07-27 11:30:00+05:30,1,-1.0
2009-08-12,2009-08-12 21:30:00+05:30,1,-1.0
2009-08-13,2009-08-13 13:30:00+05:30,1,-1.0
2009-09-07,2009-09-08 05:30:00+05:30,1,-1.0
2009-10-29,2009-10-30 08:30:00+05:30,1,-1.0
2009-11-02,2009-11-02 13:30:00+05:30,1,3.0
2009-11-11,2009-11-12 05:30:00+05:30,1,-1.0
2009-12-27,2009-12-28 06:30:00+05:30,1,-1.0
2009-12-29,2009-12-30 05:30:00+05:30,-1,-1.0
2010-01-04,2010-01-04 13:30:00+05:30,1,3.0
2010-01-19,2010-01-20 05:30:00+05:30,1,-1.0
2010-01-20,2010-01-20 18:30:00+05:30,-1,3.0
2010-02-15,2010-02-16 05:30:00+05:30,1,3.0
2010-02-17,2010-02-17 17:30:00+05:30,1,-1.0
2010-03-02,2010-03-02 17:30:00+05:30,1,-0.10457314505490034
2010-03-09,2010-03-09 15:30:00+05:30,-1,-1.0
2010-03-16,2010-03-16 17:30:00+05:30,1,-1.0
2010-03-31,2010-03-31 18:30:00+05:30,1,3.0
2010-04-06,2010-04-06 19:30:00+05:30,1,3.0
2010-04-09,2010-04-09 11:30:00+05:30,1,-1.0
2010-05-03,2010-05-03 16:30:00+05:30,1,-1.0
2010-05-31,2010-06-01 05:30:00+05:30,1,-1.0
2010-06-17,2010-06-17 17:30:00+05:30,1,3.0
2010-06-18,2010-06-18 20:30:00+05:30,1,-1.0
2010-07-07,2010-07-07 09:30:00+05:30,-1,-1.0
2010-07-21,2010-07-21 15:30:00+05:30,1,-1.0
2010-07-30,2010-07-30 14:30:00+05:30,1,3.0
2010-08-03,2010-08-04 06:30:00+05:30,1,3.0
2010-08-10,2010-08-10 17:30:00+05:30,-1,-1.0
2010-08-15,2010-08-16 07:30:00+05:30,1,3.0
2010-08-19,2010-08-19 17:30:00+05:30,1,-1.0
2010-08-23,2010-08-24 05:30:00+05:30,-1,-1.0
2010-08-31,2010-08-31 17:30:00+05:30,1,-1.0
2010-09-07,2010-09-07 17:30:00+05:30,1,-1.0
2010-09-28,2010-09-28 11:30:00+05:30,-1,-1.0
2010-11-26,2010-11-26 11:30:00+05:30,-1,-1.0
2010-12-21,2010-12-21 12:30:00+05:30,1,-1.0
2010-12-23,2010-12-23 17:30:00+05:30,-1,-1.0
2010-12-27,2010-12-28 06:30:00+05:30,1,3.0
2010-12-29,2010-12-29 11:30:00+05:30,1,-1.0
2010-12-29,2010-12-29 20:30:00+05:30,1,-1.0
2011-01-02,2011-01-03 06:30:00+05:30,1,-1.0
2011-01-18,2011-01-18 18:30:00+05:30,1,-1.0
2011-02-15,2011-02-15 14:30:00+05:30,1,3.0
2011-02-20,2011-02-21 05:30:00+05:30,1,3.0
2011-02-21,2011-02-21 21:30:00+05:30,1,-1.0
2011-03-24,2011-03-24 14:30:00+05:30,1,-1.0
2011-04-05,2011-04-05 10:30:00+05:30,1,-1.0
2011-04-06,2011-04-06 12:30:00+05:30,1,3.0
2011-04-10,2011-04-11 05:30:00+05:30,1,-1.0
2011-05-25,2011-05-25 21:30:00+05:30,1,-1.0
2011-05-27,2011-05-27 20:30:00+05:30,1,-1.0
