ny_date,ist_time,side,r
2008-01-21,2008-01-22 05:00:00+05:30,-1,-1.0
2008-01-29,2008-01-29 16:00:00+05:30,1,-1.0
2008-01-30,2008-01-30 19:00:00+05:30,-1,-1.0
2008-01-30,2008-01-31 00:00:00+05:30,1,-1.0
2008-02-01,2008-02-01 14:30:00+05:30,1,-1.0
2008-02-08,2008-02-09 01:30:00+05:30,1,-1.0
2008-02-12,2008-02-12 17:30:00+05:30,-1,-1.0
2008-02-15,2008-02-15 21:30:00+05:30,-1,-1.0
2008-02-18,2008-02-19 08:30:00+05:30,1,3.0
2008-02-19,2008-02-19 15:00:00+05:30,1,3.0
2008-02-19,2008-02-19 20:30:00+05:30,1,-1.0
2008-03-12,2008-03-13 00:30:00+05:30,1,3.0
2008-03-13,2008-03-13 15:30:00+05:30,1,-1.0
2008-03-24,2008-03-24 18:00:00+05:30,1,-1.0
2008-03-26,2008-03-26 14:30:00+05:30,1,-1.0
2008-03-26,2008-03-26 19:30:00+05:30,1,-1.0
2008-03-28,2008-03-28 16:30:00+05:30,-1,3.0
2008-04-04,2008-04-04 23:00:00+05:30,1,3.0
2008-04-15,2008-04-15 11:30:00+05:30,1,-1.0
2008-04-15,2008-04-16 08:00:00+05:30,-1,-1.0
2008-04-16,2008-04-16 15:30:00+05:30,1,3.0
2008-04-17,2008-04-17 14:00:00+05:30,1,-1.0
2008-04-17,2008-04-17 22:30:00+05:30,-1,-1.0
2008-04-18,2008-04-18 15:00:00+05:30,-1,3.0
2008-04-23,2008-04-23 16:30:00+05:30,-1,3.0
2008-04-29,2008-04-29 14:30:00+05:30,-1,3.0
2008-04-29,2008-04-29 21:00:00+05:30,-1,-1.0
2008-05-05,2008-05-05 15:30:00+05:30,1,3.0
2008-05-15,2008-05-15 17:30:00+05:30,1,3.0
2008-05-21,2008-05-21 13:30:00+05:30,1,-1.0
2008-05-26,2008-05-26 23:00:00+05:30,1,-1.0
2008-05-27,2008-05-27 13:00:00+05:30,-1,-1.0
2008-05-27,2008-05-27 17:00:00+05:30,-1,3.0
2008-06-04,2008-06-05 09:00:00+05:30,-1,-1.0
2008-06-18,2008-06-18 17:00:00+05:30,1,-1.0
2008-06-18,2008-06-18 23:00:00+05:30,1,-1.0
2008-06-25,2008-06-25 20:30:00+05:30,-1,-1.0
2008-06-26,2008-06-26 13:30:00+05:30,1,3.0
2008-07-06,2008-07-07 06:30:00+05:30,-1,3.0
2008-07-07,2008-07-07 12:30:00+05:30,-1,-1.0
2008-07-07,2008-07-07 18:00:00+05:30,-1,-1.0
2008-07-10,2008-07-10 23:30:00+05:30,1,-1.0
2008-07-22,2008-07-22 11:30:00+05:30,1,-1.0
2008-07-28,2008-07-29 05:00:00+05:30,1,-1.0
2008-07-29,2008-07-29 18:30:00+05:30,-1,3.0
2008-07-30,2008-07-30 14:30:00+05:30,-1,3.0
2008-08-05,2008-08-05 09:30:00+05:30,-1,3.0
2008-08-26,2008-08-26 13:00:00+05:30,-1,-1.0
2008-08-28,2008-08-28 12:00:00+05:30,1,-1.0
2008-08-28,2008-08-28 16:00:00+05:30,1,-1.0
2008-09-01,2008-09-01 15:30:00+05:30,-1,3.0
2008-09-01,2008-09-01 22:00:00+05:30,-1,3.0
2008-09-02,2008-09-02 11:30:00+05:30,-1,-1.0
2008-09-02,2008-09-02 17:00:00+05:30,-1,-1.0
2008-10-16,2008-10-16 12:30:00+05:30,-1,3.0
2008-10-21,2008-10-21 13:30:00+05:30,-1,3.0
2008-10-22,2008-10-22 15:30:00+05:30,-1,-1.0
2008-10-22,2008-10-22 18:30:00+05:30,-1,3.0
2008-10-30,2008-10-31 04:00:00+05:30,-1,0.9002798797553659
2008-11-04,2008-11-04 17:30:00+05:30,1,3.0
2008-11-04,2008-11-04 21:00:00+05:30,1,-1.0
2008-11-06,2008-11-07 05:00:00+05:30,-1,-1.0
2008-11-09,2008-11-10 05:00:00+05:30,1,-1.0
2008-11-11,2008-11-11 15:30:00+05:30,-1,3.0
2008-11-12,2008-11-12 20:00:00+05:30,-1,-1.0
2008-11-19,2008-11-19 19:30:00+05:30,1,-1.0
2008-11-21,2008-11-21 11:00:00+05:30,1,3.0
2008-11-30,2008-12-01 06:30:00+05:30,-1,3.0
2008-12-01,2008-12-01 15:30:00+05:30,-1,3.0
2008-12-01,2008-12-01 18:30:00+05:30,-1,-1.0
2008-12-10,2008-12-10 11:30:00+05:30,1,3.0
2008-12-16,2008-12-17 00:00:00+05:30,1,3.0
2008-12-23,2008-12-23 20:30:00+05:30,-1,-1.0
2008-12-24,2008-12-24 21:30:00+05:30,1,3.0
