ny_date,ist_time,side,r
2019-02-20,2019-02-20 21:30:00+05:30,1,2.0206206476911515
2019-02-27,2019-02-27 12:30:00+05:30,-1,-1.0
2019-03-04,2019-03-04 21:30:00+05:30,-1,-1.0
2019-03-05,2019-03-05 13:30:00+05:30,1,-1.0
2019-03-05,2019-03-05 18:30:00+05:30,1,-1.0
2019-03-07,2019-03-07 19:30:00+05:30,-1,-1.0
2019-03-08,2019-03-08 11:30:00+05:30,-1,-1.0
2019-03-11,2019-03-11 20:30:00+05:30,1,-1.0
2019-03-13,2019-03-13 12:30:00+05:30,-1,-1.0
2019-03-14,2019-03-14 14:30:00+05:30,1,-1.0
2019-03-15,2019-03-15 16:30:00+05:30,1,-1.0
2019-03-18,2019-03-18 12:30:00+05:30,1,-1.0
2019-03-19,2019-03-19 14:30:00+05:30,1,-1.0
2019-03-20,2019-03-20 15:30:00+05:30,-1,3.0
2019-03-21,2019-03-21 17:30:00+05:30,-1,-1.0
2019-03-21,2019-03-21 22:30:00+05:30,-1,-1.0
2019-03-22,2019-03-22 18:30:00+05:30,-1,0.010888185592752887
2019-03-29,2019-03-29 17:30:00+05:30,1,3.0
2019-04-02,2019-04-02 16:30:00+05:30,1,3.0
2019-04-03,2019-04-03 20:30:00+05:30,1,-1.0
2019-04-09,2019-04-09 18:30:00+05:30,-1,-1.0
2019-04-11,2019-04-11 16:30:00+05:30,1,-1.0
2019-04-12,2019-04-12 13:30:00+05:30,-1,-1.0
2019-04-12,2019-04-12 14:30:00+05:30,1,3.0
2019-04-17,2019-04-17 16:30:00+05:30,1,3.0
2019-04-18,2019-04-18 23:30:00+05:30,1,-1.0
2019-04-23,2019-04-23 13:30:00+05:30,-1,-1.0
2019-04-24,2019-04-24 13:30:00+05:30,1,1.0475955720879748
2019-04-30,2019-04-30 23:30:00+05:30,1,-1.0
2019-05-03,2019-05-03 11:30:00+05:30,1,-1.0
2019-05-05,2019-05-06 04:30:00+05:30,-1,3.0
2019-05-07,2019-05-07 16:30:00+05:30,-1,3.0
2019-05-13,2019-05-13 13:30:00+05:30,-1,-1.0
2019-05-15,2019-05-15 20:30:00+05:30,1,-1.0
