ny_date,ist_time,side,r
2022-02-17,2022-02-18 04:30:00+05:30,-1,-1.0
2022-02-18,2022-02-18 18:00:00+05:30,-1,-1.0
2022-02-21,2022-02-21 17:30:00+05:30,-1,3.0
2022-02-22,2022-02-22 12:00:00+05:30,-1,-1.0
2022-02-23,2022-02-23 13:30:00+05:30,1,-1.0
2022-02-23,2022-02-23 20:00:00+05:30,-1,3.0
2022-02-24,2022-02-25 04:30:00+05:30,1,-1.0
2022-02-25,2022-02-25 17:30:00+05:30,1,-1.0
2022-02-27,2022-02-28 07:30:00+05:30,-1,-1.0
2022-02-28,2022-02-28 20:30:00+05:30,1,-1.0
2022-03-01,2022-03-01 11:30:00+05:30,1,-1.0
2022-03-01,2022-03-01 14:00:00+05:30,-1,3.0
2022-03-03,2022-03-04 05:00:00+05:30,-1,3.0
2022-03-04,2022-03-04 21:00:00+05:30,-1,3.0
2022-03-07,2022-03-07 12:30:00+05:30,-1,-1.0
2022-03-07,2022-03-07 17:00:00+05:30,1,-1.0
2022-03-08,2022-03-08 11:00:00+05:30,-1,-1.0
2022-03-08,2022-03-08 13:00:00+05:30,1,-1.0
2022-03-09,2022-03-09 14:00:00+05:30,1,0.8105171734134933
2022-03-14,2022-03-14 14:30:00+05:30,1,-1.0
2022-03-15,2022-03-15 13:00:00+05:30,-1,-1.0
2022-03-15,2022-03-16 08:00:00+05:30,1,3.0
2022-03-17,2022-03-17 16:00:00+05:30,-1,0.4143286918313035
2022-03-21,2022-03-21 23:00:00+05:30,-1,-1.0
2022-03-22,2022-03-22 13:30:00+05:30,1,-1.0
2022-03-23,2022-03-24 01:30:00+05:30,-1,-1.0
2022-03-25,2022-03-25 17:00:00+05:30,1,-1.0
2022-03-28,2022-03-28 13:00:00+05:30,1,-1.0
2022-03-29,2022-03-29 11:30:00+05:30,1,3.0
2022-03-30,2022-03-30 13:00:00+05:30,-1,3.0
2022-04-04,2022-04-04 11:30:00+05:30,1,-1.0
2022-04-04,2022-04-04 13:00:00+05:30,-1,-1.0
2022-04-05,2022-04-05 12:00:00+05:30,-1,-1.0
2022-04-05,2022-04-05 13:00:00+05:30,1,-1.0
2022-04-06,2022-04-06 13:30:00+05:30,-1,-0.29767899103248535
2022-04-10,2022-04-11 08:00:00+05:30,-1,-1.0
2022-04-11,2022-04-11 13:00:00+05:30,1,-1.0
2022-04-11,2022-04-11 14:00:00+05:30,-1,-1.0
2022-04-12,2022-04-12 14:30:00+05:30,1,0.6451214999383295
2022-04-18,2022-04-19 06:30:00+05:30,-1,-1.0
2022-04-19,2022-04-19 15:00:00+05:30,-1,-1.0
2022-04-19,2022-04-19 20:00:00+05:30,1,3.0
2022-04-21,2022-04-21 13:30:00+05:30,1,-1.0
2022-04-21,2022-04-22 00:30:00+05:30,-1,3.0
2022-04-25,2022-04-25 12:30:00+05:30,-1,-1.0
2022-04-25,2022-04-26 01:00:00+05:30,1,-1.0
2022-04-27,2022-04-27 13:00:00+05:30,-1,-1.0
2022-04-28,2022-04-28 11:30:00+05:30,1,0.42435196129634895
2022-05-02,2022-05-02 22:30:00+05:30,-1,-1.0
2022-05-03,2022-05-03 11:00:00+05:30,1,-1.0
2022-05-03,2022-05-03 14:00:00+05:30,1,-1.0
2022-05-04,2022-05-05 00:30:00+05:30,1,-1.0
2022-05-06,2022-05-06 14:30:00+05:30,-1,3.0
2022-05-09,2022-05-09 16:30:00+05:30,-1,-1.0
2022-05-10,2022-05-10 12:30:00+05:30,1,1.4517895036576451
2022-05-12,2022-05-13 06:30:00+05:30,1,2.6139506764524265
2022-05-17,2022-05-18 00:30:00+05:30,1,-1.0
2022-05-18,2022-05-18 18:30:00+05:30,-1,3.0
2022-05-19,2022-05-19 13:00:00+05:30,-1,-1.0
2022-05-19,2022-05-20 07:00:00+05:30,1,-1.0
2022-05-23,2022-05-23 12:00:00+05:30,1,-1.0
2022-05-24,2022-05-24 11:00:00+05:30,-1,-1.0
2022-05-26,2022-05-26 17:00:00+05:30,1,3.0
2022-05-29,2022-05-30 06:00:00+05:30,1,-1.0
2022-06-01,2022-06-01 21:00:00+05:30,-1,-1.0
2022-06-02,2022-06-02 13:00:00+05:30,1,3.0
2022-06-06,2022-06-06 18:00:00+05:30,1,-1.0
2022-06-06,2022-06-07 06:00:00+05:30,-1,3.0
2022-06-08,2022-06-08 22:00:00+05:30,-1,3.0
2022-06-09,2022-06-09 18:30:00+05:30,-1,3.0
2022-06-10,2022-06-10 18:30:00+05:30,-1,3.0
2022-06-12,2022-06-13 06:00:00+05:30,-1,3.0
2022-06-14,2022-06-14 22:00:00+05:30,-1,-1.0
2022-06-15,2022-06-15 11:30:00+05:30,1,-1.0
2022-06-17,2022-06-17 11:00:00+05:30,1,-1.0
2022-06-17,2022-06-17 15:30:00+05:30,1,-1.0
2022-06-20,2022-06-20 20:00:00+05:30,1,-1.0
2022-06-23,2022-06-23 13:00:00+05:30,-1,-1.0
2022-06-23,2022-06-23 21:30:00+05:30,-1,-1.0
2022-06-24,2022-06-24 20:00:00+05:30,1,-0.21357073665759907
2022-06-29,2022-06-29 12:30:00+05:30,-1,3.0
2022-07-01,2022-07-01 19:30:00+05:30,1,-1.0
2022-07-03,2022-07-04 05:30:00+05:30,1,-1.0
2022-07-04,2022-07-04 20:00:00+05:30,-1,-1.0
2022-07-05,2022-07-05 14:00:00+05:30,-1,3.0
2022-07-06,2022-07-06 12:00:00+05:30,-1,-1.0
2022-07-06,2022-07-07 09:00:00+05:30,1,3.0
2022-07-08,2022-07-08 16:00:00+05:30,1,-1.0
2022-07-10,2022-07-11 07:00:00+05:30,-1,3.0
2022-07-12,2022-07-12 19:30:00+05:30,1,-1.0
2022-07-13,2022-07-13 18:30:00+05:30,-1,-1.0
2022-07-14,2022-07-14 14:30:00+05:30,-1,-1.0
2022-07-15,2022-07-15 20:00:00+05:30,1,3.0
2022-07-19,2022-07-20 06:00:00+05:30,1,-1.0
2022-07-20,2022-07-20 16:30:00+05:30,-1,-1.0
2022-07-21,2022-07-21 11:30:00+05:30,1,-1.0
2022-07-22,2022-07-22 11:30:00+05:30,-1,-1.0
2022-07-22,2022-07-22 15:00:00+05:30,1,-1.0
2022-07-24,2022-07-25 07:30:00+05:30,-1,-1.0
2022-07-25,2022-07-25 14:00:00+05:30,1,-1.0
2022-07-26,2022-07-26 16:00:00+05:30,-1,-1.0
2022-07-27,2022-07-27 20:00:00+05:30,1,-1.0
2022-07-27,2022-07-28 01:00:00+05:30,1,-1.0
2022-07-28,2022-07-28 21:00:00+05:30,1,3.0
2022-07-31,2022-08-01 05:30:00+05:30,1,-1.0
2022-08-01,2022-08-01 17:00:00+05:30,1,-1.0
2022-08-01,2022-08-01 23:00:00+05:30,-1,-1.0
2022-08-02,2022-08-02 22:00:00+05:30,1,-1.0
2022-08-02,2022-08-03 00:00:00+05:30,1,3.0
2022-08-04,2022-08-04 13:00:00+05:30,1,-1.0
2022-08-05,2022-08-05 18:30:00+05:30,-1,-1.0
2022-08-05,2022-08-05 21:00:00+05:30,-1,-1.0
2022-08-08,2022-08-08 12:30:00+05:30,1,-1.0
2022-08-08,2022-08-08 19:30:00+05:30,1,-1.0
2022-08-09,2022-08-09 15:00:00+05:30,-1,-1.0
2022-08-10,2022-08-10 18:30:00+05:30,1,3.0
2022-08-15,2022-08-15 13:00:00+05:30,-1,-1.0
2022-08-16,2022-08-16 13:30:00+05:30,1,-1.0
2022-08-16,2022-08-17 00:00:00+05:30,1,-1.0
2022-08-17,2022-08-17 13:30:00+05:30,-1,3.0
2022-08-18,2022-08-18 15:30:00+05:30,1,-1.0
2022-08-19,2022-08-19 11:00:00+05:30,-1,3.0
2022-08-21,2022-08-22 06:00:00+05:30,-1,3.0
2022-08-22,2022-08-22 18:30:00+05:30,-1,0.35692884870906094
2022-08-25,2022-08-25 10:00:00+05:30,1,-1.0
2022-08-26,2022-08-26 20:00:00+05:30,-1,3.0
2022-08-29,2022-08-29 19:30:00+05:30,1,-1.0
2022-08-31,2022-09-01 06:00:00+05:30,-1,-1.0
2022-09-02,2022-09-02 18:30:00+05:30,1,-1.0
2022-09-02,2022-09-02 23:00:00+05:30,-1,-1.0
2022-09-05,2022-09-06 06:30:00+05:30,1,-1.0
2022-09-06,2022-09-06 13:00:00+05:30,1,-1.0
2022-09-06,2022-09-06 16:00:00+05:30,1,-1.0
2022-09-07,2022-09-07 20:00:00+05:30,1,-1.0
2022-09-09,2022-09-09 13:00:00+05:30,1,3.0
2022-09-12,2022-09-12 19:00:00+05:30,1,3.0
2022-09-13,2022-09-13 18:30:00+05:30,-1,3.0
2022-09-14,2022-09-14 12:00:00+05:30,1,-1.0
2022-09-14,2022-09-14 17:30:00+05:30,-1,-1.0
2022-09-15,2022-09-15 13:00:00+05:30,1,-1.0
2022-09-15,2022-09-15 17:30:00+05:30,-1,3.0
2022-09-19,2022-09-19 13:00:00+05:30,-1,-1.0
2022-09-19,2022-09-19 20:30:00+05:30,1,-1.0
2022-09-20,2022-09-20 22:30:00+05:30,-1,-1.0
2022-09-21,2022-09-22 06:30:00+05:30,-1,-1.0
2022-09-23,2022-09-23 13:00:00+05:30,-1,3.0
2022-09-25,2022-09-26 07:00:00+05:30,-1,-1.0
2022-09-27,2022-09-27 12:00:00+05:30,1,-1.0
2022-09-27,2022-09-27 14:30:00+05:30,-1,3.0
2022-09-28,2022-09-28 13:00:00+05:30,-1,-1.0
2022-09-28,2022-09-28 20:00:00+05:30,1,-1.0
2022-09-30,2022-09-30 12:30:00+05:30,1,-1.0
2022-10-02,2022-10-03 06:00:00+05:30,-1,-1.0
2022-10-03,2022-10-03 16:30:00+05:30,1,3.0
2022-10-04,2022-10-04 21:00:00+05:30,1,-1.0
2022-10-05,2022-10-05 14:00:00+05:30,-1,-1.0
2022-10-05,2022-10-06 00:30:00+05:30,1,-1.0
2022-10-06,2022-10-06 20:00:00+05:30,-1,3.0
2022-10-10,2022-10-10 11:30:00+05:30,-1,-1.0
2022-10-11,2022-10-11 13:30:00+05:30,-1,-1.0
2022-10-13,2022-10-13 17:30:00+05:30,1,-1.0
2022-10-13,2022-10-13 18:30:00+05:30,-1,-1.0
2022-10-16,2022-10-17 05:30:00+05:30,-1,-1.0
2022-10-18,2022-10-18 09:30:00+05:30,1,-1.0
2022-10-20,2022-10-20 09:30:00+05:30,-1,-1.0
2022-10-20,2022-10-20 14:30:00+05:30,-1,-1.0
2022-10-21,2022-10-21 13:00:00+05:30,1,-1.0
2022-10-21,2022-10-21 14:00:00+05:30,-1,-1.0
2022-10-24,2022-10-24 17:30:00+05:30,1,-1.0
2022-10-24,2022-10-24 21:30:00+05:30,1,-1.0
2022-10-25,2022-10-25 14:30:00+05:30,-1,-1.0
2022-10-25,2022-10-25 20:00:00+05:30,1,1.5176483444432178
2022-10-28,2022-10-28 11:30:00+05:30,-1,-1.0
2022-10-28,2022-10-28 22:00:00+05:30,1,1.1306504888283702
2022-11-02,2022-11-02 15:00:00+05:30,-1,3.0
2022-11-03,2022-11-03 17:30:00+05:30,-1,-1.0
2022-11-04,2022-11-04 10:30:00+05:30,1,3.0
2022-11-07,2022-11-07 13:30:00+05:30,1,1.4104171286595377
2022-11-10,2022-11-10 18:30:00+05:30,1,3.0
2022-11-11,2022-11-11 23:30:00+05:30,1,-1.0
2022-11-15,2022-11-15 23:00:00+05:30,-1,-1.0
2022-11-17,2022-11-17 11:00:00+05:30,1,-1.0
2022-11-17,2022-11-17 15:00:00+05:30,1,-1.0
2022-11-18,2022-11-18 13:30:00+05:30,1,0.8782834128596214
2022-11-22,2022-11-23 00:30:00+05:30,1,-1.0
2022-11-23,2022-11-24 05:00:00+05:30,1,0.0808365654176578
2022-11-28,2022-11-28 14:00:00+05:30,-1,-1.0
2022-11-29,2022-11-29 12:00:00+05:30,1,-1.0
2022-11-30,2022-11-30 14:00:00+05:30,1,-1.0
2022-11-30,2022-12-01 00:00:00+05:30,1,-1.0
2022-12-02,2022-12-02 14:30:00+05:30,1,-1.0
2022-12-05,2022-12-05 19:00:00+05:30,-1,3.0
2022-12-07,2022-12-07 13:30:00+05:30,1,-1.0
2022-12-07,2022-12-07 17:00:00+05:30,-1,-1.0
2022-12-08,2022-12-09 07:30:00+05:30,1,-1.0
2022-12-09,2022-12-09 16:00:00+05:30,1,-1.0
2022-12-12,2022-12-12 13:00:00+05:30,-1,-1.0
2022-12-12,2022-12-13 01:00:00+05:30,1,-1.0
2022-12-13,2022-12-13 15:00:00+05:30,1,3.0
2022-12-14,2022-12-14 15:30:00+05:30,-1,-1.0
2022-12-15,2022-12-15 12:00:00+05:30,-1,3.0
2022-12-16,2022-12-16 13:00:00+05:30,-1,3.0
2022-12-20,2022-12-21 05:00:00+05:30,1,3.0
2022-12-22,2022-12-22 17:30:00+05:30,-1,3.0
2022-12-23,2022-12-23 19:30:00+05:30,-1,-1.0
2022-12-26,2022-12-27 06:00:00+05:30,1,-1.0
2022-12-28,2022-12-28 14:00:00+05:30,-1,-1.0
2022-12-28,2022-12-28 20:00:00+05:30,-1,-1.0
2022-12-29,2022-12-29 20:00:00+05:30,1,-1.0
2022-12-30,2022-12-30 17:30:00+05:30,-1,-1.0
2023-01-03,2023-01-03 13:00:00+05:30,1,3.0
2023-01-05,2023-01-06 07:30:00+05:30,1,-1.0
2023-01-06,2023-01-06 13:00:00+05:30,-1,-1.0
2023-01-06,2023-01-06 20:30:00+05:30,1,3.0
2023-01-09,2023-01-09 19:00:00+05:30,1,-1.0
2023-01-10,2023-01-10 20:30:00+05:30,1,3.0
2023-01-11,2023-01-11 20:00:00+05:30,1,-1.0
2023-01-11,2023-01-11 21:30:00+05:30,1,3.0
2023-01-12,2023-01-12 22:00:00+05:30,1,-1.0
2023-01-13,2023-01-14 01:00:00+05:30,1,-1.0
2023-01-16,2023-01-17 04:30:00+05:30,-1,-1.0
2023-01-17,2023-01-17 20:00:00+05:30,1,-1.0
2023-01-18,2023-01-19 04:30:00+05:30,-1,3.0
2023-01-19,2023-01-20 00:00:00+05:30,1,-1.0
2023-01-20,2023-01-20 23:30:00+05:30,1,0.34039602556119697
2023-01-25,2023-01-25 14:30:00+05:30,-1,-1.0
2023-01-25,2023-01-25 16:30:00+05:30,-1,-1.0
2023-01-26,2023-01-26 10:30:00+05:30,1,-1.0
2023-01-26,2023-01-27 01:00:00+05:30,1,-1.0
2023-01-27,2023-01-27 17:30:00+05:30,-1,-1.0
2023-01-30,2023-01-30 13:00:00+05:30,-1,-1.0
2023-01-30,2023-01-30 14:30:00+05:30,-1,-1.0
2023-01-31,2023-01-31 13:00:00+05:30,-1,-1.0
2023-01-31,2023-01-31 20:30:00+05:30,1,3.0
2023-02-02,2023-02-02 13:00:00+05:30,1,-1.0
2023-02-06,2023-02-06 14:30:00+05:30,-1,-1.0
2023-02-06,2023-02-07 05:00:00+05:30,1,-1.0
2023-02-07,2023-02-07 22:30:00+05:30,1,-1.0
2023-02-07,2023-02-08 00:30:00+05:30,1,3.0
2023-02-09,2023-02-10 00:00:00+05:30,-1,3.0
2023-02-13,2023-02-13 13:30:00+05:30,1,1.9770753406924486
2023-02-15,2023-02-15 20:00:00+05:30,1,-1.0
2023-02-16,2023-02-17 10:00:00+05:30,-1,-1.0
2023-02-17,2023-02-17 20:00:00+05:30,1,-1.0
2023-02-22,2023-02-22 13:00:00+05:30,-1,-1.0
2023-02-22,2023-02-22 18:30:00+05:30,1,-1.0
2023-02-23,2023-02-23 19:30:00+05:30,1,-1.0
2023-02-24,2023-02-24 16:00:00+05:30,-1,3.0
2023-02-27,2023-02-27 13:00:00+05:30,1,-1.0
2023-02-28,2023-03-01 05:00:00+05:30,-1,-1.0
2023-03-01,2023-03-01 15:30:00+05:30,1,-1.0
2023-03-01,2023-03-01 20:00:00+05:30,-1,3.0
2023-03-03,2023-03-03 13:00:00+05:30,1,3.0
2023-03-06,2023-03-06 18:30:00+05:30,1,-1.0
2023-03-07,2023-03-07 20:00:00+05:30,-1,-1.0
2023-03-09,2023-03-09 13:00:00+05:30,-1,-1.0
2023-03-09,2023-03-10 01:00:00+05:30,-1,3.0
2023-03-10,2023-03-10 23:00:00+05:30,-1,-1.0
2023-03-13,2023-03-13 14:30:00+05:30,-1,-1.0
2023-03-15,2023-03-15 15:00:00+05:30,-1,3.0
2023-03-15,2023-03-16 06:30:00+05:30,1,-1.0
2023-03-16,2023-03-16 22:30:00+05:30,1,-1.0
2023-03-20,2023-03-20 11:30:00+05:30,-1,-1.0
2023-03-20,2023-03-20 21:00:00+05:30,1,0.9379854638260038
2023-03-23,2023-03-23 11:30:00+05:30,1,-1.0
2023-03-23,2023-03-24 00:00:00+05:30,-1,-1.0
2023-03-24,2023-03-24 13:00:00+05:30,1,-1.0
2023-03-24,2023-03-24 14:00:00+05:30,-1,3.0
2023-03-27,2023-03-27 12:00:00+05:30,1,-1.0
2023-03-27,2023-03-27 15:00:00+05:30,1,2.1357398743221663
2023-03-29,2023-03-30 01:00:00+05:30,1,3.0
2023-03-30,2023-03-31 06:00:00+05:30,1,-1.0
2023-03-31,2023-03-31 18:30:00+05:30,1,-1.0
2023-04-04,2023-04-04 14:00:00+05:30,1,-1.0
2023-04-05,2023-04-05 13:00:00+05:30,-1,-1.0
2023-04-10,2023-04-11 06:00:00+05:30,1,-1.0
2023-04-11,2023-04-11 17:00:00+05:30,-1,-1.0
2023-04-12,2023-04-12 14:00:00+05:30,1,-1.0
2023-04-13,2023-04-13 22:30:00+05:30,1,1.3401039578441016
2023-04-18,2023-04-18 15:00:00+05:30,1,-1.0
2023-04-21,2023-04-21 13:00:00+05:30,-1,-1.0
2023-04-21,2023-04-21 14:00:00+05:30,-1,-1.0
2023-04-24,2023-04-24 11:30:00+05:30,-1,-1.0
2023-04-24,2023-04-24 14:30:00+05:30,-1,-1.0
2023-04-25,2023-04-25 13:00:00+05:30,-1,-1.0
2023-04-25,2023-04-25 21:00:00+05:30,1,-1.0
2023-04-26,2023-04-26 13:00:00+05:30,-1,-1.0
2023-04-27,2023-04-27 14:30:00+05:30,1,-1.0
2023-04-28,2023-04-28 21:30:00+05:30,1,-1.0
2023-05-02,2023-05-02 20:00:00+05:30,-1,-1.0
2023-05-03,2023-05-04 01:00:00+05:30,-1,-1.0
2023-05-05,2023-05-05 14:30:00+05:30,1,1.061070715637694
2023-05-10,2023-05-10 20:30:00+05:30,-1,-1.0
2023-05-11,2023-05-11 12:00:00+05:30,1,-1.0
2023-05-11,2023-05-11 19:00:00+05:30,-1,-1.0
2023-05-12,2023-05-12 14:00:00+05:30,1,-1.0
2023-05-15,2023-05-15 11:00:00+05:30,1,-1.0
2023-05-15,2023-05-15 18:30:00+05:30,-1,-1.0
2023-05-16,2023-05-16 11:30:00+05:30,-1,-1.0
2023-05-17,2023-05-17 14:00:00+05:30,1,3.0
2023-05-18,2023-05-18 13:00:00+05:30,1,3.0
2023-05-19,2023-05-19 14:30:00+05:30,1,-1.0
2023-05-22,2023-05-22 17:00:00+05:30,-1,-1.0
2023-05-23,2023-05-23 12:00:00+05:30,-1,3.0
2023-05-24,2023-05-24 12:00:00+05:30,-1,3.0
2023-05-25,2023-05-25 13:00:00+05:30,-1,-1.0
2023-05-26,2023-05-26 19:00:00+05:30,1,3.0
2023-05-29,2023-05-29 12:30:00+05:30,1,-1.0
2023-05-29,2023-05-29 15:30:00+05:30,-1,-1.0
2023-05-30,2023-05-30 21:00:00+05:30,-1,3.0
2023-05-31,2023-05-31 20:00:00+05:30,-1,-1.0
2023-06-01,2023-06-01 13:00:00+05:30,1,-1.0
2023-06-01,2023-06-01 22:00:00+05:30,1,3.0
2023-06-02,2023-06-02 21:00:00+05:30,1,-1.0
2023-06-05,2023-06-05 19:30:00+05:30,-1,-1.0
2023-06-07,2023-06-07 12:30:00+05:30,-1,1.201333271607756
2023-06-11,2023-06-12 06:00:00+05:30,1,3.0
2023-06-12,2023-06-13 01:00:00+05:30,1,-1.0
2023-06-13,2023-06-13 22:30:00+05:30,1,-1.0
2023-06-15,2023-06-16 00:30:00+05:30,1,-1.0
2023-06-16,2023-06-16 14:30:00+05:30,1,-1.0
2023-06-16,2023-06-16 16:30:00+05:30,1,-1.0
2023-06-19,2023-06-19 19:00:00+05:30,-1,3.0
2023-06-21,2023-06-21 11:30:00+05:30,-1,3.0
2023-06-21,2023-06-22 06:30:00+05:30,-1,3.0
2023-06-23,2023-06-23 10:00:00+05:30,-1,-1.0
2023-06-23,2023-06-23 13:30:00+05:30,-1,-0.22615809429611064
2023-06-27,2023-06-27 23:30:00+05:30,1,1.5974848555841248
2023-07-02,2023-07-03 05:30:00+05:30,1,-1.0
2023-07-04,2023-07-04 12:00:00+05:30,-1,-1.0
2023-07-04,2023-07-04 14:30:00+05:30,-1,3.0
2023-07-05,2023-07-05 20:30:00+05:30,-1,3.0
2023-07-07,2023-07-07 13:00:00+05:30,-1,-1.0
2023-07-07,2023-07-07 16:30:00+05:30,1,3.0
2023-07-11,2023-07-11 12:00:00+05:30,1,-1.0
2023-07-11,2023-07-11 14:00:00+05:30,-1,-1.0
2023-07-12,2023-07-12 10:00:00+05:30,1,-1.0
2023-07-12,2023-07-12 13:30:00+05:30,1,3.0
2023-07-13,2023-07-13 14:00:00+05:30,1,-1.0
2023-07-17,2023-07-17 12:00:00+05:30,-1,-1.0
2023-07-17,2023-07-17 15:30:00+05:30,-1,-1.0
2023-07-18,2023-07-18 13:00:00+05:30,-1,-1.0
2023-07-18,2023-07-18 20:00:00+05:30,1,3.0
2023-07-19,2023-07-19 14:00:00+05:30,1,-1.0
2023-07-19,2023-07-19 17:30:00+05:30,-1,-1.0
2023-07-20,2023-07-20 14:00:00+05:30,1,-1.0
2023-07-20,2023-07-21 01:00:00+05:30,-1,-1.0
2023-07-21,2023-07-21 18:30:00+05:30,1,-1.0
2023-07-24,2023-07-24 12:00:00+05:30,-1,-1.0
2023-07-24,2023-07-24 15:00:00+05:30,1,-1.0
2023-07-25,2023-07-25 13:00:00+05:30,-1,-1.0
2023-07-25,2023-07-26 09:00:00+05:30,1,-1.0
2023-07-26,2023-07-26 13:00:00+05:30,-1,3.0
2023-07-27,2023-07-27 13:30:00+05:30,1,3.0
2023-07-28,2023-07-28 18:00:00+05:30,1,-1.0
2023-08-01,2023-08-01 21:00:00+05:30,-1,3.0
2023-08-02,2023-08-03 01:00:00+05:30,-1,-1.0
2023-08-03,2023-08-03 12:30:00+05:30,-1,-0.2526448287229971
2023-08-07,2023-08-07 23:30:00+05:30,1,-1.0
2023-08-08,2023-08-08 11:30:00+05:30,-1,3.0
2023-08-08,2023-08-08 23:30:00+05:30,1,3.0
2023-08-10,2023-08-10 20:00:00+05:30,1,-1.0
2023-08-11,2023-08-11 14:00:00+05:30,-1,-1.0
2023-08-11,2023-08-11 18:30:00+05:30,-1,-1.0
2023-08-13,2023-08-14 08:00:00+05:30,-1,-1.0
2023-08-14,2023-08-14 13:30:00+05:30,1,-1.0
2023-08-14,2023-08-15 05:30:00+05:30,1,-1.0
2023-08-15,2023-08-15 13:30:00+05:30,-1,1.9234602352003105
2023-08-17,2023-08-18 00:30:00+05:30,-1,-1.0
2023-08-22,2023-08-22 12:00:00+05:30,1,3.0
2023-08-24,2023-08-24 13:00:00+05:30,1,-1.0
2023-08-24,2023-08-24 20:00:00+05:30,-1,-1.0
2023-08-28,2023-08-28 12:00:00+05:30,1,-1.0
2023-08-28,2023-08-28 19:00:00+05:30,1,3.0
2023-08-29,2023-08-30 05:30:00+05:30,1,-1.0
2023-08-31,2023-08-31 13:00:00+05:30,1,-1.0
2023-09-01,2023-09-01 19:30:00+05:30,-1,-1.0
2023-09-04,2023-09-04 20:30:00+05:30,-1,1.593490649022835
2023-09-07,2023-09-07 10:30:00+05:30,-1,-1.0
2023-09-08,2023-09-08 11:00:00+05:30,1,-1.0
2023-09-08,2023-09-08 14:00:00+05:30,-1,-1.0
2023-09-11,2023-09-11 11:00:00+05:30,1,-1.0
2023-09-12,2023-09-13 07:30:00+05:30,-1,-1.0
2023-09-13,2023-09-13 16:00:00+05:30,-1,-1.0
2023-09-14,2023-09-14 09:30:00+05:30,1,-1.0
2023-09-14,2023-09-14 18:30:00+05:30,1,3.0
2023-09-15,2023-09-15 23:00:00+05:30,-1,3.0
2023-09-19,2023-09-19 11:30:00+05:30,-1,-1.0
2023-09-19,2023-09-19 20:30:00+05:30,-1,-1.0
2023-09-20,2023-09-20 12:00:00+05:30,1,-1.0
2023-09-20,2023-09-21 07:30:00+05:30,-1,-1.0
2023-09-21,2023-09-21 16:30:00+05:30,-1,3.0
