ny_date,ist_time,side,r
2008-03-09,2008-03-10 02:30:00+05:30,-1,-1.0
2008-04-06,2008-04-07 02:30:00+05:30,1,-1.0
2008-06-24,2008-06-25 02:30:00+05:30,-1,3.0
2008-09-07,2008-09-08 02:30:00+05:30,-1,3.0
2008-10-08,2008-10-09 02:30:00+05:30,-1,-1.0
2008-10-15,2008-10-16 02:30:00+05:30,-1,3.0
2008-11-02,2008-11-03 02:30:00+05:30,-1,0.9555278398494121
2009-02-09,2009-02-10 02:30:00+05:30,1,-1.0
2009-03-02,2009-03-03 02:30:00+05:30,-1,-1.0
2009-04-07,2009-04-07 18:30:00+05:30,1,3.0
2009-05-28,2009-05-28 18:30:00+05:30,1,2.1078245582910635
2009-09-02,2009-09-02 18:30:00+05:30,-1,-1.0
2009-09-16,2009-09-16 18:30:00+05:30,1,-1.0
2009-10-19,2009-10-19 18:30:00+05:30,1,-1.0
2009-11-16,2009-11-16 18:30:00+05:30,1,-1.0
2010-01-21,2010-01-21 18:30:00+05:30,-1,-0.6764107746628241
2010-03-24,2010-03-25 02:30:00+05:30,-1,-1.0
2010-03-31,2010-04-01 02:30:00+05:30,1,-1.0
2010-05-05,2010-05-06 02:30:00+05:30,-1,-1.0
2010-07-25,2010-07-26 02:30:00+05:30,1,3.0
2010-11-03,2010-11-04 02:30:00+05:30,1,-1.0
2010-12-16,2010-12-17 02:30:00+05:30,-1,-1.0
2011-01-04,2011-01-05 02:30:00+05:30,1,-1.0
2011-03-08,2011-03-09 02:30:00+05:30,1,-1.0
2011-03-17,2011-03-18 02:30:00+05:30,-1,-1.0
2011-04-05,2011-04-06 02:30:00+05:30,1,-1.0
2011-05-04,2011-05-05 02:30:00+05:30,-1,1.1000489999554506
2011-08-07,2011-08-08 02:30:00+05:30,-1,3.0
2011-09-22,2011-09-23 02:30:00+05:30,-1,-1.0
2011-10-27,2011-10-28 02:30:00+05:30,1,-1.0
2012-01-17,2012-01-18 02:30:00+05:30,1,1.7866571298523926
2012-05-02,2012-05-03 02:30:00+05:30,1,-1.0
2012-05-14,2012-05-15 02:30:00+05:30,-1,-0.7333677070073968
2012-09-16,2012-09-17 02:30:00+05:30,1,3.0
2013-02-21,2013-02-22 02:30:00+05:30,-1,-1.0
2013-03-18,2013-03-19 02:30:00+05:30,-1,-1.0
2013-05-26,2013-05-27 02:30:00+05:30,1,-1.0
2013-06-13,2013-06-14 02:30:00+05:30,-1,-1.0
2013-07-23,2013-07-24 02:30:00+05:30,1,2.0413933808930396
2013-11-13,2013-11-14 02:30:00+05:30,-1,-1.0
2013-11-18,2013-11-19 02:30:00+05:30,1,-1.0
2014-01-07,2014-01-08 02:30:00+05:30,-1,-1.0
2014-01-26,2014-01-27 02:30:00+05:30,-1,-1.0
2014-03-12,2014-03-13 02:30:00+05:30,-1,-1.0
2014-04-10,2014-04-11 02:30:00+05:30,1,-1.0
2014-06-15,2014-06-16 02:30:00+05:30,1,3.0
2014-08-19,2014-08-20 02:30:00+05:30,1,-1.0
2014-09-03,2014-09-04 02:30:00+05:30,1,-1.0
2014-09-15,2014-09-16 02:30:00+05:30,-1,3.0
2014-10-29,2014-10-30 02:30:00+05:30,1,-1.0
2014-12-15,2014-12-16 02:30:00+05:30,-1,-1.0
2015-01-15,2015-01-16 02:30:00+05:30,1,3.0
2015-04-27,2015-04-28 02:30:00+05:30,1,-1.0
2015-06-09,2015-06-10 02:30:00+05:30,-1,3.0
2015-08-12,2015-08-13 02:30:00+05:30,-1,3.0
2015-09-07,2015-09-08 02:30:00+05:30,-1,-1.0
2015-10-07,2015-10-08 02:30:00+05:30,1,-1.0
2015-12-20,2015-12-21 02:30:00+05:30,-1,-1.0
2016-01-06,2016-01-07 02:30:00+05:30,-1,3.0
2016-02-14,2016-02-15 02:30:00+05:30,-1,-1.0
2016-03-02,2016-03-03 02:30:00+05:30,1,0.8853648300257784
2016-07-13,2016-07-14 02:30:00+05:30,1,3.0
2016-09-05,2016-09-06 02:30:00+05:30,1,-1.0
2016-10-13,2016-10-14 02:30:00+05:30,-1,0.22072985870084164
2017-01-26,2017-01-27 02:30:00+05:30,1,2.1959708786276897
2017-03-31,2017-03-31 14:30:00+05:30,-1,-1.0
2017-04-07,2017-04-07 10:30:00+05:30,-1,-1.0
2017-04-18,2017-04-18 14:30:00+05:30,-1,-1.0
2017-04-25,2017-04-25 10:30:00+05:30,1,3.0
2017-05-12,2017-05-12 18:30:00+05:30,1,3.0
2017-06-02,2017-06-02 10:30:00+05:30,1,-1.0
2017-06-12,2017-06-12 10:30:00+05:30,-1,-1.0
2017-06-15,2017-06-15 10:30:00+05:30,-1,-1.0
2017-07-04,2017-07-04 10:30:00+05:30,-1,-1.0
2017-07-11,2017-07-11 10:30:00+05:30,1,3.0
2017-07-19,2017-07-19 14:30:00+05:30,1,3.0
2017-08-08,2017-08-08 14:30:00+05:30,1,-1.0
2017-08-10,2017-08-10 10:30:00+05:30,-1,-1.0
2017-08-25,2017-08-25 10:30:00+05:30,1,0.28566353389528404
2017-09-18,2017-09-18 14:30:00+05:30,1,-1.0
2017-09-22,2017-09-22 10:30:00+05:30,-1,-1.0
2017-10-16,2017-10-16 10:30:00+05:30,1,-1.0
2017-10-19,2017-10-19 14:30:00+05:30,-1,-1.0
2017-10-27,2017-10-27 10:30:00+05:30,1,-1.0
2017-11-06,2017-11-07 06:30:00+05:30,1,3.0
2017-11-28,2017-11-28 10:30:00+05:30,-1,3.0
2017-12-06,2017-12-06 10:30:00+05:30,-1,-1.0
2017-12-13,2017-12-13 10:30:00+05:30,1,-1.0
2017-12-21,2017-12-21 18:30:00+05:30,1,3.0
2018-01-12,2018-01-12 14:30:00+05:30,1,3.0
2018-01-19,2018-01-19 14:30:00+05:30,1,2.9999999999999876
2018-01-26,2018-01-26 14:30:00+05:30,1,-1.0
2018-01-30,2018-01-31 02:30:00+05:30,-1,-1.0
2018-02-04,2018-02-05 02:30:00+05:30,-1,-1.0
2018-02-08,2018-02-09 06:30:00+05:30,-1,-1.0
2018-02-21,2018-02-22 02:30:00+05:30,1,-1.0
2018-03-02,2018-03-02 18:30:00+05:30,-1,-1.0
2018-03-08,2018-03-08 18:30:00+05:30,1,-1.0
2018-04-04,2018-04-04 14:30:00+05:30,-1,-1.0
2018-04-10,2018-04-10 10:30:00+05:30,1,-1.0
2018-04-26,2018-04-27 06:30:00+05:30,-1,-1.0
2018-05-01,2018-05-02 06:30:00+05:30,1,-1.0
2018-05-11,2018-05-11 10:30:00+05:30,1,-1.0
2018-05-23,2018-05-24 06:30:00+05:30,-1,-1.0
2018-06-11,2018-06-11 10:30:00+05:30,1,-1.0
2018-07-05,2018-07-05 10:30:00+05:30,-1,-1.0
2018-07-17,2018-07-17 14:30:00+05:30,-1,-1.0
2018-07-24,2018-07-24 10:30:00+05:30,1,-1.0
2018-08-01,2018-08-01 14:30:00+05:30,-1,-1.0
2018-08-09,2018-08-09 10:30:00+05:30,1,-1.0
2018-08-12,2018-08-13 06:30:00+05:30,-1,3.0
2018-08-20,2018-08-20 14:30:00+05:30,1,0.34873427661731116
2018-09-05,2018-09-05 14:30:00+05:30,-1,3.0
2018-09-11,2018-09-12 06:30:00+05:30,-1,-1.0
2018-09-13,2018-09-14 06:30:00+05:30,1,-1.0
2018-09-19,2018-09-19 18:30:00+05:30,1,-1.0
2018-10-04,2018-10-04 10:30:00+05:30,-1,3.0
2018-10-18,2018-10-18 22:30:00+05:30,-1,-1.0
2018-10-22,2018-10-22 10:30:00+05:30,1,-1.0
2018-10-24,2018-10-25 02:30:00+05:30,-1,-1.0
2018-11-01,2018-11-01 10:30:00+05:30,1,0.8762915973599888
2018-11-15,2018-11-16 02:30:00+05:30,1,-1.0
2018-11-26,2018-11-26 10:30:00+05:30,1,-1.0
2018-12-09,2018-12-10 06:30:00+05:30,-1,-1.0
2018-12-12,2018-12-12 18:30:00+05:30,1,-1.0
2018-12-17,2018-12-18 02:30:00+05:30,-1,0.2951322430050412
2019-01-04,2019-01-04 22:30:00+05:30,1,2.395753244590563
2019-01-21,2019-01-21 10:30:00+05:30,1,-1.0
2019-01-25,2019-01-25 10:30:00+05:30,1,2.2354720415428613
2019-02-19,2019-02-20 06:30:00+05:30,1,1.3727472527472442
2019-03-07,2019-03-08 02:30:00+05:30,-1,-1.0
2019-03-15,2019-03-15 10:30:00+05:30,1,-1.0
2019-03-24,2019-03-25 02:30:00+05:30,-1,-1.0
2019-04-05,2019-04-05 18:30:00+05:30,1,-1.0
2019-04-11,2019-04-11 10:30:00+05:30,-1,-1.0
2019-04-24,2019-04-24 10:30:00+05:30,-1,-1.0
2019-05-03,2019-05-03 14:30:00+05:30,1,-1.0
2019-05-06,2019-05-06 10:30:00+05:30,-1,-1.0
2019-05-08,2019-05-08 18:30:00+05:30,-1,3.0
2019-05-13,2019-05-14 06:30:00+05:30,-1,-1.0
2019-05-17,2019-05-17 14:30:00+05:30,-1,1.9431244934898868
2019-06-10,2019-06-10 10:30:00+05:30,1,-1.0
2019-06-18,2019-06-18 18:30:00+05:30,1,3.0
