ny_date,ist_time,side,r
2019-12-12,2019-12-13 02:30:00+05:30,1,2.0
2020-02-06,2020-02-07 02:30:00+05:30,1,-1.0
2020-02-25,2020-02-26 02:30:00+05:30,-1,2.0
2020-03-09,2020-03-10 02:30:00+05:30,-1,-1.0
2020-03-11,2020-03-12 02:30:00+05:30,-1,2.0
2020-04-29,2020-04-30 02:30:00+05:30,1,0.17335090408293702
2020-07-20,2020-07-21 02:30:00+05:30,1,2.0
2020-09-08,2020-09-09 02:30:00+05:30,-1,-1.0
2020-10-08,2020-10-09 02:30:00+05:30,1,-1.0
2020-11-11,2020-11-12 02:30:00+05:30,1,0.8118232620832714
2020-12-28,2020-12-29 02:30:00+05:30,1,1.5100037423074792
2021-03-17,2021-03-18 02:30:00+05:30,1,2.000000000000004
2021-05-09,2021-05-10 02:30:00+05:30,1,-1.0
2021-06-14,2021-06-15 02:30:00+05:30,1,-1.0
2021-06-20,2021-06-21 02:30:00+05:30,-1,-1.0
2021-06-27,2021-06-28 02:30:00+05:30,1,1.6447689536132184
2021-08-22,2021-08-23 02:30:00+05:30,1,-1.0
2021-09-21,2021-09-22 02:30:00+05:30,-1,-1.0
2021-10-19,2021-10-20 02:30:00+05:30,1,2.0
2021-12-27,2021-12-28 02:30:00+05:30,1,-1.0
2022-01-19,2022-01-20 02:30:00+05:30,-1,2.0
2022-03-20,2022-03-21 02:30:00+05:30,1,-1.0
2022-05-08,2022-05-09 02:30:00+05:30,-1,2.0
2022-07-19,2022-07-20 02:30:00+05:30,1,0.08235409037439125
2022-09-20,2022-09-21 02:30:00+05:30,-1,2.0
2022-10-25,2022-10-26 02:30:00+05:30,1,0.5704921385323949
2022-12-15,2022-12-16 02:30:00+05:30,-1,-1.0
2023-02-02,2023-02-03 02:30:00+05:30,1,-1.0
2023-03-13,2023-03-14 02:30:00+05:30,-1,-1.0
2023-03-30,2023-03-31 02:30:00+05:30,1,0.6113500048299167
2023-05-18,2023-05-19 02:30:00+05:30,1,2.0
2023-07-03,2023-07-04 02:30:00+05:30,1,-0.16440107133997692
2023-08-17,2023-08-18 02:30:00+05:30,-1,-1.0
2023-08-24,2023-08-25 02:30:00+05:30,-1,-1.0
2023-09-20,2023-09-21 02:30:00+05:30,-1,2.0
2023-10-25,2023-10-26 02:30:00+05:30,-1,-1.0
2023-11-12,2023-11-13 02:30:00+05:30,1,2.0
2024-01-21,2024-01-22 02:30:00+05:30,1,2.0
2024-02-22,2024-02-23 02:30:00+05:30,1,2.0
2024-05-15,2024-05-16 02:30:00+05:30,1,1.4720464867223153
2024-07-03,2024-07-04 02:30:00+05:30,1,-1.0
2024-07-25,2024-07-26 02:30:00+05:30,-1,-1.0
2024-08-04,2024-08-05 02:30:00+05:30,-1,-1.0
2024-08-19,2024-08-20 02:30:00+05:30,1,-1.0
2024-09-19,2024-09-20 02:30:00+05:30,1,0.08058432603041095
2024-11-06,2024-11-07 02:30:00+05:30,1,-0.526842984442902
2024-12-26,2024-12-27 02:30:00+05:30,-1,2.0
2025-02-19,2025-02-20 02:30:00+05:30,1,-1.0
2025-02-27,2025-02-28 02:30:00+05:30,-1,2.0
2025-04-03,2025-04-04 02:30:00+05:30,-1,2.0
2025-05-12,2025-05-13 02:30:00+05:30,1,0.8022923764179667
2025-06-24,2025-06-25 02:30:00+05:30,1,1.3600310925431394
2025-08-12,2025-08-13 02:30:00+05:30,1,1.5326132533804833
2025-10-02,2025-10-03 02:30:00+05:30,1,-1.0
2025-10-12,2025-10-13 02:30:00+05:30,-1,-1.0
2025-10-26,2025-10-27 02:30:00+05:30,1,-1.0
2025-11-18,2025-11-19 02:30:00+05:30,-1,-1.0
2025-12-11,2025-12-12 02:30:00+05:30,1,-1.0
2026-01-11,2026-01-12 02:30:00+05:30,1,-1.0
2026-01-20,2026-01-21 02:30:00+05:30,-1,-1.0
2026-02-05,2026-02-06 02:30:00+05:30,-1,-1.0
2026-03-08,2026-03-09 02:30:00+05:30,-1,2.0
2026-04-05,2026-04-06 02:30:00+05:30,-1,-1.0
2026-04-15,2026-04-16 02:30:00+05:30,1,2.0
2026-05-25,2026-05-26 02:30:00+05:30,1,-1.0
2026-06-10,2026-06-11 02:30:00+05:30,-1,-1.0
