ny_date,ist_time,side,r
2012-06-02,2012-06-03 02:30:00+05:30,-1,-1.0
2012-06-10,2012-06-11 02:30:00+05:30,1,-1.0
2012-06-19,2012-06-20 02:30:00+05:30,1,-1.0
2012-07-03,2012-07-04 02:30:00+05:30,1,-1.0
2012-07-28,2012-07-29 02:30:00+05:30,1,2.0
2012-10-10,2012-10-11 02:30:00+05:30,-1,-1.0
2012-10-23,2012-10-24 02:30:00+05:30,-1,2.0
2012-12-11,2012-12-12 02:30:00+05:30,1,-1.0
2013-01-02,2013-01-03 02:30:00+05:30,1,2.0
2013-02-25,2013-02-26 02:30:00+05:30,-1,-1.0
2013-03-05,2013-03-06 02:30:00+05:30,1,2.0
2013-04-10,2013-04-11 02:30:00+05:30,1,-1.0
2013-05-04,2013-05-05 02:30:00+05:30,1,2.0
2013-06-05,2013-06-06 02:30:00+05:30,-1,-1.0
2013-06-11,2013-06-12 02:30:00+05:30,-1,2.0
2013-07-10,2013-07-11 02:30:00+05:30,1,-1.0
2013-09-10,2013-09-11 02:30:00+05:30,1,-1.0
2013-10-19,2013-10-20 02:30:00+05:30,1,2.0
2013-12-12,2013-12-13 02:30:00+05:30,-1,-1.0
2013-12-21,2013-12-22 02:30:00+05:30,1,-1.0
2014-01-26,2014-01-27 02:30:00+05:30,-1,-1.0
2014-02-27,2014-02-28 02:30:00+05:30,1,-1.0
2014-05-12,2014-05-13 02:30:00+05:30,1,2.0
2014-07-31,2014-08-01 02:30:00+05:30,-1,-1.0
2014-08-25,2014-08-26 02:30:00+05:30,1,-1.0
2014-09-30,2014-10-01 02:30:00+05:30,-1,2.0
2014-11-06,2014-11-07 02:30:00+05:30,1,-1.0
2014-12-28,2014-12-29 02:30:00+05:30,1,-1.0
2015-02-11,2015-02-12 02:30:00+05:30,1,0.15778343191356123
2015-06-29,2015-06-30 02:30:00+05:30,-1,-1.0
2015-08-20,2015-08-21 02:30:00+05:30,-1,2.0
2015-10-18,2015-10-19 02:30:00+05:30,1,-1.0
2016-01-07,2016-01-08 02:30:00+05:30,-1,2.0
2016-03-01,2016-03-02 02:30:00+05:30,1,1.4175289709422079
2016-06-13,2016-06-14 02:30:00+05:30,-1,-1.0
2016-06-26,2016-06-27 02:30:00+05:30,-1,-1.0
2016-07-11,2016-07-12 02:30:00+05:30,1,0.2540027673453249
2016-11-01,2016-11-02 02:30:00+05:30,-1,-1.0
2016-11-09,2016-11-10 02:30:00+05:30,1,2.0
2017-01-25,2017-01-26 02:30:00+05:30,1,-1.0
2017-02-12,2017-02-13 02:30:00+05:30,1,2.0
2017-03-21,2017-03-22 02:30:00+05:30,-1,-1.0
2017-04-25,2017-04-26 02:30:00+05:30,1,-1.0
2017-05-25,2017-05-26 02:30:00+05:30,1,2.0
2017-08-10,2017-08-11 02:30:00+05:30,-1,-1.0
2017-08-17,2017-08-18 02:30:00+05:30,-1,-1.0
2017-09-11,2017-09-12 02:30:00+05:30,1,2.0
2017-10-16,2017-10-17 06:30:00+05:30,1,0.7028668658370102
2017-11-01,2017-11-01 18:30:00+05:30,1,-1.0
