ny_date,ist_time,side,r
2012-06-02,2012-06-03 02:30:00+05:30,-1,-1.0
2012-06-10,2012-06-11 02:30:00+05:30,1,-1.0
2012-06-14,2012-06-15 02:30:00+05:30,1,1.4251720712722198
2012-09-13,2012-09-14 02:30:00+05:30,1,-1.0
2012-10-10,2012-10-11 02:30:00+05:30,-1,-1.0
2012-10-20,2012-10-21 02:30:00+05:30,-1,3.0
2012-12-18,2012-12-19 02:30:00+05:30,1,-1.0
2012-12-29,2012-12-30 02:30:00+05:30,-1,-1.0
2013-01-05,2013-01-06 02:30:00+05:30,1,3.0
2013-04-10,2013-04-11 02:30:00+05:30,1,-1.0
2013-04-16,2013-04-17 02:30:00+05:30,1,-1.0
2013-05-04,2013-05-05 02:30:00+05:30,1,-1.0
2013-06-20,2013-06-21 02:30:00+05:30,-1,-1.0
2013-07-10,2013-07-11 02:30:00+05:30,1,-1.0
2013-11-11,2013-11-12 02:30:00+05:30,1,0.5964132318589377
2014-04-02,2014-04-03 02:30:00+05:30,1,-1.0
2014-05-12,2014-05-13 02:30:00+05:30,1,-1.0
2014-06-05,2014-06-06 02:30:00+05:30,1,-1.0
2014-07-31,2014-08-01 02:30:00+05:30,-1,-1.0
2014-09-18,2014-09-19 02:30:00+05:30,1,-1.0
2014-09-24,2014-09-25 02:30:00+05:30,1,-1.0
2014-10-01,2014-10-02 02:30:00+05:30,-1,3.0
2014-11-05,2014-11-06 02:30:00+05:30,1,-1.0
2014-12-28,2014-12-29 02:30:00+05:30,1,-1.0
2015-02-11,2015-02-12 02:30:00+05:30,1,-0.005339556223550861
2015-05-14,2015-05-15 02:30:00+05:30,1,-1.0
2015-06-29,2015-06-30 02:30:00+05:30,-1,-1.0
2015-08-20,2015-08-21 02:30:00+05:30,-1,3.0
2015-10-08,2015-10-09 02:30:00+05:30,1,0.15664141023658446
2016-01-06,2016-01-07 02:30:00+05:30,-1,3.0
2016-02-25,2016-02-26 02:30:00+05:30,1,1.2309835011784842
2016-06-08,2016-06-09 02:30:00+05:30,1,-1.0
2016-06-23,2016-06-24 02:30:00+05:30,1,-1.0
2016-06-26,2016-06-27 02:30:00+05:30,-1,-1.0
2016-07-11,2016-07-12 02:30:00+05:30,1,-0.14831647363534287
2016-11-02,2016-11-03 02:30:00+05:30,-1,-1.0
2016-11-08,2016-11-09 02:30:00+05:30,1,-1.0
2016-11-22,2016-11-23 02:30:00+05:30,1,3.0
2017-02-09,2017-02-10 02:30:00+05:30,1,3.0
2017-03-21,2017-03-22 02:30:00+05:30,-1,-1.0
2017-04-25,2017-04-26 02:30:00+05:30,1,-1.0
2017-06-01,2017-06-02 02:30:00+05:30,1,3.0
2017-09-12,2017-09-13 02:30:00+05:30,1,3.0
2017-10-16,2017-10-16 22:30:00+05:30,1,3.0
2017-11-01,2017-11-01 14:30:00+05:30,1,-1.0
2017-11-02,2017-11-03 06:30:00+05:30,1,-1.0
2017-11-09,2017-11-09 18:30:00+05:30,-1,-1.0
2017-11-28,2017-11-28 14:30:00+05:30,1,3.0
2017-12-03,2017-12-04 06:30:00+05:30,1,-1.0
