ny_date,ist_time,side,r
2011-03-23,2011-03-24 03:30:00+05:30,1,3.0
2011-06-27,2011-06-28 03:30:00+05:30,-1,-1.0
2011-07-13,2011-07-14 03:30:00+05:30,1,0.9012514393450508
2011-09-22,2011-09-23 03:30:00+05:30,-1,0.5063192009734838
2011-12-14,2011-12-15 03:30:00+05:30,-1,-1.0
2012-02-02,2012-02-03 03:30:00+05:30,1,-1.0
2012-03-14,2012-03-15 03:30:00+05:30,-1,0.4008483975793458
2012-05-08,2012-05-09 03:30:00+05:30,-1,0.6781589993108798
2012-06-21,2012-06-22 03:30:00+05:30,-1,-0.5082505805049139
2012-08-06,2012-08-07 03:30:00+05:30,1,3.0
2012-10-15,2012-10-16 03:30:00+05:30,-1,-1.0
2012-12-16,2012-12-17 03:30:00+05:30,-1,0.2602559066165322
2013-02-14,2013-02-15 03:30:00+05:30,-1,1.7025552684467478
2013-04-02,2013-04-03 03:30:00+05:30,-1,3.0
2013-06-20,2013-06-21 03:30:00+05:30,-1,-0.16132723112127967
2013-08-12,2013-08-13 03:30:00+05:30,1,0.19487582331258657
2013-10-22,2013-10-23 03:30:00+05:30,1,-1.0
2013-11-20,2013-11-21 03:30:00+05:30,-1,-0.22604256366096767
2014-02-16,2014-02-17 03:30:00+05:30,1,-1.0
2014-03-20,2014-03-21 03:30:00+05:30,-1,0.7239952718676141
2014-06-01,2014-06-02 03:30:00+05:30,-1,-1.0
2014-06-19,2014-06-20 03:30:00+05:30,1,-0.6145205925443543
2014-08-04,2014-08-05 03:30:00+05:30,-1,2.0579618566176516
2014-10-30,2014-10-31 03:30:00+05:30,-1,-1.0
2015-01-18,2015-01-19 03:30:00+05:30,1,-1.0
2015-02-19,2015-02-20 03:30:00+05:30,-1,-0.5902620876638042
2015-05-13,2015-05-14 03:30:00+05:30,1,-1.0
2015-06-08,2015-06-09 03:30:00+05:30,-1,1.3667592457243105
2015-07-27,2015-07-28 03:30:00+05:30,-1,-1.0
2015-08-26,2015-08-27 03:30:00+05:30,-1,-1.0
2015-09-17,2015-09-18 03:30:00+05:30,1,0.5066250974279041
2015-11-01,2015-11-02 03:30:00+05:30,-1,2.343431771894104
2015-12-14,2015-12-15 03:30:00+05:30,-1,-1.0
2015-12-17,2015-12-18 03:30:00+05:30,-1,-1.0
2016-01-26,2016-01-27 03:30:00+05:30,1,1.2714620187304881
