ny_date,ist_time,side,r
2011-02-24,2011-02-25 01:30:00+05:30,-1,-1.0
2011-02-28,2011-02-28 21:30:00+05:30,1,2.1669940601468682
2011-03-20,2011-03-21 01:30:00+05:30,1,2.153118815509789
2011-04-03,2011-04-04 05:30:00+05:30,1,3.0
2011-04-14,2011-04-15 01:30:00+05:30,1,3.0
2011-05-01,2011-05-02 05:30:00+05:30,-1,-1.0
2011-05-03,2011-05-04 01:30:00+05:30,-1,3.0
2011-05-16,2011-05-17 01:30:00+05:30,-1,-1.0
2011-05-24,2011-05-24 17:30:00+05:30,1,0.8166617698122319
2011-06-09,2011-06-10 01:30:00+05:30,1,-1.0
2011-06-13,2011-06-13 09:30:00+05:30,-1,1.526910600299973
2011-07-05,2011-07-06 01:30:00+05:30,1,3.0
2011-07-13,2011-07-13 21:30:00+05:30,1,3.0
2011-07-24,2011-07-25 05:30:00+05:30,1,-1.0
2011-08-01,2011-08-02 01:30:00+05:30,-1,-1.0
2011-08-02,2011-08-02 21:30:00+05:30,1,-1.0
2011-08-04,2011-08-05 01:30:00+05:30,-1,-1.0
2011-08-05,2011-08-05 21:30:00+05:30,-1,-1.0
2011-08-09,2011-08-10 01:30:00+05:30,-1,-1.0
2011-08-16,2011-08-17 01:30:00+05:30,1,0.6180177599541676
2011-09-02,2011-09-02 13:30:00+05:30,1,-1.0
2011-09-07,2011-09-07 17:30:00+05:30,-1,-1.0
2011-09-12,2011-09-13 01:30:00+05:30,-1,3.0
2011-10-05,2011-10-05 13:30:00+05:30,-1,-1.0
2011-10-09,2011-10-10 05:30:00+05:30,1,-0.18245708879578232
2011-10-25,2011-10-25 21:30:00+05:30,1,1.9744984061503905
2011-11-08,2011-11-09 05:30:00+05:30,1,-1.0
2011-11-10,2011-11-10 13:30:00+05:30,-1,-1.0
2011-11-16,2011-11-17 05:30:00+05:30,-1,3.0
2011-11-21,2011-11-21 21:30:00+05:30,-1,-1.0
2011-11-22,2011-11-23 01:30:00+05:30,1,-1.0
2011-11-27,2011-11-28 01:30:00+05:30,-1,-1.0
2011-11-30,2011-11-30 21:30:00+05:30,1,-1.0
2011-12-08,2011-12-09 01:30:00+05:30,-1,3.0
2011-12-26,2011-12-27 09:30:00+05:30,-1,3.0
2012-01-03,2012-01-04 01:30:00+05:30,1,-1.0
2012-01-10,2012-01-10 17:30:00+05:30,1,3.0
2012-01-25,2012-01-26 01:30:00+05:30,1,1.1655867166143554
2012-02-10,2012-02-10 17:30:00+05:30,-1,-1.0
2012-02-23,2012-02-23 17:30:00+05:30,1,3.0
2012-02-28,2012-02-28 21:30:00+05:30,1,-1.0
2012-02-29,2012-03-01 01:30:00+05:30,-1,-1.0
2012-03-06,2012-03-06 17:30:00+05:30,-1,-1.0
2012-03-09,2012-03-09 21:30:00+05:30,1,-1.0
2012-03-14,2012-03-14 17:30:00+05:30,-1,0.44754271453254757
2012-04-02,2012-04-02 21:30:00+05:30,1,-1.0
