ny_date,ist_time,side,r
2008-02-20,2008-02-21 03:30:00+05:30,1,-1.0
2008-04-01,2008-04-02 03:30:00+05:30,-1,-1.0
2008-05-01,2008-05-02 03:30:00+05:30,-1,-1.0
2008-06-26,2008-06-27 03:30:00+05:30,1,-1.0
2008-09-10,2008-09-11 03:30:00+05:30,-1,-1.0
2008-09-17,2008-09-18 03:30:00+05:30,1,-1.0
2008-10-16,2008-10-17 03:30:00+05:30,-1,0.4587712502375344
2008-12-02,2008-12-03 03:30:00+05:30,1,0.8797047869800693
2009-01-25,2009-01-26 03:30:00+05:30,1,0.44946508200800034
2009-04-06,2009-04-07 03:30:00+05:30,-1,-1.0
2009-05-13,2009-05-14 03:30:00+05:30,1,0.31606983244553116
2009-07-27,2009-07-28 03:30:00+05:30,1,1.4660624017169623
2009-10-06,2009-10-07 03:30:00+05:30,1,3.0
2010-02-04,2010-02-05 03:30:00+05:30,-1,-1.0
2010-03-03,2010-03-04 03:30:00+05:30,1,-1.0
2010-03-24,2010-03-25 03:30:00+05:30,-1,-1.0
2010-04-07,2010-04-08 03:30:00+05:30,1,0.7590714975265782
2010-06-20,2010-06-21 03:30:00+05:30,1,-1.0
2010-07-01,2010-07-02 03:30:00+05:30,-1,-0.3286929621036367
2010-08-16,2010-08-17 03:30:00+05:30,1,2.368670430892984
2010-11-07,2010-11-08 03:30:00+05:30,1,-1.0
2011-01-20,2011-01-21 03:30:00+05:30,-1,-1.0
2011-02-21,2011-02-22 03:30:00+05:30,1,1.3708207043318614
2011-04-05,2011-04-06 03:30:00+05:30,1,3.0
2011-06-26,2011-06-27 03:30:00+05:30,-1,-1.0
2011-07-12,2011-07-13 03:30:00+05:30,1,-1.0
2011-09-19,2011-09-20 03:30:00+05:30,-1,0.6442068883806918
2011-12-13,2011-12-14 03:30:00+05:30,-1,-1.0
2012-02-22,2012-02-23 03:30:00+05:30,1,-1.0
2012-03-01,2012-03-02 03:30:00+05:30,-1,1.2092584108964526
2012-05-08,2012-05-09 03:30:00+05:30,-1,-0.012736715309733382
2012-08-21,2012-08-22 03:30:00+05:30,1,3.0
2012-10-21,2012-10-22 03:30:00+05:30,-1,0.06855447982539441
2012-12-04,2012-12-05 03:30:00+05:30,-1,0.3532415907109262
2013-02-13,2013-02-14 03:30:00+05:30,-1,1.2418718541694966
2013-04-04,2013-04-05 03:30:00+05:30,-1,3.0
2013-06-20,2013-06-21 03:30:00+05:30,-1,-0.4364072094045589
2013-08-15,2013-08-16 03:30:00+05:30,1,-1.0
2013-11-20,2013-11-21 03:30:00+05:30,-1,0.1207981297843048
2014-02-11,2014-02-12 03:30:00+05:30,1,0.33440022334893643
