ny_date,ist_time,side,r
2020-07-20,2020-07-20 17:30:00+05:30,1,2.0
2020-07-22,2020-07-23 01:30:00+05:30,1,2.0
2020-07-23,2020-07-23 14:30:00+05:30,1,-1.0
2020-07-23,2020-07-23 21:30:00+05:30,1,-1.0
2020-07-24,2020-07-24 19:30:00+05:30,1,2.0
2020-07-27,2020-07-28 04:30:00+05:30,1,2.0
2020-07-28,2020-07-28 13:30:00+05:30,-1,-1.0
2020-07-28,2020-07-28 16:30:00+05:30,-1,-1.0
2020-07-29,2020-07-30 00:30:00+05:30,1,-1.0
2020-07-30,2020-07-31 07:30:00+05:30,1,2.0
2020-08-05,2020-08-05 12:30:00+05:30,1,1.9999999999999825
2020-08-06,2020-08-06 19:30:00+05:30,1,-1.0
2020-08-06,2020-08-07 00:30:00+05:30,1,-1.0
2020-08-07,2020-08-07 20:30:00+05:30,-1,2.0
2020-08-13,2020-08-13 20:30:00+05:30,1,2.0
2020-08-18,2020-08-18 21:30:00+05:30,1,-1.0
2020-08-19,2020-08-19 20:30:00+05:30,-1,2.0
2020-08-21,2020-08-21 14:30:00+05:30,-1,-1.0
2020-08-24,2020-08-25 01:30:00+05:30,-1,-1.0
2020-08-27,2020-08-27 20:30:00+05:30,-1,-1.0
2020-08-31,2020-09-01 08:30:00+05:30,1,-1.0
2020-09-02,2020-09-02 19:30:00+05:30,-1,2.0
2020-09-08,2020-09-08 15:30:00+05:30,-1,-1.0
2020-09-08,2020-09-08 22:30:00+05:30,1,-1.0
2020-09-09,2020-09-09 19:30:00+05:30,1,0.7043655533788602
2020-09-16,2020-09-17 07:30:00+05:30,-1,-1.0
2020-09-18,2020-09-18 22:30:00+05:30,1,-1.0
2020-09-21,2020-09-21 14:30:00+05:30,-1,2.0
2020-09-23,2020-09-23 09:30:00+05:30,-1,2.0
2020-09-24,2020-09-24 21:30:00+05:30,1,-1.0
2020-09-28,2020-09-28 21:30:00+05:30,1,2.0
2020-10-01,2020-10-01 20:30:00+05:30,1,-1.0
2020-10-05,2020-10-05 09:30:00+05:30,-1,-1.0
2020-10-06,2020-10-06 21:30:00+05:30,-1,2.0
2020-10-08,2020-10-09 07:30:00+05:30,1,2.0
2020-10-12,2020-10-12 16:30:00+05:30,-1,2.0
2020-10-13,2020-10-13 19:30:00+05:30,-1,-1.0
2020-10-15,2020-10-15 23:30:00+05:30,1,2.0
2020-10-22,2020-10-22 18:30:00+05:30,-1,2.0
2020-10-29,2020-10-29 17:30:00+05:30,-1,-1.0
2020-10-29,2020-10-29 20:30:00+05:30,-1,-1.0
2020-10-30,2020-10-30 17:30:00+05:30,1,-1.0
2020-10-30,2020-10-30 21:30:00+05:30,1,2.0
2020-11-05,2020-11-05 14:30:00+05:30,1,2.0
2020-11-06,2020-11-06 17:30:00+05:30,1,-1.0
2020-11-09,2020-11-09 10:30:00+05:30,1,-1.0
2020-11-09,2020-11-09 17:30:00+05:30,-1,2.0
2020-11-11,2020-11-11 19:30:00+05:30,-1,-1.0
2020-11-13,2020-11-13 18:30:00+05:30,1,-1.0
2020-11-16,2020-11-16 17:30:00+05:30,-1,-1.0
2020-11-17,2020-11-18 02:30:00+05:30,-1,2.0
2020-11-19,2020-11-19 14:30:00+05:30,-1,-1.0
2020-11-20,2020-11-20 20:30:00+05:30,1,-1.0
2020-11-23,2020-11-23 16:30:00+05:30,-1,2.0
2020-11-23,2020-11-24 07:30:00+05:30,-1,2.0
2020-11-25,2020-11-25 19:30:00+05:30,1,-1.0
2020-11-27,2020-11-27 19:30:00+05:30,-1,-1.0
2020-11-29,2020-11-30 08:30:00+05:30,-1,-1.0
2020-12-01,2020-12-01 11:30:00+05:30,1,2.0
2020-12-02,2020-12-02 14:30:00+05:30,1,-1.0
2020-12-02,2020-12-03 09:30:00+05:30,1,-1.0
2020-12-03,2020-12-03 22:30:00+05:30,1,-1.0
2020-12-07,2020-12-07 20:30:00+05:30,1,-1.0
2020-12-09,2020-12-09 20:30:00+05:30,-1,-1.0
2020-12-10,2020-12-10 19:30:00+05:30,1,-1.0
2020-12-11,2020-12-11 21:30:00+05:30,1,-1.0
2020-12-15,2020-12-15 13:30:00+05:30,1,2.0
2020-12-16,2020-12-16 14:30:00+05:30,1,-1.0
2020-12-16,2020-12-16 21:30:00+05:30,1,-1.0
