id,symbol,tf,family,params,rr_plan,n,tpm,wr,rr_real,avg_r,net,tr,ho,n_ho,stress3x,stress3x_status,verdict,plateau
ZB-PIV5-XAGUSD-M15-pad0.1-rr2,XAGUSD,M15,PIV5,pad0.1,2.0,2131,42.012720207253885,28.53120600656969,2.000916753664776,-0.1437363735026543,-306.3022119341564,-201.0,-105.30221193415636,1264,-536.2,Fail,REJECT,0.0
ZB-PIV5-XAGUSD-M15-pad0.1-rr3,XAGUSD,M15,PIV5,pad0.1,3.0,1906,37.57683937823834,21.61594963273872,2.962937992828495,-0.1432414813250284,-273.01826340550423,-214.8184238520491,-58.19983955345509,1117,-516.4,Fail,REJECT,0.0
ZB-PIV5-XAGUSD-M15-pad0.25-rr2,XAGUSD,M15,PIV5,pad0.25,2.0,2118,41.756424870466326,27.7148253068933,2.000911961128203,-0.1682257846714619,-356.3022119341564,-219.0,-137.3022119341564,1254,-530.1,Fail,REJECT,0.0
ZB-PIV5-XAGUSD-M15-pad0.25-rr3,XAGUSD,M15,PIV5,pad0.25,3.0,1890,37.26139896373057,21.904761904761905,2.9480780834617155,-0.1348298644095667,-254.8284437340812,-189.5967815118036,-65.2316622222776,1115,-519.9,Fail,REJECT,0.0
"ZB-BOX-XAGUSD-M15-N24,tight2.5-rr2",XAGUSD,M15,BOX,"N24,tight2.5",2.0,436,8.595751295336788,26.605504587155966,1.995211213450548,-0.2031089432104046,-88.55549923973642,-60.0,-28.55549923973642,214,-128.5,Fail,REJECT,0.0
"ZB-BOX-XAGUSD-M15-N24,tight2.5-rr3",XAGUSD,M15,BOX,"N24,tight2.5",3.0,417,8.221165803108809,22.30215827338129,2.892826499397529,-0.1318156727962346,-54.96713555602986,-49.41163631629345,-5.555499239736411,208,-75.1,Fail,REJECT,0.0
ZB-CMPX-XAGUSD-M15-q0.25-rr2,XAGUSD,M15,CMPX,q0.25,2.0,883,17.40836787564767,28.65232163080408,2.0,-0.1404303510758777,-124.0,-81.0,-43.0,481,-252.0,Fail,REJECT,0.0
ZB-CMPX-XAGUSD-M15-q0.25-rr3,XAGUSD,M15,CMPX,q0.25,3.0,805,15.87059585492228,21.490683229813666,3.0,-0.1403726708074534,-113.0,-88.0,-25.0,437,-182.8,Fail,REJECT,0.0
ZB-PIV5-XAGUSD-M30-pad0.1-rr2,XAGUSD,M30,PIV5,pad0.1,2.0,2717,27.20575,28.74493927125506,1.9421918727183527,-0.1533978767770404,-416.7820312032189,-338.1481271179283,-78.63390408529055,838,-672.9,Fail,REJECT,0.0
ZB-PIV5-XAGUSD-M30-pad0.1-rr3,XAGUSD,M30,PIV5,pad0.1,3.0,2330,23.33065789473684,24.29184549356223,2.593454053183952,-0.1256978961147798,-292.8760979474371,-232.775023795898,-60.101074151539066,704,-575.1,Fail,REJECT,0.0
ZB-PIV5-XAGUSD-M30-pad0.25-rr2,XAGUSD,M30,PIV5,pad0.25,2.0,2619,26.22446052631579,29.667812142038947,1.938877936663496,-0.1275464019131428,-334.0440266105212,-298.5648536435278,-35.479172966993374,814,-608.3,Fail,REJECT,0.0
ZB-PIV5-XAGUSD-M30-pad0.25-rr3,XAGUSD,M30,PIV5,pad0.25,3.0,2265,22.679802631578948,24.591611479028696,2.57501801281928,-0.1197100359308465,-271.14323138336744,-219.48925315983,-51.65397822353748,698,-542.3,Fail,REJECT,0.0
"ZB-BOX-XAGUSD-M30-N24,tight2.5-rr2",XAGUSD,M30,BOX,"N24,tight2.5",2.0,379,3.794986842105264,27.176781002638524,1.9341338703107367,-0.2008124160255208,-76.10790567367242,-59.107905673672434,-16.99999999999999,80,-138.3,Fail,REJECT,0.0
"ZB-BOX-XAGUSD-M30-N24,tight2.5-rr3",XAGUSD,M30,BOX,"N24,tight2.5",3.0,373,3.734907894736842,20.91152815013405,2.471267380214221,-0.2676717833242527,-99.84157517994625,-80.30146524463152,-19.54010993531473,78,-131.1,Fail,REJECT,0.0
ZB-CMPX-XAGUSD-M30-q0.25-rr2,XAGUSD,M30,CMPX,q0.25,2.0,673,6.738855263157895,30.60921248142645,1.9823833744022183,-0.0870483475996494,-58.58353793456406,-34.80947743960531,-23.77406049495876,212,-136.9,Fail,REJECT,0.0
ZB-CMPX-XAGUSD-M30-q0.25-rr3,XAGUSD,M30,CMPX,q0.25,3.0,618,6.1881315789473685,24.59546925566343,2.8129886985554644,-0.0617426681375671,-38.15696890901648,-14.30455236956895,-23.852416539447525,196,-140.0,Fail,REJECT,0.0
ZB-PIV5-XAGUSD-H1-pad0.1-rr2,XAGUSD,H1,PIV5,pad0.1,2.0,2626,14.271637207641492,31.49276466108149,1.941740076176628,-0.0732037831364838,-192.23313451640664,-181.4781459035458,-10.754988612860842,441,-421.6,Fail,REJECT,0.0
ZB-PIV5-XAGUSD-H1-pad0.1-rr3,XAGUSD,H1,PIV5,pad0.1,3.0,2245,12.200999821460456,25.701559020044545,2.6699275567608862,-0.0563475425975208,-126.5002331314344,-110.90058461062642,-15.599648520807964,362,-383.5,Fail,REJECT,0.0
ZB-PIV5-XAGUSD-H1-pad0.25-rr2,XAGUSD,H1,PIV5,pad0.25,2.0,2552,13.869466166755938,31.152037617554857,1.9480682098897035,-0.0811600721283456,-207.1205040715382,-185.3655154586773,-21.75498861286084,419,-423.6,Fail,REJECT,0.0
ZB-PIV5-XAGUSD-H1-pad0.25-rr3,XAGUSD,H1,PIV5,pad0.25,3.0,2194,11.923827887877168,25.70647219690064,2.678378358043666,-0.0539347712806757,-118.33288818980256,-95.6816045143168,-22.651283675485782,354,-354.7,Fail,REJECT,0.0
"ZB-BOX-XAGUSD-H1-N24,tight2.5-rr2",XAGUSD,H1,BOX,"N24,tight2.5",2.0,125,0.679342974468845,41.6,1.9095216238188544,0.2103609955086433,26.29512443858041,17.295124438580416,9.0,18,9.5,Pass,DEPLOY-CANDIDATE,1.0
"ZB-BOX-XAGUSD-H1-N24,tight2.5-rr3",XAGUSD,H1,BOX,"N24,tight2.5",3.0,124,0.6739082306730941,33.87096774193548,2.57445907331711,0.2083380134057162,25.833913662308813,21.827813364973583,4.006100297335227,18,9.2,Pass,DEPLOY-CANDIDATE,1.0
ZB-CMPX-XAGUSD-H1-q0.25-rr2,XAGUSD,H1,CMPX,q0.25,2.0,684,3.7173647562935193,32.89473684210527,1.9772903996563875,-0.0206281580077672,-14.109660077312803,-18.934436131496778,4.824776054183978,105,-110.7,Fail,REJECT,0.0
ZB-CMPX-XAGUSD-H1-q0.25-rr3,XAGUSD,H1,CMPX,q0.25,3.0,614,3.336932690590966,25.0814332247557,2.845053969295966,-0.0356053562352136,-21.861688728421164,-27.06007547547017,5.198386747049009,90,-70.0,Fail,REJECT,0.0
ZB-PIV5-XAGUSD-H4-pad0.1-rr2,XAGUSD,H4,PIV5,pad0.1,2.0,781,4.244534904481343,35.59539052496799,1.866730302695496,0.0202478532375642,15.813573378537647,11.034843311130905,4.7787300674067446,134,-35.6,Fail,REJECT,1.0
ZB-PIV5-XAGUSD-H4-pad0.1-rr3,XAGUSD,H4,PIV5,pad0.1,3.0,687,3.733668987680772,31.877729257641924,2.3516139419456,0.0672731426249822,46.21664898336278,33.72619789110219,12.49045109226059,119,25.3,Pass,DEPLOY-CANDIDATE,1.0
ZB-PIV5-XAGUSD-H4-pad0.25-rr2,XAGUSD,H4,PIV5,pad0.25,2.0,750,4.07605784681307,36.0,1.8682366176262684,0.0322331768514837,24.1748826386128,16.502443006034447,7.672439632578353,128,-30.1,Fail,REJECT,1.0
ZB-PIV5-XAGUSD-H4-pad0.25-rr3,XAGUSD,H4,PIV5,pad0.25,3.0,663,3.603235136582753,32.880844645550525,2.356251395054701,0.1018064111106241,67.4976505663438,50.1134899089116,17.3841606574322,114,36.3,Pass,DEPLOY-CANDIDATE,1.0
"ZB-BOX-XAGUSD-H4-N24,tight2.5-rr2",XAGUSD,H4,BOX,"N24,tight2.5",2.0,25,0.1358685948937689,32.0,1.5201196962694816,-0.1860049111998726,-4.650122779996815,-2.650122779996815,-2.0,2,-5.3,Fail,REJECT,0.0
"ZB-BOX-XAGUSD-H4-N24,tight2.5-rr3",XAGUSD,H4,BOX,"N24,tight2.5",3.0,25,0.1358685948937689,32.0,2.040433100752046,-0.0260049111998728,-0.6501227799968201,1.34987722000318,-2.0,2,-1.3,Fail,REJECT,0.0
ZB-CMPX-XAGUSD-H4-q0.25-rr2,XAGUSD,H4,CMPX,q0.25,2.0,222,1.2065131226566683,41.44144144144144,1.948780586500359,0.2182954908153465,48.46159896100694,51.46159896100694,-3.0,21,17.1,Pass,REJECT,1.0
ZB-CMPX-XAGUSD-H4-q0.25-rr3,XAGUSD,H4,CMPX,q0.25,3.0,185,1.0054276022138904,37.2972972972973,2.468977920004092,0.2862662806354278,52.95926191755415,60.76828897089582,-7.8090270533416675,18,33.0,Pass,REJECT,1.0
ZB-PIV5-XAGUSD-D1-pad0.1-rr2,XAGUSD,D1,PIV5,pad0.1,2.0,129,0.701081949651848,40.310077519379846,1.801890702378148,0.1131461490874945,14.595853232286796,8.706274022452423,5.889579209834374,23,12.0,Pass,DEPLOY-CANDIDATE,1.0
ZB-PIV5-XAGUSD-D1-pad0.1-rr3,XAGUSD,D1,PIV5,pad0.1,3.0,124,0.6739082306730941,39.516129032258064,1.728630633439178,0.067978922386848,8.429386375969159,1.917767881033664,6.511618494935493,22,1.3,Pass,WATCH,1.0
ZB-PIV5-XAGUSD-D1-pad0.25-rr2,XAGUSD,D1,PIV5,pad0.25,2.0,121,0.6576039992858419,42.97520661157025,1.7368287350777067,0.1558041878824566,18.85230673377725,10.962727523942885,7.889579209834374,21,17.4,Pass,DEPLOY-CANDIDATE,1.0
ZB-PIV5-XAGUSD-D1-pad0.25-rr3,XAGUSD,D1,PIV5,pad0.25,3.0,116,0.6304302803070881,41.37931034482759,1.7213756098280582,0.1095224142561289,12.704600053710962,5.623527445347561,7.081072608363399,19,6.1,Pass,DEPLOY-CANDIDATE,1.0
"ZB-BOX-XAGUSD-D1-N24,tight2.5-rr2",XAGUSD,D1,BOX,"N24,tight2.5",2.0,7,0.0380432065702553,85.71428571428571,1.4992113157020193,1.142181127744588,7.995267894212116,5.995267894212116,2.0,1,7.9,Pass,WATCH,1.0
"ZB-BOX-XAGUSD-D1-N24,tight2.5-rr3",XAGUSD,D1,BOX,"N24,tight2.5",3.0,7,0.0380432065702553,85.71428571428571,0.869945679781737,0.6028105826700603,4.219674078690422,2.655874910158277,1.5637991685321442,1,3.9,Pass,WATCH,1.0
ZB-CMPX-XAGUSD-D1-q0.25-rr2,XAGUSD,D1,CMPX,q0.25,2.0,42,0.2282592394215319,40.47619047619048,1.6673454080357732,0.0755452759503041,3.172901589912772,1.172901589912772,2.0,1,2.7,Pass,WATCH,1.0
ZB-CMPX-XAGUSD-D1-q0.25-rr3,XAGUSD,D1,CMPX,q0.25,3.0,38,0.2065202642385288,36.84210526315789,1.7842675350005248,0.0244019705302829,0.9272748801507532,-2.0727251198492467,3.0,1,0.1,Pass,REJECT,1.0
ZB-PIV5-EURUSD-M15-pad0.1-rr2,EURUSD,M15,PIV5,pad0.1,2.0,2181,45.34811475409836,29.25263640531866,1.9983119292723928,-0.1229147130326514,-268.0769891242129,-72.0,-196.07698912421293,1332,-378.2,Fail,REJECT,0.0
ZB-PIV5-EURUSD-M15-pad0.1-rr3,EURUSD,M15,PIV5,pad0.1,3.0,2003,41.64707650273224,22.31652521218173,2.977839755700032,-0.1122843880190144,-224.90562920208583,-96.0,-128.90562920208586,1235,-315.8,Fail,REJECT,0.0
ZB-PIV5-EURUSD-M15-pad0.25-rr2,EURUSD,M15,PIV5,pad0.25,2.0,2148,44.66196721311476,29.981378026070765,1.9983276566394208,-0.1010600508027062,-217.07698912421293,-50.0,-167.07698912421293,1306,-325.2,Fail,REJECT,0.0
