entry_ts,side,entry,sl,t1,exit_ts,r,attempt,zone,mfe_r,mae_r,sess_date,sig_ts,exit_px,exit_reason,t1_hit,t1_fallback,risk,rr_t1_planned,year
2008-01-01 19:07:00-05:00,short,836.2580,836.4390,832.9370,2008-01-01 19:15:00-05:00,-1.0000,1,PDH,1.7762,1.1557,2008-01-02,2008-01-01 19:06:00-05:00,836.4390,sl,0,0,0.4110,8.0803,2008
2008-01-01 19:17:00-05:00,short,834.8320,836.1200,832.9370,2008-01-01 19:24:00-05:00,-1.0000,2,PDH,0.5744,0.9282,2008-01-02,2008-01-01 19:16:00-05:00,836.1200,sl,0,0,1.5180,1.2484,2008
2008-01-01 19:29:00-05:00,short,834.7520,836.2530,829.5590,2008-01-01 19:32:00-05:00,-1.0000,3,PDH,0.4656,0.8972,2008-01-02,2008-01-01 19:28:00-05:00,836.2530,sl,0,1,1.7310,3.0000,2008
2008-01-03 03:33:00-05:00,short,862.2250,862.6130,856.3580,2008-01-03 04:09:00-05:00,-1.0000,1,PDH,2.9304,0.8657,2008-01-03,2008-01-03 03:32:00-05:00,862.6130,sl,0,0,0.6180,9.4935,2008
2008-01-03 04:12:00-05:00,short,862.5720,862.9480,860.6500,2008-01-03 04:12:00-05:00,-1.0000,2,PDH,0.7261,0.6782,2008-01-03,2008-01-03 04:11:00-05:00,862.9480,sl,0,0,0.6060,3.1716,2008
2008-01-03 04:15:00-05:00,short,864.1350,864.9390,860.6500,2008-01-03 04:36:00-05:00,-1.0986,3,PDH,0.9807,0.8762,2008-01-03,2008-01-03 04:14:00-05:00,865.0410,sl,0,0,1.0340,3.3704,2008
2008-01-08 02:36:00-05:00,short,865.6820,865.9150,863.7620,2008-01-08 02:50:00-05:00,-1.0000,1,PDH,1.5486,2.2937,2008-01-08,2008-01-08 02:35:00-05:00,865.9150,sl,0,0,0.4630,4.1469,2008
2008-01-08 02:58:00-05:00,short,866.8430,867.2620,865.0540,2008-01-08 03:12:00-05:00,-1.0000,2,PDH,1.4345,0.6564,2008-01-08,2008-01-08 02:56:00-05:00,867.2620,sl,0,0,0.6490,2.7565,2008
2008-01-08 03:23:00-05:00,short,872.6170,873.1900,865.9120,2008-01-08 03:31:00-05:00,-1.0000,3,PDH,1.4956,0.8381,2008-01-08,2008-01-08 03:22:00-05:00,873.1900,sl,0,0,0.8030,8.3499,2008
2008-01-08 18:40:00-05:00,short,880.7640,880.9540,877.8370,2008-01-08 18:51:00-05:00,-1.0000,1,PDH,2.0881,0.4952,2008-01-09,2008-01-08 18:39:00-05:00,880.9540,sl,0,0,0.4200,6.9690,2008
2008-01-08 18:53:00-05:00,short,880.7550,881.0510,879.8870,2008-01-08 18:58:00-05:00,-1.0000,2,PDH,0.6407,2.7947,2008-01-09,2008-01-08 18:52:00-05:00,881.0510,sl,0,0,0.5260,1.6502,2008
2008-01-08 19:02:00-05:00,short,882.7220,882.9320,880.1800,2008-01-08 19:05:00-05:00,-1.0000,3,PDH,1.1114,1.1432,2008-01-09,2008-01-08 19:01:00-05:00,882.9320,sl,0,0,0.4400,5.7773,2008
2008-01-10 07:52:00-05:00,long,869.2740,868.6230,874.8840,2008-01-10 07:59:00-05:00,-1.0000,1,PDL,0.7582,0.7582,2008-01-10,2008-01-10 07:51:00-05:00,868.6230,sl,0,0,0.8810,6.3678,2008
2008-01-10 08:02:00-05:00,long,866.6250,866.1510,874.8840,2008-01-10 16:55:00-05:00,16.4483,2,PDL,39.9389,0.0000,2008-01-10,2008-01-10 08:01:00-05:00,892.6370,sessend_runner,1,0,0.7040,11.7315,2008
2008-01-10 18:42:00-05:00,short,896.9770,897.2910,893.1650,2008-01-11 10:37:00-05:00,5.1831,1,PDH,17.4540,0.2022,2008-01-11,2008-01-10 18:41:00-05:00,896.9770,runner_stop,1,0,0.5440,7.0074,2008
2008-01-11 10:40:00-05:00,short,896.6570,896.8940,892.6810,2008-01-11 10:40:00-05:00,-1.0000,2,PDH,0.6681,1.5075,2008-01-11,2008-01-11 10:39:00-05:00,896.8940,sl,0,0,0.4670,8.5139,2008
2008-01-11 10:42:00-05:00,short,896.7060,897.5230,892.6810,2008-01-11 10:55:00-05:00,-1.0000,3,PDH,1.6504,0.8042,2008-01-11,2008-01-11 10:41:00-05:00,897.5230,sl,0,0,1.0470,3.8443,2008
2008-01-13 18:42:00-05:00,short,897.6470,898.0470,894.9950,2008-01-13 18:42:00-05:00,-1.0000,1,PDH,0.0000,0.8746,2008-01-14,2008-01-13 18:41:00-05:00,898.0470,sl,0,0,0.6300,4.2095,2008
2008-01-13 18:44:00-05:00,short,897.9450,898.2700,894.9950,2008-01-14 01:25:00-05:00,3.8378,2,PDH,11.3351,0.3063,2008-01-14,2008-01-13 18:43:00-05:00,897.9450,runner_stop,1,0,0.5550,5.3153,2008
2008-01-14 01:30:00-05:00,short,897.6260,898.0440,896.7810,2008-01-14 01:35:00-05:00,-1.0000,3,PDH,0.3472,0.9907,2008-01-14,2008-01-14 01:29:00-05:00,898.0440,sl,0,0,0.6480,1.3040,2008
2008-01-15 15:49:00-05:00,long,891.5980,891.2930,895.1170,2008-01-15 16:07:00-05:00,-1.0505,1,PDL,1.3963,0.9738,2008-01-15,2008-01-15 15:48:00-05:00,891.2660,sl,0,0,0.5350,6.5776,2008
2008-01-15 16:13:00-05:00,long,889.6600,889.3740,892.3390,2008-01-15 16:17:00-05:00,-1.0000,2,PDL,1.4264,0.5814,2008-01-15,2008-01-15 16:12:00-05:00,889.3740,sl,0,0,0.5160,5.1919,2008
2008-01-15 16:18:00-05:00,long,889.8600,889.3600,892.3390,2008-01-15 16:20:00-05:00,-1.1740,3,PDL,0.6438,1.9781,2008-01-15,2008-01-15 16:17:00-05:00,889.2330,sl,0,0,0.7300,3.3959,2008
2008-01-16 02:25:00-05:00,long,886.0950,885.1270,890.8100,2008-01-16 02:41:00-05:00,-1.0000,1,PDL,0.7771,2.2454,2008-01-16,2008-01-16 02:24:00-05:00,885.1270,sl,0,0,1.1980,3.9357,2008
2008-01-16 02:43:00-05:00,long,883.9420,883.5230,887.0260,2008-01-16 03:10:00-05:00,-1.0000,2,PDL,1.8336,0.8629,2008-01-16,2008-01-16 02:42:00-05:00,883.5230,sl,0,0,0.6490,4.7519,2008
2008-01-16 03:21:00-05:00,long,882.1950,881.7640,885.1320,2008-01-16 04:57:00-05:00,3.2067,3,PDL,8.2905,0.3676,2008-01-16,2008-01-16 03:20:00-05:00,882.1950,runner_stop,1,0,0.6610,4.4433,2008
2008-01-17 20:52:00-05:00,long,874.1740,873.6100,875.7640,2008-01-17 20:57:00-05:00,-1.0000,1,PDL,0.6776,1.1902,2008-01-18,2008-01-17 20:51:00-05:00,873.6100,sl,0,0,0.7940,2.0025,2008
2008-01-17 21:03:00-05:00,long,872.0420,871.4990,875.7640,2008-01-17 21:04:00-05:00,-1.0000,2,PDL,0.0052,1.2005,2008-01-18,2008-01-17 21:01:00-05:00,871.4990,sl,0,0,0.7730,4.8150,2008
2008-01-17 21:08:00-05:00,long,870.7630,870.4750,875.7640,2008-01-17 21:12:00-05:00,-1.0000,3,PDL,0.5193,0.6023,2008-01-18,2008-01-17 21:07:00-05:00,870.4750,sl,0,0,0.5180,9.6544,2008
2008-01-21 06:11:00-05:00,long,868.9600,867.7930,874.3730,2008-01-21 07:01:00-05:00,-1.1632,1,PDL,0.8976,1.0809,2008-01-21,2008-01-21 06:10:00-05:00,867.5650,sl,0,0,1.3970,3.8747,2008
2008-01-21 07:02:00-05:00,long,867.8040,867.4500,868.8720,2008-01-21 07:02:00-05:00,-1.0000,2,PDL,0.0205,0.7603,2008-01-21,2008-01-21 07:01:00-05:00,867.4500,sl,0,0,0.5840,1.8288,2008
2008-01-21 07:07:00-05:00,long,866.9580,866.3690,868.8720,2008-01-21 07:18:00-05:00,-1.0000,3,PDL,1.0061,0.7778,2008-01-21,2008-01-21 07:06:00-05:00,866.3690,sl,0,0,0.8190,2.3370,2008
2008-01-21 19:13:00-05:00,long,859.5740,859.4110,861.4180,2008-01-21 19:28:00-05:00,3.1191,1,PDL,7.8651,2.9796,2008-01-22,2008-01-21 19:12:00-05:00,859.4770,runner_stop,1,0,0.3930,4.6921,2008
2008-01-21 19:31:00-05:00,long,857.9840,857.7740,862.6650,2008-01-21 19:34:00-05:00,-1.0000,2,PDL,0.2545,0.5432,2008-01-22,2008-01-21 19:30:00-05:00,857.7740,sl,0,0,0.4400,10.6386,2008
2008-01-21 19:38:00-05:00,long,857.4530,856.9200,862.6650,2008-01-21 19:41:00-05:00,-1.0000,3,PDL,0.2084,0.8270,2008-01-22,2008-01-21 19:37:00-05:00,856.9200,sl,0,0,0.7630,6.8309,2008
2008-01-22 10:30:00-05:00,short,886.7760,887.7950,874.3450,2008-01-22 10:38:00-05:00,-1.2106,1,PDH,1.3363,2.0104,2008-01-22,2008-01-22 10:29:00-05:00,888.0580,sl,0,0,1.2490,9.9528,2008
2008-01-22 10:49:00-05:00,short,891.2660,891.8670,885.1070,2008-01-22 11:09:00-05:00,-1.0000,2,PDH,3.4489,2.1528,2008-01-22,2008-01-22 10:48:00-05:00,891.8670,sl,0,0,0.8310,7.4116,2008
