sym,family,cell,params,n,net,avg,wr,tr_n,tr_net,tr_avg,va_n,va_net,va_avg,maxdd,yrs_pos,tr_avg_2x,va_net_2x,tr_avg_3x,va_net_3x
XAUUSD,ORB,0,"{'open_min': 120, 'rng_min': 30, 'pad': 0.1, 'rr': 2.0, 'cutoff_min': 720}",7586,-506.54494350446316,-0.06677365456162182,0.3395728974426575,6583,-436.21709510972056,-0.0662641797219688,1003,-70.32784839474249,-0.07011749590702142,-530.5665961636905,4/19,,,,
XAUUSD,ORB,1,"{'open_min': 120, 'rng_min': 30, 'pad': 0.1, 'rr': 3.0, 'cutoff_min': 720}",7579,-392.2563263485449,-0.051755683645407696,0.29291463253727407,6576,-303.76802196340145,-0.046193433996867615,1003,-88.48830438514351,-0.08822363348468944,-421.70010377490354,5/19,,,,
XAUUSD,ORB,2,"{'open_min': 120, 'rng_min': 60, 'pad': 0.1, 'rr': 2.0, 'cutoff_min': 720}",7069,-346.50579125479436,-0.049017653310905976,0.35945678313764323,6116,-270.2600673058744,-0.04418902343130712,953,-76.24572394892002,-0.08000600624230851,-367.06277774608674,5/19,,,,
XAUUSD,ORB,3,"{'open_min': 120, 'rng_min': 60, 'pad': 0.1, 'rr': 3.0, 'cutoff_min': 720}",7069,-330.98794579718196,-0.046822456612983725,0.3231008629226199,6116,-270.33213122491765,-0.044200806282687646,953,-60.655814572264326,-0.06364723459838859,-356.4106759619116,4/19,,,,
XAUUSD,ORB,4,"{'open_min': 480, 'rng_min': 30, 'pad': 0.1, 'rr': 2.0, 'cutoff_min': 720}",5992,-288.15126502977904,-0.048089329944889694,0.40120160213618156,5146,-271.3224890975933,-0.05272492986739084,846,-16.828775932185735,-0.019892170132607252,-315.703309615904,6/19,,,,
XAUUSD,ORB,5,"{'open_min': 480, 'rng_min': 30, 'pad': 0.1, 'rr': 3.0, 'cutoff_min': 720}",5992,-260.00545089309793,-0.04339209794611114,0.38684913217623496,5146,-230.33343793223287,-0.04475970422313114,846,-29.672012960865054,-0.03507330137218091,-308.54426556743846,7/19,,,,
XAUUSD,ORB,6,"{'open_min': 480, 'rng_min': 60, 'pad': 0.1, 'rr': 2.0, 'cutoff_min': 720}",4674,-135.13621727167128,-0.028912327186921542,0.4396662387676508,4002,-127.50762426965862,-0.03186097557962484,672,-7.628593002012661,-0.011352072919661697,-168.47535102071174,7/19,,,,
XAUUSD,ORB,7,"{'open_min': 480, 'rng_min': 60, 'pad': 0.1, 'rr': 3.0, 'cutoff_min': 720}",4674,-126.17548344398968,-0.026995182593921627,0.4349593495934959,4002,-124.95138674587676,-0.031222235568684847,672,-1.2240966981129162,-0.0018215724674299349,-174.91005738078263,5/19,,,,
XAUUSD,PULL,0,"{'rr': 2.0, 'stop_atr': 1.5, 'sides': 'L'}",2625,19.250733500151405,0.00733361276196244,0.3424761904761905,2234,-17.79402174329795,-0.007965094782138742,391,37.04475524344939,0.0947436195484639,-61.70233057486999,10/19,,,,
XAUUSD,PULL,1,"{'rr': 2.0, 'stop_atr': 1.5, 'sides': 'LS'}",4522,-65.93964145908464,-0.01458196405552513,0.335249889429456,3922,-72.20240816642142,-0.018409589027644422,600,6.262766707336844,0.010437944512228074,-128.10559201827257,7/19,,,,
XAUUSD,PULL,2,"{'rr': 2.0, 'stop_atr': 2.5, 'sides': 'L'}",1554,100.80779128543898,0.06486987856205854,0.3687258687258687,1320,60.974513299750754,0.04619281310587178,234,39.83327798568824,0.1702276836995224,-29.03711972447171,12/19,0.012862375808899608,37.55883563873258,-0.00678106881907139,36.24400666175272
XAUUSD,PULL,3,"{'rr': 2.0, 'stop_atr': 2.5, 'sides': 'LS'}",2597,75.64629798572172,0.029128339617143516,0.3581055063534848,2272,37.50762736196434,0.01650863880368149,325,38.13867062375736,0.11734975576540727,-71.12398240865815,11/19,-0.00872029493741161,32.05046201508414,-0.027787914405524163,27.272470810859883
XAUUSD,PULL,4,"{'rr': 3.0, 'stop_atr': 1.5, 'sides': 'L'}",2199,87.58588762466745,0.039829871589207574,0.2669395179627103,1875,24.74748252822256,0.013198657348385365,324,62.83840509644489,0.19394569474211384,-60.13692820039367,9/19,-0.02783150449442785,56.77026015010999,-0.06158667600301679,54.79782673458646
XAUUSD,PULL,5,"{'rr': 3.0, 'stop_atr': 1.5, 'sides': 'LS'}",3802,5.060245565210664,0.0013309430734378392,0.2577590741714887,3298,-21.35032981485302,-0.00647372038048909,504,26.410575380063676,0.05240193527790412,-121.9758531683141,7/19,,,,
XAUUSD,PULL,6,"{'rr': 3.0, 'stop_atr': 2.5, 'sides': 'L'}",1315,174.03846289460216,0.13234864098448834,0.32775665399239545,1111,99.10925405250663,0.08920724937219318,204,74.92920884209553,0.36730004334360555,-32.63455468803594,13/19,0.07230870008319722,71.89123157898783,0.04674159878993031,67.54982827388753
XAUUSD,PULL,7,"{'rr': 3.0, 'stop_atr': 2.5, 'sides': 'LS'}",2220,152.570968884102,0.0687256616595054,0.3108108108108108,1939,98.73844590538933,0.05092235477327969,281,53.83252297871265,0.19157481487086353,-64.76797216942867,13/19,0.027889684284962378,52.02793492055717,0.0055379790930841916,47.28197218895733
XAUUSD,TSMOM,0,"{'N': 20, 'trail': 3.0, 'sides': 'L'}",93,56.67578746855513,0.6094170695543563,0.4731182795698925,80,29.0314113884137,0.36289264235517127,13,27.64437608014142,2.126490467703186,-6.586130423459048,15/19,0.3543338894488878,27.553714474495404,0.34584344715242626,27.463418110307828
