sym,family,plateau,verdict,params,n,wr,avg,tr_avg,tr_net,va_avg,va_net,maxdd,yrs_pos,tr_avg_2x,va_net_2x
AUDUSD,TSMOM,1.0,reject,"{'N': 55, 'trail': 3.0, 'sides': 'LS'}",45,0.3111111111111111,0.06508837065312177,0.415141155741788,9.548246582061124,-0.30087590466684744,-6.619269902670643,-11.00887183079271,4/11,0.4043505577070631,-6.793334229826099
AUDUSD,PULL,1.0,reject,"{'rr': 3.0, 'stop_atr': 2.5, 'sides': 'L'}",348,0.29022988505747127,0.014403527621454642,0.2305563761689184,38.73347119637829,-0.18733913102284486,-33.721043584112074,-46.33665260106504,6/12,0.18048022680585454,-36.29003303939139
AUDUSD,IBX,1.0,reject,"{'rr': 3.0, 'sides': 'L'}",284,0.31690140845070425,0.04680918606196602,0.18411041202763756,29.089445100366735,-0.12536219252990782,-15.795636258768385,-28.62463214779435,8/12,0.16203064962835184,-17.53427681425263
AUDUSD,HANDOFF,0.16666666666666666,reject,"{'k': 1.5, 'rr': 2.5, 'stop_atr': 1.5}",841,0.31747919143876335,-0.032466239322875304,0.004934674938291216,2.1909956726013,-0.07429496963007416,-29.49510294313944,-40.73187712746149,4/12,-0.08937668097665348,-71.95542247254616
AUDUSD,ORB,0.0,reject,"{'open_min': 120, 'rng_min': 60, 'pad': 0.1, 'rr': 2.0, 'cutoff_min': 720}",1911,0.3746729461015175,-0.06893982281493183,-0.011476943125783711,-11.557281727664197,-0.13294991114122848,-120.18671967167055,-187.12732544691573,4/12,,
AUDUSD,AFADE,0.0,reject,"{'k': 1.5, 'stop_atr': 2.0}",1229,0.4467046379170057,-0.13580091269605202,-0.17433984262063515,-113.32089770341284,-0.09253613816931791,-53.57842400003507,-177.51546001096403,2/12,,
EURUSD,IBX,0.75,reject,"{'rr': 3.0, 'sides': 'LS'}",892,0.26681614349775784,-0.015826357882690278,0.09018275475996705,52.75691153458072,-0.217830693048666,-66.87402276594047,-85.74280385787449,5/12,0.04986347703249093,-65.59340343941528
EURUSD,PULL,0.375,reject,"{'rr': 3.0, 'stop_atr': 2.5, 'sides': 'L'}",734,0.29291553133514986,-0.0012100088706537967,0.021189675868057832,9.980337333855239,-0.041325033630856,-10.86848384491513,-45.03051765412809,4/12,-0.0003787795585645236,-14.555526013606837
EURUSD,TSMOM,0.0,reject,"{'N': 20, 'trail': 3.0, 'sides': 'L'}",51,0.29411764705882354,-0.03252768865384172,-0.001699111811127511,-0.05607068976720786,-0.08904674619881783,-1.602841431578721,-9.359434625053785,5/11,,
EURUSD,AFADE,0.0,reject,"{'k': 2.5, 'stop_atr': 2.0}",2110,0.4184834123222749,0.004779928822296814,-0.007772154996527888,-10.81883975516682,0.02911488798079817,20.904489570213087,-46.57947305998596,5/12,,
EURUSD,ORB,0.0,reject,"{'open_min': 120, 'rng_min': 30, 'pad': 0.1, 'rr': 3.0, 'cutoff_min': 720}",4208,0.31630228136882127,-0.0056581949438725375,-0.02639744864245397,-73.12093273959749,0.03429154966326974,49.31124841578189,-160.21294902152488,8/12,,
EURUSD,HANDOFF,0.0,reject,"{'k': 2.0, 'rr': 1.5, 'stop_atr': 1.5}",1714,0.38273045507584597,-0.08775212731146079,-0.07934950692626434,-89.10949627819485,-0.10371852780651256,-61.29764993364892,-164.11059587561653,2/12,,
GBPUSD,TSMOM,0.8,reject,"{'N': 55, 'trail': 4.0, 'sides': 'LS'}",50,0.34,0.12294473486737675,0.4039552882758194,11.714703359998762,-0.26511745793475827,-5.567466616629924,-8.475926735807075,6/11,0.3976374962508314,-5.681873825516503
