cell,cap,runner,frac,cost_mult,n,wr,avg,net,tr_n,tr_avg,tr_net,va_n,va_avg,va_net
cap0-sess-b80,0.0,sess,0.8,1.0,4526,0.1643835616438356,-0.1010116354307928,-457.17866195976825,3013,-0.0754106848915159,-227.21239357813738,1513,-0.15199356799843414,-229.96626838163087
cap0-sess-b50,0.0,sess,0.5,1.0,4526,0.1643835616438356,-0.06283201999827726,-284.37772251220287,3013,-0.040746213228943944,-122.7683404588081,1513,-0.10681386784758412,-161.60938205339477
cap0-extBE-b80,0.0,extBE,0.8,1.0,4526,0.1643835616438356,-0.09096528666944767,-411.70888746592016,3013,-0.059302706386259174,-178.6790543417989,1513,-0.15401839598421765,-233.0298331241213
cap0-extBE-b50,0.0,extBE,0.5,1.0,4526,0.1643835616438356,-0.03771614809491447,-170.7032862775829,3013,-0.00047626696580216094,-1.434992367961911,1513,-0.11187593781204286,-169.26829390962084
cap0-sess-b80@2x,0.0,sess,0.8,2.0,4526,0.16372072470172339,-0.24567071803794868,-1111.9056698397558,3013,-0.23940385163994574,-721.3238049911565,1513,-0.25815060465869094,-390.58186484859937
cap0-sess-b50@2x,0.0,sess,0.5,2.0,4526,0.16349977905435262,-0.21465876592580288,-971.5455745801838,3013,-0.21147176682911178,-637.1644334561138,1513,-0.22100538078259752,-334.38114112407004
cap0-extBE-b80@2x,0.0,extBE,0.8,2.0,4526,0.16372072470172339,-0.23827911187521295,-1078.4512603472137,3013,-0.22889087632712468,-689.6482103736266,1513,-0.25697491736522604,-388.803049973587
cap0-extBE-b50@2x,0.0,extBE,0.5,2.0,4526,0.16349977905435262,-0.19617975051896344,-887.9095508488285,3013,-0.18518932854705916,-557.9754469122893,1513,-0.2180661625489354,-329.93410393653926
cap3-sess-b80,3.0,sess,0.8,1.0,4389,0.151742993848257,-0.0929696119059389,-408.04362665516584,2982,-0.06333639826458215,-188.86913962498397,1407,-0.15577433335478455,-219.17448703018187
cap3-sess-b50,3.0,sess,0.5,1.0,4389,0.151742993848257,-0.056222645683388806,-246.76119190439346,2982,-0.03062564624117218,-91.32567709117544,1407,-0.1104730027101763,-155.43551481321805
cap3-extBE-b80,3.0,extBE,0.8,1.0,4389,0.151742993848257,-0.07659625056726317,-336.18094373971803,2982,-0.05079434666841265,-151.46874176520652,1407,-0.13128088271109564,-184.71220197451157
cap3-extBE-b50,3.0,extBE,0.5,1.0,4389,0.151742993848257,-0.015289242336699482,-67.10448461577403,2982,0.0007294827492515944,2.1753175582682545,1407,-0.04923937610095402,-69.2798021740423
cap3-sess-b80@2x,3.0,sess,0.8,2.0,4377,0.1505597441169751,-0.24122003726668564,-1055.820103116283,2977,-0.22731246911837164,-676.7092205653923,1400,-0.27079348753635046,-379.11088255089066
cap3-sess-b50@2x,3.0,sess,0.5,2.0,4377,0.15033127713045466,-0.21098661832401164,-923.4884284041989,2977,-0.20110334626858573,-598.6846618415797,1400,-0.2320026904018709,-324.8037665626193
cap3-extBE-b80@2x,3.0,extBE,0.8,2.0,4377,0.1505597441169751,-0.2366147506627379,-1035.6627636508038,2977,-0.22223097953679852,-661.5816260810492,1400,-0.26720081254982475,-374.0811375697547
