pair,tf,t1,cost_mult,n,wr,avg,net,tr_n,tr_avg,tr_net,va_n,va_avg,va_net
XAUUSD,1,swing,1.0,4526,0.1643835616438356,-0.1010116354307928,-457.17866195976825,3013,-0.0754106848915159,-227.21239357813738,1513,-0.15199356799843414,-229.96626838163087
XAUUSD,1,swing,0.0,4526,0.16504639858594786,0.17995531876813609,814.477772744584,3013,0.2547319795949438,767.5074545195657,1513,0.031044493208868665,46.97031822501829
XAUUSD,1,swing,2.0,4526,0.16372072470172339,-0.24567071803794868,-1111.9056698397558,3013,-0.23940385163994574,-721.3238049911565,1513,-0.25815060465869094,-390.58186484859937
XAUUSD,1,rr5,1.0,4546,0.16893972723273207,-0.10631203666628858,-483.2945186849479,3003,-0.08441064173372709,-253.48515712638246,1543,-0.1489367216840994,-229.8093615585654
XAUUSD,1,rr5,0.0,4686,0.19718309859154928,0.12389643025563223,580.5786721778926,3109,0.18358462643286205,570.7646035797682,1577,0.006223252123097328,9.814068598124486
XAUUSD,1,rr5,2.0,4482,0.15528781793842034,-0.23262355809897683,-1042.6187873996141,2953,-0.22602084627456093,-667.4395590487784,1529,-0.24537555811042236,-375.1792283508358
XAUUSD,5,swing,1.0,4133,0.2724413259133801,-0.06365292235217218,-263.07752808152765,2734,-0.05476123987875578,-149.7172298285183,1399,-0.08102951983774791,-113.36029825300932
XAUUSD,5,swing,0.0,4137,0.27604544355813393,0.0862625595425053,356.8682088273444,2736,0.12754231484421866,348.95577341378225,1401,0.005647705505754573,7.912435413562157
XAUUSD,5,swing,2.0,4130,0.2675544794188862,-0.1634907124790263,-675.2166425383787,2733,-0.1720136657225043,-470.1133484196042,1397,-0.1468169607149424,-205.10329411877456
XAUUSD,5,rr5,1.0,3898,0.22396100564391996,-0.027821535119243512,-108.44834389481122,2576,-0.016854093119916896,-43.41614387690593,1322,-0.04919228443109327,-65.0322000179053
XAUUSD,5,rr5,0.0,3938,0.2366683595733875,0.09671211895097025,380.85232442892084,2606,0.13328277055241755,347.33490005960016,1332,0.025163231508499015,33.517424369320686
XAUUSD,5,rr5,2.0,3870,0.2124031007751938,-0.12434578965898696,-481.21820598027955,2554,-0.13125470056328115,-335.22450523862005,1316,-0.11093746256965009,-145.99370074165952
XAUUSD,15,swing,1.0,3451,0.37293538104897134,-0.055806198824658676,-192.58719214389708,2290,-0.057188336139808275,-130.96128976016095,1161,-0.053080019279703815,-61.625902383736126
XAUUSD,15,swing,0.0,3457,0.3815446919294186,0.03387486223088668,117.10539873217526,2296,0.051661649744822916,118.61514781411341,1161,-0.0013003868061482527,-1.5097490819381214
XAUUSD,15,swing,2.0,3435,0.361863173216885,-0.1262859784691399,-433.7923360414955,2278,-0.14037664451240434,-319.7779961992571,1157,-0.09854307678672292,-114.01433984223841
XAUUSD,15,rr5,1.0,3158,0.2897403419886004,-0.024239004097422894,-76.5467749396615,2088,-0.03990601129362645,-83.32375158109203,1070,0.006333623029374347,6.776976641430551
XAUUSD,15,rr5,0.0,3168,0.30113636363636365,0.07234398407813304,229.1857415595255,2096,0.07774777763414835,162.95934192117494,1072,0.061778357871595684,66.22639963835057
XAUUSD,15,rr5,2.0,3148,0.2789072426937738,-0.10170429840769082,-320.1651313874107,2080,-0.13045386244514784,-271.3440338859075,1068,-0.045712638110021755,-48.82109750150323
XAUUSD,30,swing,1.0,2593,0.3679136135750096,-0.06609687551577186,-171.38919821239642,1730,-0.08952367108268124,-154.87595097303853,863,-0.019134701320229337,-16.513247239357916
XAUUSD,30,swing,0.0,2596,0.38097072419106315,-5.0034757142258445e-05,-0.12989022954130292,1733,-0.00909023803208359,-15.753382509600861,863,0.018103699049895203,15.62349228005956
XAUUSD,30,swing,2.0,2590,0.3583011583011583,-0.119757632280225,-310.17226760578274,1727,-0.15289860681605222,-264.0558939713222,863,-0.05343728115232975,-46.11637363446057
XAUUSD,30,rr5,1.0,2497,0.3107729275130156,-0.05753778994946981,-143.6718615038261,1664,-0.08396556971523844,-139.71870800615676,833,-0.004745682470191375,-3.9531534976694154
XAUUSD,30,rr5,0.0,2499,0.32492997198879553,0.003100299174846162,7.747647637940558,1666,-0.008067939532795073,-13.441187261636593,833,0.025436776590128617,21.188834899577138
XAUUSD,30,rr5,2.0,2496,0.30128205128205127,-0.10936815845298356,-272.982923498647,1663,-0.14559953788989127,-242.1320315108892,833,-0.03703588473920499,-30.850891987757755
XAUUSD,60,swing,1.0,1639,0.3764490543014033,-0.09712255934012984,-159.1838747584728,1090,-0.10608699198555445,-115.63482126425436,549,-0.07932432330458736,-43.54905349421846
XAUUSD,60,swing,0.0,1639,0.3904820012202563,-0.05089341667533092,-83.41430993086738,1090,-0.0495310280200513,-53.988820541855915,549,-0.053598341327889744,-29.42548938901147
XAUUSD,60,swing,2.0,1639,0.36119585112873703,-0.13697861158859848,-224.5079443937129,1090,-0.1533292183384597,-167.12884798892105,549,-0.10451565829652441,-57.3790964047919
XAUUSD,60,rr5,1.0,1629,0.34990791896869244,-0.07783366144121008,-126.79103448773122,1083,-0.08582632258408639,-92.94990735856555,546,-0.06198008631715326,-33.84112712916568
XAUUSD,60,rr5,0.0,1629,0.36402701043585023,-0.0326306142685895,-53.15527064353229,1083,-0.03261804600968795,-35.32534382849205,546,-0.03265554361728976,-17.82992681504021
XAUUSD,60,rr5,2.0,1629,0.3333333333333333,-0.1221007746377651,-198.90216188491934,1083,-0.14168236683401433,-153.44200328123753,546,-0.08326036374300698,-45.46015860368181
XAUUSD,240,swing,1.0,151,0.3973509933774834,-0.15208363660889143,-22.964629127942608,93,-0.1925452680928846,-17.906709932638268,58,-0.08720550336731615,-5.057919195304337
XAUUSD,240,swing,0.0,151,0.3973509933774834,-0.1282442028904488,-19.364874636457767,93,-0.1606796137112611,-14.943204075147282,58,-0.0762356993329394,-4.421670561310485
XAUUSD,240,swing,2.0,151,0.39072847682119205,-0.17389558923891027,-26.258233975075452,93,-0.2213533007199412,-20.58585696695453,58,-0.0977996035882918,-5.672377008120924
XAUUSD,240,rr5,1.0,151,0.39072847682119205,-0.16453591943949966,-24.844923835364447,93,-0.20497256894452687,-19.062448911841,58,-0.09969784350902487,-5.782474923523442
XAUUSD,240,rr5,0.0,151,0.39072847682119205,-0.14108912070848575,-21.30445722698135,93,-0.1737393561974838,-16.157760126365993,58,-0.08873615690716127,-5.146697100615354
XAUUSD,240,rr5,2.0,151,0.3841059602649007,-0.18599103639962916,-28.084646496344003,93,-0.2332064513016612,-21.68819997105449,58,-0.11028356078085368,-6.396446525289513
EURUSD,1,swing,1.0,4639,0.14442767837896098,-0.08554376018656933,-396.8375035054951,3056,-0.0816767051218229,-249.6040108522908,1583,-0.09300915518206214,-147.23349265320437
EURUSD,1,swing,0.0,4639,0.14507436947618021,0.2702571241708712,1253.7227990286715,3056,0.2498282530287113,763.4751412557417,1583,0.30969529865630424,490.24765777292964
EURUSD,1,swing,2.0,4639,0.14378098728174177,-0.2600584266212868,-1206.4110410961496,3056,-0.24999924846411525,-763.9977033063362,1583,-0.279477787612011,-442.4133377898134
EURUSD,1,rr5,1.0,4747,0.16599957868127238,-0.08536513372951997,-405.2282898140313,3134,-0.07407193143782625,-232.14143312614746,1613,-0.1073074127017259,-173.08685668788388
EURUSD,1,rr5,0.0,4995,0.21101101101101102,0.2376507941650422,1187.0657168543858,3279,0.21962787010529675,720.159786075268,1716,0.2720897032512342,466.9059307791179
EURUSD,1,rr5,2.0,4637,0.14405865861548414,-0.24690259646846244,-1144.8873398242604,3060,-0.23225902051353042,-710.7126027714031,1577,-0.2753168909656673,-434.1747370528573
EURUSD,5,swing,1.0,4247,0.2526489286555215,-0.06164416983937382,-261.8027893078206,2804,-0.0606669268560387,-170.11006290433252,1443,-0.0635431229407402,-91.69272640348811
EURUSD,5,swing,0.0,4249,0.2546481525064721,0.1075396670478355,456.93604528625303,2805,0.09562920769232251,268.23992757696465,1444,0.13067598179313597,188.69611770928833
EURUSD,5,swing,2.0,4243,0.24840914447325005,-0.1759407977119667,-746.5168046918747,2801,-0.17005600308939128,-476.326864653385,1442,-0.18737166438175432,-270.18994003848974
EURUSD,5,rr5,1.0,4025,0.20372670807453416,-0.06696578632209944,-269.53728994645024,2665,-0.053193176588718076,-141.75981560893368,1360,-0.09395402524817398,-127.77747433751661
EURUSD,5,rr5,0.0,4106,0.22722844617632731,0.1186715411837347,487.26534810041466,2711,0.11441268283767418,310.1727831729347,1395,0.12694807521683155,177.09256492748
