cell,tf,window,floor,sl_mode,body,t1,run,att_scheme,n,net,avg,wr,tr_n,tr_net,tr_avg,va_n,va_net,va_avg,maxdd,tr_avg_2x,va_avg_2x,pass
M1-all-f1-sl0-b0.25-T1rr5-Rsess-A2sl,1,all,1.0,0,0.25,3,0,A2sl,3945,-179.25147591042315,-0.045437636479194715,0.17896070975918885,2438,50.29696384873036,0.02063041995436028,1507,-229.5484397591535,-0.15232145969419608,-298.17058084275493,,,False
M1-all-f1-sl0-b0-T1rr5-Rsess-A2sl,1,all,1.0,0,0.0,3,0,A2sl,4004,-181.86118397919745,-0.04541987611868068,0.17782217782217782,2468,35.71513666567496,0.014471287141683534,1536,-217.5763206448724,-0.1416512504198388,-278.85763167595724,,,False
M1-all-f1-sl0-b0.25-T1m15k2-Rsess-A2sl,1,all,1.0,0,0.25,1,0,A2sl,3967,-217.18674399879654,-0.054748359969447075,0.1883035039072347,2492,32.91502109340383,0.01320827491709624,1475,-250.1017650922003,-0.16956051870657649,-309.85657959456967,,,False
M1-all-f1-sl1-b0-T1rr5-Rsess-A2sl,1,all,1.0,1,0.0,3,0,A2sl,4386,-174.51109353106486,-0.039788211019394636,0.18331053351573187,2843,4.896169015991738,0.0017221839662299465,1543,-179.4072625470566,-0.11627171908428814,-254.65388584792794,,,False
M5-all-f0-sl1-b0.25-T1rr5-Rsess-A3e,5,all,0.0,1,0.25,3,0,A3e,5043,-138.09506887950246,-0.027383515542237252,0.22585762442990284,3327,-22.38615635040104,-0.0067286313045990505,1716,-115.70891252910137,-0.06742943620577004,-192.3898892896042,,,False
M1-all-f1-sl0-b0-T1m15k2-Rsess-A2sl,1,all,1.0,0,0.0,1,0,A2sl,4015,-224.47046752467315,-0.055907962023579866,0.18356164383561643,2510,-18.221334775152386,-0.007259495926355532,1505,-206.24913274952075,-0.13704261312260516,-291.24867562903114,,,False
M5-all-f1-sl0-b0.25-T1rr5-Rsess-A3e,5,all,1.0,0,0.25,3,0,A3e,4966,-135.2362485422566,-0.027232430234042808,0.21063229963753524,3200,-29.120225952868363,-0.009100070610271363,1766,-106.11602258938824,-0.06008834801211112,-198.44352756894364,,,False
M1-all-f1-sl1-b0.25-T1rr5-Rsess-A2sl,1,all,1.0,1,0.25,3,0,A2sl,4317,-238.96919137812787,-0.05535538368731246,0.1843873059995367,2806,-45.0599905296247,-0.016058442811698038,1511,-193.90920084850322,-0.12833170142190814,-287.5115160053009,,,False
M5-all-f0-sl1-b0.25-T1rr5-Rsess-A2sl,5,all,0.0,1,0.25,3,0,A2sl,3898,-108.44834389481122,-0.027821535119243512,0.22396100564391996,2576,-43.41614387690593,-0.016854093119916896,1322,-65.0322000179053,-0.04919228443109327,-189.543307743159,,,False
M5-all-f1-sl1-b0.25-T1rr5-Rsess-A2sl,5,all,1.0,1,0.25,3,0,A2sl,3802,-95.94333396458417,-0.02523496422003792,0.2280378748027354,2484,-46.76995506498157,-0.01882848432567696,1318,-49.1733788996026,-0.03730908869469089,-169.45237785416182,,,False
