cell,depth,runner,frac,cost_mult,med_hold_bars,n,wr,avg,net,tr_n,tr_avg,tr_net,va_n,va_avg,va_net
d0-sess-b80,0.0,sess,0.8,1.0,0.0,4526,0.1643835616438356,-0.1010116354307928,-457.17866195976825,3013,-0.0754106848915159,-227.21239357813738,1513,-0.15199356799843414,-229.96626838163087
d0-sess-b50,0.0,sess,0.5,1.0,0.0,4526,0.1643835616438356,-0.06283201999827726,-284.37772251220287,3013,-0.040746213228943944,-122.7683404588081,1513,-0.10681386784758412,-161.60938205339477
d0-extBE-b80,0.0,extBE,0.8,1.0,2836.0,4526,0.1643835616438356,-0.09096528666944767,-411.70888746592016,3013,-0.059302706386259174,-178.6790543417989,1513,-0.15401839598421765,-233.0298331241213
d0-extBE-b50,0.0,extBE,0.5,1.0,2836.0,4526,0.1643835616438356,-0.03771614809491447,-170.7032862775829,3013,-0.00047626696580216094,-1.434992367961911,1513,-0.11187593781204286,-169.26829390962084
d0-extCh2-b80,0.0,extCh2,0.8,1.0,48.0,4526,0.1643835616438356,-0.10188737834080233,-461.14227437047134,3013,-0.0762227316243781,-229.65909038425121,1513,-0.15299615597238606,-231.4831839862201
d0-extCh2-b50,0.0,extCh2,0.5,1.0,48.0,4526,0.1643835616438356,-0.0650213772733011,-294.28675353896074,3013,-0.042776330061099474,-128.8850824740927,1513,-0.10932033778246397,-165.401671064868
d0-extCh3-b80,0.0,extCh3,0.8,1.0,119.5,4526,0.1643835616438356,-0.10250937301967636,-463.9574222870552,3013,-0.07577899280815137,-228.32210533096006,1513,-0.15574046064513888,-235.63531695609512
d0-extCh3-b50,0.0,extCh3,0.5,1.0,119.5,4526,0.1643835616438356,-0.06657636397048618,-301.3246233304204,3013,-0.04166698302053263,-125.54261984086482,1513,-0.11618109946434604,-175.78200348955556
d0-sess-b80@2x,0.0,sess,0.8,2.0,0.0,4526,0.16372072470172339,-0.24567071803794868,-1111.9056698397558,3013,-0.23940385163994574,-721.3238049911565,1513,-0.25815060465869094,-390.58186484859937
d0-sess-b50@2x,0.0,sess,0.5,2.0,0.0,4526,0.16349977905435262,-0.21465876592580288,-971.5455745801838,3013,-0.21147176682911178,-637.1644334561138,1513,-0.22100538078259752,-334.38114112407004
d0-extBE-b80@2x,0.0,extBE,0.8,2.0,2836.0,4526,0.16372072470172339,-0.23827911187521295,-1078.4512603472137,3013,-0.22889087632712468,-689.6482103736266,1513,-0.25697491736522604,-388.803049973587
d0-extBE-b50@2x,0.0,extBE,0.5,2.0,2836.0,4526,0.16349977905435262,-0.19617975051896344,-887.9095508488285,3013,-0.18518932854705916,-557.9754469122893,1513,-0.2180661625489354,-329.93410393653926
d0-extCh2-b80@2x,0.0,extCh2,0.8,2.0,48.0,4526,0.16372072470172339,-0.24659038591350968,-1116.0680866445448,3013,-0.24018754810253756,-723.6850824329457,1513,-0.2593410470664898,-392.3830042115991
d0-extCh2-b50@2x,0.0,extCh2,0.5,2.0,48.0,4526,0.16349977905435262,-0.2169579356147053,-981.9516165921563,3013,-0.21343100798559142,-643.0676270605869,1513,-0.22398148680209473,-338.88398953156934
d0-extCh3-b80@2x,0.0,extCh3,0.8,2.0,119.5,4526,0.16372072470172339,-0.24710234670432732,-1118.3852211837855,3013,-0.239789631254225,-722.4861589689799,1513,-0.26166494528407513,-395.89906221480567
d0-extCh3-b50@2x,0.0,extCh3,0.5,2.0,119.5,4526,0.16349977905435262,-0.2182378375917495,-987.7444529402583,3013,-0.2124362158648099,-640.0703184006722,1513,-0.2297912323460581,-347.6741345395859
d3-sess-b80,3.0,sess,0.8,1.0,0.0,3693,0.17140536149471974,-0.14016560870602301,-517.631592951343,2421,-0.13232749606545913,-320.36486797447657,1272,-0.15508390328370003,-197.26672497686644
