entry_ts,exit_ts,side,r,year
2016-01-20 02:00:00-05:00,2016-01-20 02:00:00-05:00,-1,-1.1342570216421775,2016
2016-01-28 04:00:00-05:00,2016-01-28 04:00:00-05:00,-1,1.976579041052258,2016
2016-01-29 05:00:00-05:00,2016-01-29 05:00:00-05:00,1,-1.1132708078473381,2016
2016-02-12 02:00:00-05:00,2016-02-12 02:00:00-05:00,-1,-1.052287034906816,2016
2016-02-26 05:00:00-05:00,2016-02-26 05:00:00-05:00,1,-1.1047076562237725,2016
2016-03-08 10:00:00-05:00,2016-03-08 10:00:00-05:00,1,1.9418537039190922,2016
2016-05-19 08:00:00-04:00,2016-05-19 08:00:00-04:00,1,-1.0883454661106655,2016
2016-06-06 03:00:00-04:00,2016-06-06 10:00:00-04:00,-1,-1.0115619233490722,2016
2017-03-02 07:00:00-05:00,2017-03-02 07:00:00-05:00,-1,1.9459856537896554,2017
2017-03-15 02:00:00-04:00,2017-03-15 02:00:00-04:00,-1,-1.0338189737970498,2017
2018-03-19 05:00:00-04:00,2018-03-19 05:00:00-04:00,-1,-1.0850716303126826,2018
2018-04-06 09:00:00-04:00,2018-04-06 09:00:00-04:00,-1,-1.1270777207339433,2018
2018-05-08 12:00:00-04:00,2018-05-08 12:00:00-04:00,-1,1.9200204747584921,2018
2018-05-11 06:00:00-04:00,2018-05-11 08:00:00-04:00,-1,-1.0274776606618818,2018
2018-11-29 04:00:00-05:00,2018-11-29 04:00:00-05:00,1,-1.0789016884960974,2018
2018-12-20 00:00:00-05:00,2018-12-20 01:00:00-05:00,-1,-1.0816993464051619,2018
2019-03-28 08:00:00-04:00,2019-03-28 08:00:00-04:00,-1,1.9594695373042426,2019
2019-04-12 10:00:00-04:00,2019-04-12 10:00:00-04:00,1,-1.058779272077486,2019
2019-05-09 10:00:00-04:00,2019-05-09 10:00:00-04:00,-1,-1.0922679461154845,2019
