cell,n,wr,avg,net,tr_n,tr_avg,tr_net,va_n,va_avg,va_net
k3-with-sess-b80,1837,0.17746325530756668,-0.04263961581651527,-78.32897425493856,1221,-0.028635943425075857,-34.96448692201762,616,-0.07039689502097549,-43.3644873329209
k3-with-sess-b50,1837,0.17746325530756668,0.011078617577055515,20.35142048905098,1221,0.05748889560707033,70.19394153623287,616,-0.08091318351815242,-49.84252104718189
k3-with-extBE-b80,1837,0.17746325530756668,-0.04259294394794528,-78.24323803237547,1221,-0.01998995306281601,-24.40773268969835,616,-0.08739530088096942,-53.83550534267716
k3-with-extBE-b50,1837,0.17746325530756668,0.011195297248480411,20.565761045458515,1221,0.07910387151271994,96.58582711703104,616,-0.12340919816813722,-76.02006607157253
k3-counter-sess-b80,2877,0.15467500868960724,-0.151528247684926,-435.9467685895321,1920,-0.11640183823837899,-223.49152941768767,957,-0.22200129485041226,-212.45523917184454
k3-counter-sess-b50,2877,0.15467500868960724,-0.1260448964867273,-362.63116719231436,1920,-0.11642233260953047,-223.53087861029852,957,-0.14535035379520986,-139.10028858201582
k3-counter-extBE-b80,2877,0.15467500868960724,-0.13360886581678713,-384.39270695489654,1920,-0.09213410436097483,-176.89748037307166,957,-0.21681841858079928,-207.4952265818249
k3-counter-extBE-b50,2877,0.15467500868960724,-0.08124644181638,-233.74601310572524,1920,-0.05575299791602003,-107.04575599875845,957,-0.13239316312117744,-126.7002571069668
k5-with-sess-b80,1913,0.17616309461578672,-0.06002520161567226,-114.82821069078103,1304,-0.010067154783619053,-13.127569837839246,609,-0.16699612619530668,-101.70064085294177
k5-with-sess-b50,1913,0.17616309461578672,-0.018141553928851622,-34.70479266589315,1304,0.046433682421150854,60.549521877180716,609,-0.1564110255222888,-95.25431454307389
k5-with-extBE-b80,1913,0.17616309461578672,-0.028852103515469813,-55.194074025093755,1304,0.037487456301085444,48.883643016615416,609,-0.17089937116865214,-104.07771704170915
k5-with-extBE-b50,1913,0.17616309461578672,0.05979119132165448,114.38054899832503,1304,0.16532021013291212,215.5775540133174,609,-0.1661691379556525,-101.19700501499237
k5-counter-sess-b80,2796,0.15414878397711015,-0.1470776646107063,-411.2291502515348,1832,-0.14034392172473317,-257.11006459971117,964,-0.1598745701782403,-154.11908565182367
k5-counter-sess-b50,2796,0.15414878397711015,-0.11372949240518634,-317.987660764901,1832,-0.12243404240107925,-224.29916567877717,964,-0.09718723556651848,-93.68849508612382
k5-counter-extBE-b80,2796,0.15414878397711015,-0.14946683733242255,-417.90927718145343,1832,-0.1422796191586575,-260.6562622986605,964,-0.16312553411078104,-157.2530148827929
k5-counter-extBE-b50,2796,0.15414878397711015,-0.11970242420947688,-334.68797808969737,1832,-0.12727328598588997,-233.16465992615042,964,-0.10531464539787024,-101.5233181635469
k10-with-sess-b80,2059,0.16901408450704225,-0.13331500673747446,-274.4955988724599,1371,-0.09478190754397582,-129.94599524279084,688,-0.21010116806637932,-144.54960362966898
k10-with-sess-b50,2059,0.16901408450704225,-0.12591804217668426,-259.26524884179287,1371,-0.08657087375624857,-118.6886679198168,688,-0.20432642575868615,-140.57658092197607
k10-with-extBE-b80,2059,0.16901408450704225,-0.14442124500218084,-297.36334345949035,1371,-0.08707284761650914,-119.37687408223404,688,-0.258701263629733,-177.9864693772563
k10-with-extBE-b50,2059,0.16901408450704225,-0.1536836378384503,-316.43461030936913,1371,-0.06729822393758188,-92.26586501842475,688,-0.3258266646670702,-224.16874529094432
k10-counter-sess-b80,2645,0.15841209829867675,-0.09263873228511946,-245.02944689414096,1760,-0.07599961591991165,-133.7593240190445,885,-0.1257289524012389,-111.27012287509643
k10-counter-sess-b50,2645,0.15841209829867675,-0.032671331202921684,-86.41567103172785,1760,-0.021619001320742192,-38.04944232450626,885,-0.05465110588386627,-48.36622870722165
k10-counter-extBE-b80,2645,0.15841209829867675,-0.06458255586888657,-170.82086027320497,1760,-0.049702612344295,-87.47659772595921,885,-0.09417430796298956,-83.34426254724576
k10-counter-extBE-b50,2645,0.15841209829867675,0.03746910983766052,99.10579552061208,1760,0.044123507618299466,77.65737340820706,885,0.0242355052117571,21.448422112405034
