variant,baseline,qual,sel,t1_mode,runner,max_attempts,n,wr,avg_r,med_r,net_r,pf,maxdd_r,loss_streak,t1_hit_rate,avg_rr_at_t1,t1_fallback_rate,n_long,net_long,n_short,net_short,tr_net,ho_net,tr_avg,ho_avg,r_p10,r_p25,r_p50,r_p75,r_p90,r_max,pct_r_ge2,pct_r_ge3,pct_r_ge5,att1_n,att1_net,att2_n,att2_net,att3_n,att3_net,tod_asia_n,tod_asia_net,tod_london_n,tod_london_net,tod_ny_n,tod_ny_net,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,avg_r_2x,net_r_2x,ho_net_2x,avg_r_3x,net_r_3x,verdict,failed
Qclose-Srecent-T1m1k5-Rsess-A1,0,close,recent,m1k5,sess,1,4138,0.1909,-0.1238,-1.0000,-512.2750,0.8474,-575.6452,35,0.1781,3.8006,0.0010,1919,-127.6019,2219,-384.6731,-393.3352,-118.9398,-0.1103,-0.2076,-1.0000,-1.0000,-1.0000,-1.0000,2.6183,22.3000,0.1254,0.0894,0.0437,4138,-512.2750,0,0.0000,0,0.0000,1808,-211.1315,1035,-221.2531,1295,-79.8904,-28.3600,-19.1800,8.7500,35.4800,36.4200,23.2200,-26.8100,-23.0800,-44.7200,-71.1900,-65.8100,-108.5600,19.4300,-52.2900,-18.0200,-58.6100,-3.5700,-85.5700,-29.8000,-0.2976,-1231.5840,-174.4146,-0.4063,-1681.4280,reject,"avg>=0.05,train+,holdout+,2x_cost_avg>0"
Qclose-Srecent-T1m1k5-Rsess-A3,1,close,recent,m1k5,sess,3,11131,0.2011,-0.1677,-1.0000,-1866.2568,0.7905,-1928.3815,53,0.1890,3.3396,0.0078,5054,-699.7138,6077,-1166.5430,-1593.1305,-273.1263,-0.1663,-0.1762,-1.0000,-1.0000,-1.0000,-1.0000,2.3148,38.8361,0.1118,0.0780,0.0367,4051,-484.9840,3687,-684.8197,3393,-696.4531,4568,-745.7767,2993,-749.4403,3570,-371.0398,-43.1100,-165.4900,-83.3600,-31.5900,0.3600,77.4400,-75.3200,-94.9200,-121.3600,-162.7400,-161.1900,-269.1600,-69.0400,-97.4800,-98.2500,-197.9300,-93.8000,-155.0700,-24.2600,-0.3358,-3737.2112,-430.7209,-0.4390,-4885.8962,reject,"avg>=0.05,train+,holdout+,2x_cost_avg>0"
Qclose-Srecent-T1m1k5-Rnone-A1,0,close,recent,m1k5,none,1,4209,0.1917,-0.1461,-1.0000,-614.9409,0.8197,-644.5359,35,0.1782,3.7956,0.0010,1953,-209.0213,2256,-405.9196,-498.6613,-116.2797,-0.1374,-0.2005,-1.0000,-1.0000,-1.0000,-1.0000,2.8493,17.3121,0.1388,0.0943,0.0385,4209,-614.9409,0,0.0000,0,0.0000,1812,-273.6307,1045,-245.7128,1352,-95.5973,-16.1500,-26.5000,17.3600,22.1200,6.2200,10.5700,-45.1700,-13.7400,-62.8200,-62.7000,-73.8200,-100.7700,4.0100,-64.7600,-28.3400,-64.1700,3.3800,-84.3500,-35.3100,-0.3141,-1322.1588,-173.2645,-0.4197,-1766.6959,reject,"avg>=0.05,train+,holdout+,2x_cost_avg>0"
Qclose-Srecent-T1m1k5-Rnone-A3,0,close,recent,m1k5,none,3,11700,0.2026,-0.1823,-1.0000,-2132.9800,0.7718,-2223.3087,53,0.1895,3.3472,0.0103,5351,-863.5395,6349,-1269.4404,-1811.8816,-321.0984,-0.1797,-0.1986,-1.0000,-1.0000,-1.0000,-1.0000,2.5333,41.2071,0.1244,0.0797,0.0315,4209,-614.9409,3871,-841.3819,3620,-676.6571,4652,-887.1235,3063,-812.4762,3985,-433.3803,-4.1600,-142.4200,-87.2500,-15.2200,-68.9100,55.8400,-106.8200,-83.4900,-126.8200,-175.8100,-206.7000,-286.1900,-127.1900,-129.8000,-112.9400,-193.9700,-110.4900,-176.1300,-34.4800,-0.3486,-4078.3373,-481.7007,-0.4498,-5262.7636,reject,"avg>=0.05,train+,holdout+,2x_cost_avg>0"
Qclose-Srecent-T1m1k5-Rchand-A1,0,close,recent,m1k5,chand,1,4206,0.1914,-0.1482,-1.0000,-623.1956,0.8172,-649.9849,35,0.1781,3.7906,0.0010,1952,-201.4806,2254,-421.7150,-505.7554,-117.4402,-0.1395,-0.2025,-1.0000,-1.0000,-1.0000,-1.0000,2.8182,17.0864,0.1348,0.0937,0.0409,4206,-623.1956,0,0.0000,0,0.0000,1812,-289.6796,1045,-234.2246,1349,-99.2913,-19.7400,-24.4200,13.0700,24.7300,7.5400,16.4000,-36.7700,-14.2700,-65.0900,-68.5200,-73.5600,-104.9200,2.9600,-67.9900,-31.6100,-63.5600,3.7000,-85.2800,-35.8600,-0.3161,-1329.6542,-175.0542,-0.4215,-1772.7352,reject,"avg>=0.05,train+,holdout+,2x_cost_avg>0"
Qclose-Srecent-T1m1k5-Rchand-A3,0,close,recent,m1k5,chand,3,11673,0.2022,-0.1855,-1.0000,-2164.9654,0.7680,-2262.7550,53,0.1891,3.3366,0.0080,5344,-861.1376,6329,-1303.8278,-1835.1558,-329.8096,-0.1825,-0.2042,-1.0000,-1.0000,-1.0000,-1.0000,2.5070,40.0546,0.1210,0.0798,0.0330,4205,-630.6660,3867,-832.7918,3601,-701.5076,4637,-920.0865,3056,-793.3494,3980,-451.5294,-0.5300,-152.3300,-100.4300,-32.2300,-58.8000,68.3900,-102.3100,-84.4100,-139.7200,-185.8000,-192.4200,-286.8100,-110.4800,-133.0800,-117.6400,-206.5400,-114.6200,-182.7900,-32.4000,-0.3508,-4094.3899,-487.4998,-0.4520,-5275.8024,reject,"avg>=0.05,train+,holdout+,2x_cost_avg>0"
Qclose-Srecent-T1m15k2-Rsess-A1,0,close,recent,m15k2,sess,1,4134,0.1292,-0.0889,-1.0000,-367.5648,0.8981,-472.0965,48,0.0982,6.8752,0.0000,1918,-10.7474,2216,-356.8174,-264.2281,-103.3367,-0.0742,-0.1810,-1.0000,-1.0000,-1.0000,-1.0000,3.0035,28.3843,0.1161,0.1001,0.0651,4134,-367.5648,0,0.0000,0,0.0000,1808,-221.3005,1034,-159.3280,1292,13.0637,-63.9300,3.5500,-4.2600,34.0300,37.2400,34.9300,19.4700,-3.4600,-26.7200,-72.3400,-55.1400,-113.2200,48.9900,-40.5300,-34.5500,-28.2700,33.6400,-99.9100,-37.0700,-0.2696,-1114.4228,-162.2166,-0.3822,-1579.8632,reject,"avg>=0.05,train+,holdout+,2x_cost_avg>0"
Qclose-Srecent-T1m15k2-Rsess-A3,0,close,recent,m15k2,sess,3,11022,0.1215,-0.1366,-1.0000,-1505.4315,0.8449,-1568.5519,76,0.0919,6.9164,0.0001,4994,-470.2869,6028,-1035.1446,-1317.3645,-188.0670,-0.1387,-0.1236,-1.0000,-1.0000,-1.0000,-1.0000,2.4356,43.5229,0.1073,0.0928,0.0628,4031,-352.0990,3650,-603.6252,3341,-549.7072,4528,-636.7529,2965,-652.9467,3529,-215.7319,-61.6000,-158.0800,-125.6600,-72.1100,4.6500,120.2400,-27.5300,-60.6800,-73.9000,-143.3300,-121.8900,-226.1200,-22.2200,-63.7800,-93.5000,-191.8600,-67.0800,-112.6100,-8.3700,-0.3078,-3392.5099,-338.5199,-0.4140,-4562.7260,reject,"avg>=0.05,train+,holdout+,2x_cost_avg>0"
Qclose-Srecent-T1m15k2-Rnone-A1,0,close,recent,m15k2,none,1,4209,0.1297,-0.1044,-1.0000,-439.4222,0.8803,-513.0553,48,0.0979,6.8595,0.0000,1953,-79.1114,2256,-360.3108,-329.5642,-109.8580,-0.0908,-0.1894,-1.0000,-1.0000,-1.0000,-1.0000,3.2131,25.8823,0.1181,0.1031,0.0679,4209,-439.4222,0,0.0000,0,0.0000,1812,-277.2999,1045,-156.5921,1352,-5.5302,-58.3000,-7.6000,5.8200,21.8700,10.4700,25.5400,13.1900,19.4300,-39.3100,-62.1000,-60.1300,-103.8200,33.7500,-49.3900,-47.9600,-31.0300,43.7200,-107.6500,-45.9400,-0.2816,-1185.4215,-170.3879,-0.3921,-1650.4456,reject,"avg>=0.05,train+,holdout+,2x_cost_avg>0"
Qclose-Srecent-T1m15k2-Rnone-A3,0,close,recent,m15k2,none,3,11546,0.1228,-0.1556,-1.0000,-1796.6360,0.8230,-1877.6435,76,0.0904,6.8722,0.0002,5269,-627.9642,6277,-1168.6718,-1582.4878,-214.1482,-0.1590,-0.1344,-1.0000,-1.0000,-1.0000,-1.0000,2.7038,47.0657,0.1090,0.0962,0.0631,4209,-439.4222,3820,-720.6142,3517,-636.5995,4558,-730.9597,3027,-722.1209,3961,-343.5554,-42.7900,-140.5700,-145.6900,-83.5100,-40.6200,95.8300,-48.0900,-31.9400,-110.6800,-164.3800,-150.8100,-230.6000,-58.1100,-99.2100,-132.5900,-198.7300,-64.8900,-140.7200,-8.5300,-0.3228,-3727.3442,-368.7575,-0.4265,-4924.1432,reject,"avg>=0.05,train+,holdout+,2x_cost_avg>0"
