date,day,price,atm_ce_1,atm_pe_1,itm_ce_1,itm_ce_2,itm_ce_3,itm_ce_4,itm_ce_5,itm_pe_1,itm_pe_2,itm_pe_3,itm_pe_4,itm_pe_5,otm_ce_1,otm_ce_2,otm_ce_3,otm_ce_4,otm_ce_5,otm_pe_1,otm_pe_2,otm_pe_3,otm_pe_4,otm_pe_5
01-09-2025,1,24511.4,102.35,54.05,75.05,52.75,36.25,24.35,16.25,75.4,104.45,136.6,174.5,216.2,75.05,52.75,36.25,24.35,16.25,75.4,104.45,136.6,174.5,216.2
02-09-2025,0,24676,37,54.2,19.65,9.35,4.65,2.55,1.7,86.6,128.25,172.1,220.9,268.85,19.65,9.35,4.65,2.55,1.7,86.6,128.25,172.1,220.9,268.85
03-09-2025,6,24588.45,132.15,128.25,108.2,86.9,68.5,54.25,41.3,152.6,181.4,212.4,246.15,287.2,108.2,86.9,68.5,54.25,41.3,152.6,181.4,212.4,246.15,287.2
04-09-2025,5,24876.95,109.05,111.25,86.35,65.7,48.15,37.15,26.6,137.6,167.55,202.4,238.95,280.9,86.35,65.7,48.15,37.15,26.6,137.6,167.55,202.4,238.95,280.9
05-09-2025,4,24801.6,97.25,74.45,72.55,53.55,38.1,27.3,19.1,100.05,127.1,163.3,205.45,242.1,72.55,53.55,38.1,27.3,19.1,100.05,127.1,163.3,205.45,242.1
08-09-2025,1,24804.4,78.75,58.3,55.6,37.6,23.2,14.05,9.05,83.3,114.25,154.85,191.6,236.5,55.6,37.6,23.2,14.05,9.05,83.3,114.25,154.85,191.6,236.5
09-09-2025,0,24847.4,54.45,42.05,34.05,19.4,11.3,5.7,3.5,70.2,106.2,147.25,195.4,239.95,34.05,19.4,11.3,5.7,3.5,70.2,106.2,147.25,195.4,239.95
10-09-2025,6,24979,112.7,126.2,90.05,69.55,53.55,39.35,30.05,152.9,184.05,220,257,295,90.05,69.55,53.55,39.35,30.05,152.9,184.05,220,257,295
11-09-2025,5,24963.65,133.7,81.55,104.5,80.45,60.35,45.3,32.25,101.85,127.85,158.25,192.45,230.25,104.5,80.45,60.35,45.3,32.25,101.85,127.85,158.25,192.45,230.25
12-09-2025,4,25065.6,108.95,60.6,80.55,57.85,40.1,26.6,17.4,82.25,108.6,140,177.4,218.8,80.55,57.85,40.1,26.6,17.4,82.25,108.6,140,177.4,218.8
15-09-2025,1,25124.25,70.05,54.25,45.5,27.95,16.7,9.6,5.85,79.15,111.35,150.6,192.7,240.15,45.5,27.95,16.7,9.6,5.85,79.15,111.35,150.6,192.7,240.15
