"SYMBOL 
","UNDERLYING ASSET 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","NAV 
","52W H 
","52W L 
","30D  %CHNG 
","365 D 
","365 D % CHNG 
","30 D 
"
"LICMFGOLD","Gold","10,005.15","11,477.00","9,975.00","10,004.85","10,845.50","-","840.65","8.40","7,364","7.69","-","11,477.00","6,477.05",9.44,"06-Sep-2024","52.40","08-Aug-2025"
"GOLD360","Commodity-Gold","108.50","119.95","107.10","106.40","112.00","-","5.60","5.26","2,52,291","2.73","106.04","119.95","78.20",6.35,"-","-","08-Aug-2025"
"HDFCNIFIT","HDFC NIFTY IT ETF","36.50","37.90","36.35","36.03","37.90","-","1.87","5.19","75,543","0.28","35.95","47.74","32.24",-0.22,"06-Sep-2024","-17.08","08-Aug-2025"
"ITBEES","Nifty IT TRI","38.42","38.61","37.80","37.49","38.58","-","1.09","2.91","1,75,38,685","67.31","37.42","49.76","33.63",-0.27,"06-Sep-2024","-17.04","08-Aug-2025"
"SILVERCASE","Commodity-Silver","13.11","13.11","12.72","12.73","13.10","-","0.37","2.91","38,94,814","5.00","17.02","14.40","9.00",8.06,"-","-","08-Aug-2025"
"GOLDSHARE","Gold","91.35","97.25","91.35","91.35","94.00","-","2.65","2.90","11,65,865","10.83","91.06","97.25","60.30",7.09,"06-Sep-2024","50.00","08-Aug-2025"
"SILVER360","Commodity-Silver","123.47","127.00","123.00","123.48","127.00","-","3.52","2.85","5,011","0.06","123.30","127.00","78.40",7.82,"-","-","08-Aug-2025"
"ITETF","Mirae Asset Nifty IT ETF","36.35","36.69","36.08","35.63","36.64","-","1.01","2.83","1,93,213","0.70","35.64","48.05","31.70",-0.34,"06-Sep-2024","-17.14","08-Aug-2025"
"NIFITETF","UTI Nifty IT ETF","360.66","363.99","360.65","354.44","363.99","-","9.55","2.69","1,336","0.05","353.57","469.99","325.00",-0.22,"06-Sep-2024","-17.02","08-Aug-2025"
"ITIETF","Nifty IT Index","37.72","38.55","37.72","37.48","38.48","-","1.00","2.67","68,90,128","26.47","37.38","49.53","33.43",-0.19,"06-Sep-2024","-16.91","08-Aug-2025"
"IT","NIFTY IT Index","37.52","38.37","37.52","37.34","38.33","-","0.99","2.65","1,83,808","0.70","37.26","49.50","32.55",-0.48,"06-Sep-2024","-17.08","08-Aug-2025"
"MOGOLD","Domestic Price of Physical Gold","108.00","111.65","107.80","107.20","110.00","-","2.80","2.61","12,39,267","13.55","107.40","111.65","96.30","-","-","-","-"
"SBIETFIT","Nifty IT Index","365.06","384.00","365.06","374.43","384.00","-","9.57","2.56","4,779","0.18","373.56","510.00","335.00",-0.17,"06-Sep-2024","-16.96","08-Aug-2025"
