"SYMBOL 
","UNDERLYING ASSET 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","NAV 
","52W H 
","52W L 
","30D  %CHNG 
","365 D   %CHNG 
"
"GOLD360","Commodity-Gold","132.95","154.95","132.90","132.15","141.65","-","9.50","7.19","1,48,247","2.00","132.19","154.95","78.20",7.12,"-"
"EVIETF","Nifty EV & New Age Automotive ETF","31.77","32.94","31.10","31.62","32.94","-","1.32","4.17","1,48,024","0.46","31.55","33.75","23.56",0.22,"-"
"MOSILVER","Domestic Price of Physical Silver","233.93","239.33","230.57","230.37","239.33","-","8.96","3.89","5,64,695","13.27","231.36","248.75","112.32",29,"-"
"SILVER1","Kotak Silver ETF","231.47","235.00","224.84","225.83","234.50","-","8.67","3.84","24,30,742","56.24","227.19","244.70","85.87",29.05,"164.64"
"ESILVER","Edelweiss Silver ETF","239.34","242.49","233.52","233.51","241.50","-","7.99","3.42","8,62,692","20.77","233.86","252.00","86.27",29.17,"162.90"
"GROWWSLVR","Commodity-Silver","229.13","236.69","229.13","228.93","235.92","-","6.99","3.05","8,21,966","19.17","229.69","256.58","94.20",28.54,"-"
"SILVERBETA","UTI Silver Exchange Traded Fund (UTI Silver ETF)","220.18","233.33","220.18","225.83","232.70","-","6.87","3.04","22,41,043","51.53","224.17","244.64","85.08",0,"-"
"HDFCSILVER","HDFC Silver ETF","225.26","231.69","220.00","223.92","230.55","-","6.63","2.96","88,58,257","202.69","224.52","243.50","85.67",28.81,"163.97"
"TATSILV","Tata Silver Exchange Traded Fund","22.62","23.41","22.30","22.67","23.34","-","0.67","2.96","10,71,96,252","247.62","23.18","25.10","8.56",28.49,"164.55"
"SBISILVER","SBI SILVER ETF","234.90","236.70","229.76","229.34","235.84","-","6.50","2.83","54,58,194","127.55","229.29","249.40","86.00",28.7,"164.02"
"SILVERBEES","Domestic price of Silver- based on LBMA Silver daily spot fixing price","224.20","230.95","224.20","223.53","229.85","-","6.32","2.83","7,02,30,296","1,598.93","224.10","243.29","77.55",28.81,"163.16"
"SILVER360","Commodity-Silver","228.28","238.00","228.28","228.28","234.66","-","6.38","2.79","69,081","1.61","229.11","248.11","78.40",28.65,"-"
"SILVER","Physical price of Silver","238.96","240.30","224.99","233.14","239.37","-","6.23","2.67","31,35,875","74.43","233.60","254.56","89.00",28.7,"163.94"
"MOGOLD","Domestic Price of Physical Gold","134.55","138.00","134.10","133.85","137.30","-","3.45","2.58","14,20,693","19.22","134.00","139.00","96.30",6.78,"-"
"AXISILVER","Axis Silver ETF","238.78","239.50","227.10","232.96","238.90","-","5.94","2.55","9,84,239","23.24","232.68","249.88","86.48",28.75,"163.01"
"SILVERAG","Mirae Asset Silver ETF","245.09","245.09","227.41","227.41","233.00","-","5.59","2.46","17,74,606","41.02","227.96","249.40","84.55",28.22,"-"
"SILVERIETF","Domestic Price of Silver","228.22","240.94","228.22","234.08","239.80","-","5.72","2.44","98,26,004","233.60","233.75","251.35","88.80",28.82,"164.15"
"SILVERCASE","Commodity-Silver","24.36","24.47","23.50","23.77","24.35","-","0.58","2.44","2,03,59,207","49.21","21.30","25.78","9.00",28.83,"-"
"SILVERADD","DSP Silver ETF","228.77","233.01","226.12","225.77","231.21","-","5.44","2.41","20,91,255","47.70","225.78","245.09","84.09",29.43,"165.00"
"SILVERBND","Commodity - Silver","237.83","240.34","235.21","234.77","240.20","-","5.43","2.31","52,648","1.26","234.14","261.42","180.00",0,"-"
"TWCGOLDETF","Commodity","135.24","140.00","133.57","135.23","137.50","-","2.27","1.68","28,042","0.39","135.78","140.00","130.43",0,"-"
"LICMFGOLD","Gold","12,232.85","12,400.00","12,175.05","12,171.90","12,340.00","-","168.10","1.38","4,930","6.10","-","12,699.95","6,902.20",6.18,"73.87"
"AXISGOLD","Gold","110.15","115.80","110.15","112.98","114.42","-","1.44","1.27","10,41,623","11.91","112.91","117.50","65.18",6.14,"73.23"
"IVZINGOLD","Gold","11,831.05","11,930.00","11,831.05","11,754.85","11,900.00","-","145.15","1.23","485","0.58","11,801.64","12,272.75","6,770.00",5.96,"74.09"
"TATAGOLD","Tata Gold Exchange Traded Fund","13.48","13.78","13.15","13.16","13.32","-","0.16","1.22","5,70,66,436","75.78","13.24","14.50","7.14",6.06,"72.95"
"GOLDBEES","Gold","113.26","113.88","112.61","112.29","113.65","-","1.36","1.21","3,92,84,191","445.29","112.05","117.00","64.80",6.03,"72.32"
"SETFGOLD","Gold","118.62","118.62","115.75","115.73","116.98","-","1.25","1.08","80,48,498","94.06","115.46","120.46","64.96",6.04,"73.00"
"GROWWGOLD","Commodity","132.56","134.29","132.54","132.38","133.78","-","1.40","1.06","2,68,961","3.60","132.42","136.29","76.00",6.16,"72.76"
"GOLDCASE","Zerodha Gold ETF","21.87","21.87","21.35","21.35","21.57","-","0.22","1.03","1,48,37,512","31.93","21.30","22.38","11.25",6.1,"73.03"
"GOLDBETA","Gold","116.95","116.95","114.10","114.10","115.25","-","1.15","1.01","13,44,639","15.47","113.65","119.00","65.40",0,"-"
"GOLD1","Gold","115.85","115.85","113.05","113.03","114.16","-","1.13","1.00","28,29,910","32.24","112.91","116.59","64.77",6.22,"72.90"
"QGOLDHALF","Gold","113.00","114.70","112.66","112.44","113.55","-","1.11","0.99","99,849","1.13","112.07","116.37","64.26",6.14,"73.58"
