"SYMBOL 
","UNDERLYING ASSET 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","NAV 
","52W H 
","52W L 
","30D  %CHNG 
","365 D 
","365 D % CHNG 
","30 D 
"
"MAFANG","NYSE FANG+ Total Return Index","136.15","137.60","135.00","134.80","137.40","136.94","2.60","1.93","6,47,568","8.85","115.01","153.48","89.25",16.51,"17-May-2024","41.14","17-Apr-2025"
"LICNFNHGP","Nifty 100","284.57","284.57","275.10","277.65","281.18","281.11","3.53","1.27","1,195","0.03","276.36","325.00","242.47",4.86,"17-May-2024","10.19","17-Apr-2025"
"SDL26BEES","Nifty SDL Apr 2026 Top 20 Equal Weight Index","130.99","131.90","130.20","130.63","131.90","131.75","1.27","0.97","10,02,127","13.05","130.77","131.90","119.50",0.64,"17-May-2024","8.00","17-Apr-2025"
"HNGSNGBEES","Hang Seng Index","395.89","397.09","392.88","390.93","394.63","394.56","3.70","0.95","1,14,618","4.53","366.97","448.90","269.02",3.59,"17-May-2024","24.97","17-Apr-2025"
"EBBETF0430","Nifty BHARAT Bond","1,516.00","1,517.68","1,508.95","1,511.08","1,516.98","1,516.44","5.90","0.39","23,483","3.56","1,513.23","1,546.87","1,322.10",1.19,"17-May-2024","10.59","17-Apr-2025"
"MON100","Nasdaq100","179.02","180.01","178.88","178.54","179.19","179.15","0.65","0.36","5,71,107","10.25","178.86","221.70","142.11",7.83,"17-May-2024","19.43","17-Apr-2025"
"NIF10GETF","UTI Nifty 10 yr Benchmark G-Sec ETF","25.99","26.05","25.94","25.96","26.05","26.05","0.09","0.35","1,294","-","25.93","27.25","22.75",0.93,"17-May-2024","12.19","17-Apr-2025"
"MOGSEC","Nifty 5 yr Benchmark G-Sec Index","61.82","61.82","61.50","61.52","61.71","61.73","0.19","0.31","5,301","0.03","61.53","63.91","55.01",0.85,"17-May-2024","11.23","17-Apr-2025"
"EBBETF0433","BHARAT Bond ETF-April 2033","1,241.55","1,245.50","1,240.01","1,241.87","1,245.24","1,245.24","3.37","0.27","6,708","0.84","1,242.54","1,245.50","1,101.01",1.15,"17-May-2024","11.34","17-Apr-2025"
"BBETF0432","Nifty BHARAT Bond Index - April 2032","1,278.99","1,279.00","1,273.07","1,275.51","1,278.60","1,278.60","3.09","0.24","1,700","0.22","1,276.21","1,285.00","1,135.66",1.41,"17-May-2024","11.54","17-Apr-2025"
"GILT5YBEES","Nifty 5 yr Benchmark G-Sec Index","62.23","62.37","62.18","62.17","62.30","62.32","0.13","0.21","3,91,741","2.44","62.11","71.00","54.25",1.17,"17-May-2024","11.42","17-Apr-2025"
"GOLDSHARE","Gold","79.10","79.30","78.55","79.10","79.25","79.15","0.15","0.19","99,987","0.79","79.49","84.35","58.55",-1.56,"17-May-2024","26.76","17-Apr-2025"
"MONQ50","Nasdaq Q-50 Total Return Index","74.49","74.89","73.11","73.65","73.77","73.68","0.12","0.16","1,45,824","1.08","71.51","93.32","57.51",8.18,"17-May-2024","17.54","17-Apr-2025"
"LICMFGOLD","Gold","8,489.95","8,531.00","8,432.05","8,505.20","8,517.90","8,511.90","12.70","0.15","470","0.40","-","9,200.00","6,266.00",-1.71,"17-May-2024","26.81","17-Apr-2025"
"GSEC5IETF","Nifty 5 yr Benchmark G-Sec Index","62.39","62.60","62.16","62.09","62.18","62.23","0.09","0.14","3,374","0.02","62.18","66.00","55.60",0.5,"17-May-2024","10.56","17-Apr-2025"
"MAHKTECH","Hang Seng TECH Total Return Index","23.17","23.18","22.84","22.94","22.97","22.93","0.03","0.13","9,59,701","2.22","19.17","26.74","12.90",7.65,"17-May-2024","55.63","17-Apr-2025"
"EBBETF0431","Nifty BHARAT Bond","1,356.99","1,361.48","1,355.04","1,354.96","1,356.51","1,356.62","1.55","0.11","13,909","1.89","1,354.70","1,361.48","1,214.26",1.24,"17-May-2024","11.11","17-Apr-2025"
"LTGILTBEES","NIFTY 8-13 yr G-Sec Index","28.87","29.72","28.84","28.85","28.88","28.87","0.03","0.10","31,31,260","9.04","28.80","29.72","25.61",0.94,"17-May-2024","12.26","17-Apr-2025"
"SETF10GILT","Nifty 10 yr Benchmark G-Sec Index","258.39","258.48","257.21","257.93","258.16","258.16","0.23","0.09","18,172","0.47","257.46","267.00","225.70",1.41,"17-May-2024","11.04","17-Apr-2025"
"GSEC10IETF","ICICI Prudential Nifty 10 yr Benchmark G-Sec ETF","258.01","258.24","256.41","258.00","258.19","258.19","0.19","0.07","65","-","257.00","260.00","228.80",1.16,"17-May-2024","12.42","17-Apr-2025"
"LICNETFGSC","GSEC10 NSE Index","28.48","28.48","28.16","28.36","28.38","28.38","0.02","0.07","58,617","0.17","28.35","28.48","24.51",1.25,"17-May-2024","12.23","17-Apr-2025"
"HDFCGROWTH","HDFC NIFTY Growth Sectors 15 ETF","118.92","119.60","116.00","118.92","119.00","117.32","0.08","0.07","47,116","0.55","118.18","147.00","103.11",7.48,"17-May-2024","8.68","17-Apr-2025"
"GROWWLIQID","Nifty 1D Rate Index","104.14","104.40","104.08","104.06","104.08","104.08","0.02","0.02","2,44,813","2.55","104.06","105.30","98.00",0.41,"-","-","17-Apr-2025"
"LIQUIDCASE","Zerodha Nifty 1D Rate Liquid ETF","108.64","108.64","108.62","108.62","108.64","108.63","0.02","0.02","41,89,338","45.51","108.62","111.79","99.50",0.43,"17-May-2024","6.22","17-Apr-2025"
"LIQUIDADD","DSP S&P BSE Liquid Rate ETF","1,073.09","1,073.11","1,073.09","1,072.93","1,073.10","1,073.10","0.17","0.02","2,66,847","28.64","1,072.94","1,219.70","949.27",0.43,"17-May-2024","6.18","17-Apr-2025"
"CASHIETF","BSE Liquid Rate Index","1,011.13","1,011.15","1,011.13","1,010.99","1,011.15","1,011.15","0.16","0.02","1,40,941","14.25","1,010.98","1,034.60","1,001.47",0.44,"-","-","17-Apr-2025"
"LIQUID1","Kotak Nifty 1D Rate Liquid ETF","1,050.86","1,050.88","1,050.86","1,050.72","1,050.87","1,050.87","0.15","0.01","2,81,402","29.57","1,050.72","1,120.00","999.68",0.44,"17-May-2024","5.07","17-Apr-2025"
"HDFCLIQUID","HDFC Nifty 1D Rate Liquid ETF","1,011.82","1,011.86","1,011.82","1,011.71","1,011.86","1,011.86","0.15","0.01","2,892","0.29","-","1,030.00","975.00",0.41,"17-May-2024","1.17","17-Apr-2025"
"LIQUIDBETF","Bajaj Finserv Nifty 1D Rate Liquid ETF","1,031.03","1,031.05","1,031.03","1,030.90","1,031.05","1,031.05","0.15","0.01","2,45,253","25.29","1,030.88","1,200.19","810.00",0.43,"-","-","17-Apr-2025"
"AONELIQUID","Niftyﾠ1D Rate Index","1,011.98","1,011.98","1,008.79","1,008.66","1,008.79","1,008.79","0.13","0.01","24,063","2.43","1,008.65","1,037.86","999.90",0.43,"-","-","17-Apr-2025"
"LIQUIDPLUS","Nifty 1D Rate Index","1,032.96","1,032.97","1,032.96","1,032.82","1,032.96","1,032.96","0.14","0.01","85,002","8.78","1,032.81","1,038.75","994.83",0.44,"-","-","17-Apr-2025"
"GROWWGOLD","Commodity","92.76","92.89","91.98","92.76","92.77","92.67","0.01","0.01","1,22,751","1.13","92.58","98.88","73.00",-1.41,"-","-","17-Apr-2025"
"LIQUIDSHRI","SHRIRAM NIFTY 1D RATE LIQUID ETF","1,053.50","1,053.50","1,053.49","1,053.35","1,053.49","1,053.49","0.14","0.01","20,134","2.12","1,053.35","1,095.15","1,000.00",0.43,"-","-","17-Apr-2025"
"LIQUIDBEES","Government Securities","1,000.00","1,000.66","999.99","1,000.00","999.99","999.99","-0.01","-","19,50,925","195.09","1,000.00","1,030.00","970.00",0,"17-May-2024","-","17-Apr-2025"
"SILVER360","Commodity-Silver","95.32","95.32","94.10","95.32","95.32","95.32","-","-","874","0.01","95.52","104.00","78.40","-","-","-","-"
"LIQUIDIETF","S&P BSE Liquid Rate Index","999.99","1,000.01","999.99","999.99","1,000.00","999.99","0.01","-","3,51,264","35.13","1,000.00","1,030.00","990.10",0,"17-May-2024","-","17-Apr-2025"
"AXISBPSETF","Nifty AAA Bond Plus SDL Apr 2026 50:50 Index","12.95","12.95","12.59","12.66","12.66","12.66","-","-","82,190","0.10","12.67","14.00","11.00",0.88,"17-May-2024","8.02","17-Apr-2025"
"LIQUID","Mirae Asset Nifty 1D Rate Liquid ETF","999.99","1,000.00","999.99","999.99","999.99","999.99","-","-","1,66,190","16.62","1,000.00","1,030.00","990.00",0,"17-May-2024","-","17-Apr-2025"
"LIQUIDSBI","SBI NIFTY 1D Rate ETF","1,000.01","1,000.01","999.99","1,000.00","1,000.01","1,000.01","0.01","-","5,715","0.57","1,000.00","1,000.01","990.15",0,"17-May-2024","-","17-Apr-2025"
"ABSLLIQUID","Aditya Birla Sun Life CRISIL Overnight Fund AI ETF","1,000.01","1,000.01","999.99","1,000.00","1,000.01","1,000.01","0.01","-","870","0.09","1,000.00","1,030.00","990.00",0,"17-May-2024","-","17-Apr-2025"
"LIQUIDETF","Nifty1D rate index","1,000.00","1,000.01","999.99","999.99","1,000.00","1,000.00","0.01","-","79,403","7.94","1,000.00","1,020.00","980.55",0,"17-May-2024","-","17-Apr-2025"
"SILVER1","Kotak Silver ETF","93.93","93.93","92.72","93.93","93.91","93.60","-0.02","-0.02","63,084","0.59","93.79","111.00","77.90",0.47,"17-May-2024","9.73","17-Apr-2025"
"NIF5GETF","UTI Nifty 5 yr Benchmark G-Sec ETF","62.48","62.48","62.25","62.49","62.48","62.48","-0.01","-0.02","2,055","0.01","62.39","65.00","55.50",1.31,"16-May-2024","11.59","17-Apr-2025"
"ABGSEC","Aditya Birla Sun Life CRISIL Broad Based Gilt ETF","110.65","110.66","110.10","110.17","110.14","110.14","-0.03","-0.03","5,693","0.06","110.33","120.00","99.66",1.18,"-","-","17-Apr-2025"
"BBNPPGOLD","Baroda BNP Paribas Gold ETF","92.05","92.05","91.00","92.00","91.95","91.70","-0.05","-0.05","1,915","0.02","91.64","98.20","67.10",-1.13,"17-May-2024","27.07","17-Apr-2025"
"QGOLDHALF","Gold","78.20","78.26","77.32","78.20","78.15","78.07","-0.05","-0.06","24,354","0.19","77.85","83.18","57.60",-1.26,"17-May-2024","26.66","17-Apr-2025"
"SILVRETF","Mirae Asset Silver ETF","93.96","94.49","93.26","94.35","94.28","94.30","-0.07","-0.07","16,418","0.15","94.23","100.47","78.40",0.54,"17-May-2024","9.75","17-Apr-2025"
"AXISILVER","Axis Silver ETF","96.24","96.24","95.15","96.24","96.15","95.82","-0.09","-0.09","1,24,459","1.19","96.20","103.83","80.00",0.41,"17-May-2024","9.94","17-Apr-2025"
"GOLDBEES","Gold","77.97","78.28","77.63","78.32","78.24","78.18","-0.08","-0.10","1,42,28,127","110.87","78.16","83.56","57.85",-1.52,"17-May-2024","26.40","17-Apr-2025"
"EGOLD","Edelweiss Gold ETF","95.50","95.50","93.15","95.05","94.95","94.65","-0.10","-0.11","3,316","0.03","94.51","101.45","69.70",-1.25,"17-May-2024","27.58","17-Apr-2025"
"TATSILV","Tata Silver Exchange Traded Fund","9.38","9.43","9.27","9.38","9.37","9.35","-0.01","-0.11","22,39,476","2.09","9.39","10.32","7.00",0.21,"17-May-2024","9.71","17-Apr-2025"
"GOLDETFADD","DSP Gold ETF","91.84","91.85","91.15","91.94","91.81","91.53","-0.13","-0.14","25,20,230","23.01","91.60","97.50","66.90",-0.93,"17-May-2024","26.57","17-Apr-2025"
"GSEC10YEAR","Mirae Asset Nifty 8-13 yr G-Sec ETF","29.21","29.23","29.15","29.20","29.16","29.16","-0.04","-0.14","25,603","0.07","29.19","31.00","25.75",1.28,"17-May-2024","12.39","17-Apr-2025"
"GOLD1","Gold","78.86","78.86","78.01","78.86","78.74","78.67","-0.12","-0.15","1,92,272","1.51","78.70","84.49","58.25",-1.24,"17-May-2024","26.50","17-Apr-2025"
"SETFGOLD","Gold","80.99","80.99","80.00","80.76","80.64","80.61","-0.12","-0.15","81,36,297","65.39","80.52","97.00","58.65",-1.38,"17-May-2024","26.54","17-Apr-2025"
"CONS","Kotak Nifty India Consumption ETF","118.71","120.00","116.07","118.70","118.50","119.31","-0.20","-0.17","12,775","0.15","118.40","155.70","102.46",3.83,"17-May-2024","11.60","17-Apr-2025"
"AXISGOLD","Gold","78.99","78.99","78.15","78.89","78.75","78.68","-0.14","-0.18","1,29,171","1.01","78.68","84.89","58.20",-1.61,"17-May-2024","26.65","17-Apr-2025"
"GOLDETF","Mirae Asset Gold ETF","91.79","91.89","91.12","91.94","91.76","91.51","-0.18","-0.20","22,50,092","20.59","91.72","97.42","67.25",-1.32,"17-May-2024","26.64","17-Apr-2025"
"SILVERETF","UTI Silver Exchange Traded Fund (UTI Silver ETF)","93.47","93.65","92.86","93.79","93.60","93.46","-0.19","-0.20","1,06,080","0.99","93.92","100.00","79.50",0.57,"17-May-2024","7.46","17-Apr-2025"
"GOLDCASE","Zerodha Gold ETF","15.00","15.00","14.79","14.90","14.87","14.85","-0.03","-0.20","14,90,638","2.21","14.84","15.92","10.75",-1.26,"17-May-2024","27.02","17-Apr-2025"
"GOLD360","Commodity ﾖ Gold","93.05","93.05","92.10","93.00","92.80","92.80","-0.20","-0.22","1,643","0.02","92.71","105.25","86.30",-1.74,"-","-","17-Apr-2025"
"GSEC10ABSL","CRISIL 10 Year Gilt ETF","109.19","109.46","109.19","109.74","109.46","109.46","-0.28","-0.26","155","-","109.14","119.76","99.80",1.99,"-","-","17-Apr-2025"
"SILVERIETF","Domestic Price of Silver","95.87","96.18","95.40","96.37","96.12","96.07","-0.25","-0.26","5,05,635","4.84","96.31","101.85","80.05",0.53,"17-May-2024","9.47","17-Apr-2025"
"HDFCGOLD","Gold","80.80","80.99","80.07","80.80","80.58","80.49","-0.22","-0.27","59,76,229","48.04","80.59","86.04","59.57",-1.42,"17-May-2024","26.57","17-Apr-2025"
"SILVERBEES","Domestic price of Silver- based on LBMA Silver daily spot fixing price","92.17","92.56","91.75","92.81","92.56","92.50","-0.25","-0.27","64,16,851","59.10","92.68","100.00","76.70",0.71,"17-May-2024","9.45","17-Apr-2025"
"SILVERCASE","Commodity-Silver","9.83","9.86","9.72","9.84","9.81","9.80","-0.03","-0.30","2,20,662","0.22","14.84","10.99","9.00",0.31,"-","-","17-Apr-2025"
"IDFNIFTYET","Nifty 50","274.70","274.70","267.60","270.58","269.77","269.75","-0.81","-0.30","211","0.01","271.23","298.84","230.00",4.77,"17-May-2024","11.90","17-Apr-2025"
"HDFCSILVER","HDFC Silver ETF","92.29","92.75","91.90","93.02","92.74","92.68","-0.28","-0.30","4,87,017","4.49","92.81","100.35","77.50",0.62,"17-May-2024","9.72","17-Apr-2025"
"IVZINGOLD","Gold","8,193.00","8,210.00","8,130.00","8,235.15","8,210.00","8,203.10","-25.15","-0.31","180","0.15","8,247.93","8,800.00","6,060.25",-0.91,"17-May-2024","26.90","17-Apr-2025"
"MONIFTY500","Motilal Oswal Nifty 500 ETF","23.13","23.19","22.90","23.02","22.94","22.93","-0.08","-0.35","3,79,953","0.87","23.11","25.00","19.50",5.26,"17-May-2024","8.89","17-Apr-2025"
"HDFCVALUE","HDFC NIFTY50 Value 20 ETF","135.42","135.89","134.00","134.75","134.26","134.26","-0.49","-0.36","7,818","0.11","134.89","155.70","117.50",5.08,"17-May-2024","6.47","17-Apr-2025"
"GOLDIETF","Gold","78.76","80.90","78.59","81.02","80.70","80.67","-0.32","-0.39","28,69,954","23.07","80.66","87.91","59.00",-1.24,"17-May-2024","26.81","17-Apr-2025"
"SILVERADD","DSP Silver ETF","93.01","93.01","92.02","93.33","92.97","92.96","-0.36","-0.39","18,160","0.17","93.10","98.69","77.20",0.6,"17-May-2024","9.57","17-Apr-2025"
"ESILVER","Edelweiss Silver ETF","96.80","96.80","95.01","96.99","96.59","96.52","-0.40","-0.41","1,506","0.01","96.80","102.99","75.97",0.47,"17-May-2024","10.20","17-Apr-2025"
"TOP10ADD","Nifty Top 10 Equal Weight Index","97.65","99.00","97.25","97.66","97.25","97.36","-0.41","-0.42","1,87,818","1.83","97.83","119.70","86.50",3.81,"-","-","17-Apr-2025"
"TATAGOLD","Tata Gold Exchange Traded Fund","9.22","9.22","9.12","9.21","9.17","9.15","-0.04","-0.43","88,12,509","8.05","9.18","10.48","6.30",-1.29,"17-May-2024","26.69","17-Apr-2025"
"UNIONGOLD","Commodity Gold","92.50","92.60","92.15","93.00","92.60","-","-0.40","-0.43","128","-","92.70","99.55","82.00",-1.43,"-","-","17-Apr-2025"
"METALIETF","Nifty Metal Index","9.30","9.55","9.13","9.19","9.15","9.14","-0.04","-0.44","28,39,981","2.62","9.21","10.67","7.35",8.12,"-","-","17-Apr-2025"
"HDFCNIFIT","HDFC NIFTY IT ETF","38.99","39.49","38.74","38.98","38.81","38.77","-0.17","-0.44","17,726","0.07","38.92","47.74","32.24",12.43,"17-May-2024","14.11","17-Apr-2025"
