"SYMBOL 
","UNDERLYING ASSET 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","NAV 
","52W H 
","52W L 
","30D  %CHNG 
","365 D   %CHNG 
"
"TATSILV","Tata Silver Exchange Traded Fund","32.00","32.98","31.00","29.62","32.54","-","2.92","9.86","75,08,57,711","2,386.23","31.85","34.00","8.56",32,"230.21"
"HDFCSILVER","HDFC Silver ETF","311.71","329.40","308.45","294.07","323.00","-","28.93","9.84","2,35,06,500","743.68","300.20","329.40","85.67",33.11,"231.27"
"SILVERAG","Mirae Asset Silver ETF","290.60","330.00","290.60","298.06","327.34","-","29.28","9.82","19,39,724","61.76","304.73","330.38","84.55",33.77,"-"
"SILVERBETA","UTI Silver Exchange Traded Fund (UTI Silver ETF)","310.00","327.99","310.00","296.77","323.90","-","27.13","9.14","52,80,142","168.10","299.63","327.99","85.08",33.73,"-"
"SBISILVER","SBI SILVER ETF","310.55","331.80","310.55","301.64","329.00","-","27.36","9.07","1,28,75,544","414.82","306.44","331.80","86.00",34.29,"233.30"
"AXISILVER","Axis Silver ETF","310.00","332.99","297.17","304.79","332.20","-","27.41","8.99","33,32,707","108.14","310.99","332.99","86.48",34.06,"231.62"
"SILVERIETF","Domestic Price of Silver","335.00","344.75","321.20","306.55","333.60","-","27.05","8.82","3,87,01,574","1,264.77","312.96","344.75","88.80",33.44,"233.17"
"GROWWSLVR","Commodity-Silver","310.00","329.99","309.99","301.11","327.62","-","26.51","8.80","33,82,103","108.77","306.93","340.36","94.20",30.2,"-"
"SILVERCASE","Commodity-Silver","32.00","34.70","32.00","31.23","33.95","-","2.72","8.71","8,90,12,276","299.62","24.26","34.70","9.00",34.44,"-"
"SILVERBEES","Domestic price of Silver- based on LBMA Silver daily spot fixing price","310.40","321.48","305.70","292.73","317.98","-","25.25","8.63","22,32,75,742","7,000.14","299.75","321.48","77.55",33.15,"230.13"
"SILVERADD","DSP Silver ETF","290.88","333.99","290.88","298.34","324.00","-","25.66","8.60","18,55,301","59.19","302.18","333.99","84.26",35.41,"235.10"
"MOSILVER","Domestic Price of Physical Silver","322.66","335.00","320.00","307.54","333.45","-","25.91","8.42","3,33,852","10.96","308.95","335.00","112.32",36.35,"-"
"SILVER","Physical price of Silver","315.00","336.60","314.99","306.27","332.00","-","25.73","8.40","1,38,96,026","455.93","312.50","344.40","89.00",33.92,"232.32"
"SILVER1","Kotak Silver ETF","310.00","334.75","310.00","302.32","324.00","-","21.68","7.17","60,06,062","191.89","304.02","334.75","85.87",37.64,"236.85"
"SILVERBND","Commodity - Silver","313.00","343.69","313.00","311.68","333.00","-","21.32","6.84","5,10,337","16.90","312.42","343.69","180.00",35.5,"-"
"ESILVER","Edelweiss Silver ETF","320.00","338.69","310.55","312.87","334.11","-","21.24","6.79","6,51,225","21.54","312.60","340.00","86.27",37.42,"237.33"
"SILVER360","Commodity-Silver","322.65","333.98","317.20","307.17","326.10","-","18.93","6.16","4,37,955","14.19","307.15","333.98","78.40",38.69,"-"
"HDFCMOMENT","HDFC NIFTY200 Momentum 30 ETF","30.63","31.95","30.17","30.48","31.95","-","1.47","4.82","1,30,097","0.40","30.40","33.23","25.50",-3.24,"1.03"
"EGOLD","Edelweiss Gold ETF","158.15","162.75","156.05","154.30","161.00","-","6.70","4.34","12,45,522","19.75","153.61","162.75","81.05",11.73,"87.83"
"GROWWN200","Nifty 200 Index- Total Return Index","10.92","11.69","10.92","11.21","11.69","-","0.48","4.28","1,08,113","0.12","11.23","12.45","9.00",-4.51,"-"
"METALIETF","Nifty Metal Index","11.80","12.08","11.53","11.52","11.99","-","0.47","4.08","3,11,15,907","36.69","11.52","12.08","7.35",6.18,"36.49"
"TWCGOLDETF","Commodity","158.00","158.00","152.00","150.79","156.90","-","6.11","4.05","27,502","0.42","152.57","164.00","130.43",0,"-"
"GOLDBND","Commodity - Gold","155.95","159.50","154.41","152.88","158.65","-","5.77","3.77","3,27,802","5.19","153.49","171.92","127.96",11.89,"-"
"GOLDETF","Mirae Asset Gold ETF","155.00","156.90","150.90","149.27","154.80","-","5.53","3.70","35,96,956","55.39","149.36","161.73","78.03",10.92,"88.19"
"GROWWMETAL","Nifty Metal Index","11.20","11.30","10.95","10.90","11.30","-","0.40","3.67","18,05,690","2.01","10.89","11.69","10.03",6.13,"-"
"CHOICEGOLD","Gold","152.97","160.00","152.97","152.97","158.50","-","5.53","3.62","1,61,835","2.54","152.71","160.00","120.00",11.75,"-"
"TATAGOLD","Tata Gold Exchange Traded Fund","15.52","16.79","15.27","14.94","15.48","-","0.54","3.61","26,12,14,602","401.75","15.15","16.83","7.14",11,"87.92"
"HDFCPVTBAN","HDFC NIFTY Private Bank ETF","28.47","29.50","28.12","28.47","29.47","-","1.00","3.51","77,615","0.22","28.44","29.97","23.70",-1.56,"18.18"
"GROWWPOWER","BSE Power Index - TRI","8.95","9.23","8.95","8.87","9.18","-","0.31","3.49","40,55,491","3.70","9.05","11.30","7.75",-9.3,"-"
"GOLDIETF","Gold","136.40","138.99","135.10","132.42","137.00","-","4.58","3.46","2,53,04,248","344.16","131.69","139.00","68.99",11.93,"89.69"
"GOLDBEES","Gold","130.55","134.00","129.03","127.42","131.80","-","4.38","3.44","13,96,57,546","1,830.77","127.38","135.90","65.85",11.47,"88.02"
"IVZINGOLD","Gold","13,662.85","13,977.00","13,616.60","13,394.90","13,855.00","-","460.10","3.43","1,436","1.99","13,379.45","14,260.00","7,003.00",11.85,"87.95"
"GROWWSC250","Nifty Smallcap 250 Index - TRI","9.05","9.12","8.70","8.82","9.12","-","0.30","3.40","4,43,449","0.39","8.83","10.47","8.70",-7.84,"-"
"EVIETF","Nifty EV & New Age Automotive ETF","29.50","30.50","28.92","29.47","30.47","-","1.00","3.39","1,00,022","0.29","29.35","33.75","23.56",-6.09,"-"
"METAL","Nifty Metal Total Return Index","11.81","11.93","11.61","11.53","11.92","-","0.39","3.38","1,41,30,655","16.63","11.53","12.69","7.73",6.27,"36.61"
"AXISGOLD","Gold","134.97","134.97","129.12","128.58","132.79","-","4.21","3.27","46,18,033","61.35","128.34","141.70","66.66",11.66,"88.18"
"HDFCNEXT50","HDFC NIFTY NEXT 50 ETF","67.81","70.00","67.11","67.46","69.64","-","2.18","3.23","1,01,317","0.69","67.37","73.00","57.00",-4.01,"6.59"
"SETFGOLD","Gold","133.33","136.98","133.33","131.51","135.75","-","4.24","3.22","3,21,03,257","434.26","131.23","142.22","64.96",11.75,"88.46"
"GOLDCASE","Zerodha Gold ETF","24.60","25.97","24.60","24.28","25.06","-","0.78","3.21","3,82,73,700","95.72","24.26","26.39","12.64",11.73,"88.51"
"GROWWNET","Index","9.46","9.74","9.23","9.45","9.74","-","0.29","3.07","3,13,138","0.29","9.44","12.14","9.17",-10.51,"-"
"HDFCNIF100","HDFC NIFTY 100 ETF","26.38","27.20","26.10","26.39","27.20","-","0.81","3.07","53,661","0.14","26.30","29.00","21.15",-3.69,"9.23"
"HDFCGOLD","Gold","135.17","139.88","131.88","131.88","135.90","-","4.02","3.05","2,53,03,367","342.91","131.43","144.00","69.29",11.8,"88.94"
"HDFCQUAL","HDFC NIFTY100 Quality 30 ETF","59.98","61.87","59.06","59.69","61.45","-","1.76","2.95","18,884","0.11","59.51","61.87","49.53",-1.22,"6.88"
"GOLD1","Gold","132.24","134.98","130.04","129.02","132.79","-","3.77","2.92","63,56,181","84.19","128.37","135.00","67.81",12.3,"89.29"
"BSLGOLDETF","Gold","139.91","141.00","138.18","135.83","139.70","-","3.87","2.85","22,38,584","31.21","135.18","151.38","70.65",11.87,"88.94"
"GOLDBETA","Gold","132.80","134.25","132.45","129.95","133.45","-","3.50","2.69","14,73,479","19.63","128.48","142.95","67.90",11.93,"-"
"GROWWGOLD","Commodity","153.06","155.99","153.06","150.76","154.80","-","4.04","2.68","11,98,908","18.57","150.37","159.49","78.78",11.88,"87.23"
"QGOLDHALF","Gold","131.51","134.50","130.20","128.23","131.60","-","3.37","2.63","4,39,752","5.79","127.47","136.00","67.00",12.15,"89.97"
"MOMENTUM30","Nifty 200 Momentum 30 Index","30.26","30.95","30.00","30.16","30.95","-","0.79","2.62","13,450","0.04","30.14","37.38","29.94",-3.49,"-"
"GOLDADD","DSP Gold ETF","153.73","158.16","152.75","149.98","153.90","-","3.92","2.61","6,07,333","9.36","149.36","163.69","78.15",11.77,"-"
"AONETMMQ50","Nifty Total Market Momentum Quality 50 TRI","9.59","9.60","9.26","9.29","9.53","-","0.24","2.58","1,13,667","0.11","9.26","10.50","9.21",-4.82,"-"
"AONEGOLD","Domestic price of Gold","14.90","15.00","14.70","14.47","14.83","-","0.36","2.49","38,92,940","5.77","14.35","16.08","10.00",12.26,"-"
"GOLD360","Commodity-Gold","155.70","158.40","154.10","151.50","155.20","-","3.70","2.44","2,57,263","4.00","150.03","161.00","78.20",11.15,"-"
"MOGOLD","Domestic Price of Physical Gold","156.45","159.30","154.65","152.25","155.95","-","3.70","2.43","4,58,466","7.17","152.13","159.70","96.30",11.66,"-"
