symbol,ltp,base_qty,base_amount
BSLGOLDETF,119.06,0,0.0
LOWVOLIETF,23.2,3,69.6
MOM30IETF,31.7,3,95.1
NIFTYBEES,292.93,0,0.0
MOMENTUM50,51.99,2,103.98
ALPHA,48.08,1,48.08
AUTOIETF,29.24,1,29.24
ENERGY,34.76,6,208.56
HEALTHY,15.22,8,121.76
INFRAIETF,96.42,1,96.42
ITBEES,41.65,3,124.94999999999999
METALIETF,11.19,16,179.04
MOM100,64.86,2,129.72
MIDCAPETF,22.6,5,113.0
NEXT50IETF,72.74,1,72.74
PHARMABEES,23.54,3,70.62
ABSLPSE,10.15,16,162.4
PSUBNKBEES,95.65,0,0.0
MOREALTY,89.26,0,0.0
NV20IETF,15.17,4,60.68
MULTICAP,16.47,6,98.82
OILIETF,11.75,13,152.75
TATSILV,22.65,17,385.04999999999995
