SYMBOL,UNDERLYING_ASSET,%CHNG,VOLUME,LTP,CATEGORY,DATE
SILVER360,Commodity-Silver,6.30,"1,11,051",258.37,SILVER,2026-02-23
GROWWSLVR,Commodity-Silver,6.03,"1,31,16,430",25.68,SILVER,2026-02-23
TATSILV,Tata Silver Exchange Traded Fund,5.88,"27,11,88,535",25.39,SILVER,2026-02-23
AXISILVER,Axis Silver ETF,5.83,"11,09,914",259.45,SILVER,2026-02-23
SILVERAG,Mirae Asset Silver ETF,5.81,"6,12,360",254.63,SILVER,2026-02-23
HDFCSILVER,HDFC Silver ETF,5.78,"1,41,42,836",250.25,SILVER,2026-02-23
SILVERIETF,Domestic Price of Silver,5.74,"1,42,11,691",260.99,SILVER,2026-02-23
SILVERADD,DSP Silver ETF,5.71,"7,73,318",252.15,SILVER,2026-02-23
SILVERCASE,Commodity-Silver,5.70,"3,32,90,888",26.50,SILVER,2026-02-23
SILVER,Physical price of Silver,5.67,"61,92,315",260.30,SILVER,2026-02-23
SILVER1,Kotak Silver ETF,5.65,"21,38,980",253.60,SILVER,2026-02-23
SILVERBETA,UTI Silver Exchange Traded Fund (UTI Silver ETF),5.64,"22,14,836",252.32,SILVER,2026-02-23
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,5.61,"11,36,04,978",249.90,SILVER,2026-02-23
SBISILVER,SBI SILVER ETF,5.60,"62,32,042",255.59,SILVER,2026-02-23
ESILVER,Edelweiss Silver ETF,5.45,"1,89,995",260.10,SILVER,2026-02-23
SILVERBND,Commodity - Silver,5.26,"1,32,931",259.73,SILVER,2026-02-23
MOSILVER,Domestic Price of Physical Silver,5.15,"1,65,939",258.00,SILVER,2026-02-23
UNIONGOLD,Commodity Gold,3.03,"18,099",154.95,GOLD,2026-02-23
SBIETFCON,Nifty India Consumption Index,2.81,"27,360",124.00,FMCG,2026-02-23
IVZINGOLD,Gold,2.35,810,"13,740.00",GOLD,2026-02-23
BBNPPGOLD,Baroda BNP Paribas Gold ETF,2.32,"52,931",152.25,GOLD,2026-02-23
GOLD1,Gold,2.21,"46,44,580",131.48,GOLD,2026-02-23
EGOLD,Edelweiss Gold ETF,2.15,"37,936",157.00,GOLD,2026-02-23
AONEGOLD,Domestic price of Gold,2.09,"12,93,670",14.64,GOLD,2026-02-23
