date,time,invested_amount,etf_count,etf_details
2026-01-07,16:59:07,1148.09,3,"[{""SYMBOL"": ""GOLDSHARE"", ""USER_QTY"": 3, ""USER_AMOUNT"": 277.20000000000005}, {""SYMBOL"": ""AUTOIETF"", ""USER_QTY"": 9, ""USER_AMOUNT"": 248.49}, {""SYMBOL"": ""AXISILVER"", ""USER_QTY"": 5, ""USER_AMOUNT"": 622.4}]"
2026-01-07,22:00:27,1148.09,3,"[{""SYMBOL"": ""GOLDSHARE"", ""USER_QTY"": 3, ""USER_AMOUNT"": 277.20000000000005}, {""SYMBOL"": ""AUTOIETF"", ""USER_QTY"": 9, ""USER_AMOUNT"": 248.49}, {""SYMBOL"": ""AXISILVER"", ""USER_QTY"": 5, ""USER_AMOUNT"": 622.4}]"
2026-01-10,10:06:53,2322.51,23,"[{""SYMBOL"": ""BSLGOLDETF"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""LOWVOLIETF"", ""USER_QTY"": 3, ""USER_AMOUNT"": 69.6}, {""SYMBOL"": ""MOM30IETF"", ""USER_QTY"": 3, ""USER_AMOUNT"": 95.1}, {""SYMBOL"": ""NIFTYBEES"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""MOMENTUM50"", ""USER_QTY"": 2, ""USER_AMOUNT"": 103.98}, {""SYMBOL"": ""ALPHA"", ""USER_QTY"": 1, ""USER_AMOUNT"": 48.08}, {""SYMBOL"": ""AUTOIETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 29.24}, {""SYMBOL"": ""ENERGY"", ""USER_QTY"": 6, ""USER_AMOUNT"": 208.56}, {""SYMBOL"": ""HEALTHY"", ""USER_QTY"": 8, ""USER_AMOUNT"": 121.76}, {""SYMBOL"": ""INFRAIETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 96.42}, {""SYMBOL"": ""ITBEES"", ""USER_QTY"": 3, ""USER_AMOUNT"": 124.94999999999999}, {""SYMBOL"": ""METALIETF"", ""USER_QTY"": 16, ""USER_AMOUNT"": 179.04}, {""SYMBOL"": ""MOM100"", ""USER_QTY"": 2, ""USER_AMOUNT"": 129.72}, {""SYMBOL"": ""MIDCAPETF"", ""USER_QTY"": 5, ""USER_AMOUNT"": 113.0}, {""SYMBOL"": ""NEXT50IETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 72.74}, {""SYMBOL"": ""PHARMABEES"", ""USER_QTY"": 3, ""USER_AMOUNT"": 70.62}, {""SYMBOL"": ""ABSLPSE"", ""USER_QTY"": 16, ""USER_AMOUNT"": 162.4}, {""SYMBOL"": ""PSUBNKBEES"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""MOREALTY"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""NV20IETF"", ""USER_QTY"": 4, ""USER_AMOUNT"": 60.68}, {""SYMBOL"": ""MULTICAP"", ""USER_QTY"": 6, ""USER_AMOUNT"": 98.82}, {""SYMBOL"": ""OILIETF"", ""USER_QTY"": 13, ""USER_AMOUNT"": 152.75}, {""SYMBOL"": ""TATSILV"", ""USER_QTY"": 17, ""USER_AMOUNT"": 385.04999999999995}]"
2026-01-10,10:28:27,2322.51,23,"[{""SYMBOL"": ""BSLGOLDETF"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""LOWVOLIETF"", ""USER_QTY"": 3, ""USER_AMOUNT"": 69.6}, {""SYMBOL"": ""MOM30IETF"", ""USER_QTY"": 3, ""USER_AMOUNT"": 95.1}, {""SYMBOL"": ""NIFTYBEES"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""MOMENTUM50"", ""USER_QTY"": 2, ""USER_AMOUNT"": 103.98}, {""SYMBOL"": ""ALPHA"", ""USER_QTY"": 1, ""USER_AMOUNT"": 48.08}, {""SYMBOL"": ""AUTOIETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 29.24}, {""SYMBOL"": ""ENERGY"", ""USER_QTY"": 6, ""USER_AMOUNT"": 208.56}, {""SYMBOL"": ""HEALTHY"", ""USER_QTY"": 8, ""USER_AMOUNT"": 121.76}, {""SYMBOL"": ""INFRAIETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 96.42}, {""SYMBOL"": ""ITBEES"", ""USER_QTY"": 3, ""USER_AMOUNT"": 124.94999999999999}, {""SYMBOL"": ""METALIETF"", ""USER_QTY"": 16, ""USER_AMOUNT"": 179.04}, {""SYMBOL"": ""MOM100"", ""USER_QTY"": 2, ""USER_AMOUNT"": 129.72}, {""SYMBOL"": ""MIDCAPETF"", ""USER_QTY"": 5, ""USER_AMOUNT"": 113.0}, {""SYMBOL"": ""NEXT50IETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 72.74}, {""SYMBOL"": ""PHARMABEES"", ""USER_QTY"": 3, ""USER_AMOUNT"": 70.62}, {""SYMBOL"": ""ABSLPSE"", ""USER_QTY"": 16, ""USER_AMOUNT"": 162.4}, {""SYMBOL"": ""PSUBNKBEES"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""MOREALTY"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""NV20IETF"", ""USER_QTY"": 4, ""USER_AMOUNT"": 60.68}, {""SYMBOL"": ""MULTICAP"", ""USER_QTY"": 6, ""USER_AMOUNT"": 98.82}, {""SYMBOL"": ""OILIETF"", ""USER_QTY"": 13, ""USER_AMOUNT"": 152.75}, {""SYMBOL"": ""TATSILV"", ""USER_QTY"": 17, ""USER_AMOUNT"": 385.04999999999995}]"
2026-01-11,08:47:27,2309.64,25,"[{""SYMBOL"": ""ALPHA"", ""USER_QTY"": 1, ""USER_AMOUNT"": 48.08}, {""SYMBOL"": ""AUTOIETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 29.24}, {""SYMBOL"": ""OILIETF"", ""USER_QTY"": 13, ""USER_AMOUNT"": 152.75}, {""SYMBOL"": ""FINIETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 32.6}, {""SYMBOL"": ""AONEGOLD"", ""USER_QTY"": 6, ""USER_AMOUNT"": 75.96000000000001}, {""SYMBOL"": ""PHARMABEES"", ""USER_QTY"": 3, ""USER_AMOUNT"": 70.62}, {""SYMBOL"": ""INFRAIETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 96.42}, {""SYMBOL"": ""ITBEES"", ""USER_QTY"": 3, ""USER_AMOUNT"": 124.94999999999999}, {""SYMBOL"": ""LOWVOLIETF"", ""USER_QTY"": 3, ""USER_AMOUNT"": 69.6}, {""SYMBOL"": ""METALIETF"", ""USER_QTY"": 16, ""USER_AMOUNT"": 179.04}, {""SYMBOL"": ""MOM30IETF"", ""USER_QTY"": 2, ""USER_AMOUNT"": 63.4}, {""SYMBOL"": ""MULTICAP"", ""USER_QTY"": 6, ""USER_AMOUNT"": 98.82}, {""SYMBOL"": ""TOP100CASE"", ""USER_QTY"": 8, ""USER_AMOUNT"": 88.4}, {""SYMBOL"": ""GROWWN200"", ""USER_QTY"": 9, ""USER_AMOUNT"": 105.21}, {""SYMBOL"": ""GROWWNIFTY"", ""USER_QTY"": 6, ""USER_AMOUNT"": 62.400000000000006}, {""SYMBOL"": ""SBIBPB"", ""USER_QTY"": 2, ""USER_AMOUNT"": 100.0}, {""SYMBOL"": ""MIDCAPETF"", ""USER_QTY"": 5, ""USER_AMOUNT"": 113.0}, {""SYMBOL"": ""NEXT50IETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 72.74}, {""SYMBOL"": ""PSUBNKIETF"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""TOP10ADD"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""GROWWRAIL"", ""USER_QTY"": 4, ""USER_AMOUNT"": 138.88}, {""SYMBOL"": ""MOREALTY"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""TATSILV"", ""USER_QTY"": 17, ""USER_AMOUNT"": 385.04999999999995}, {""SYMBOL"": ""SMALLCAP"", ""USER_QTY"": 2, ""USER_AMOUNT"": 87.42}, {""SYMBOL"": ""MOVALUE"", ""USER_QTY"": 1, ""USER_AMOUNT"": 115.06}]"
2026-01-11,12:19:36,2309.64,25,"[{""SYMBOL"": ""ALPHA"", ""USER_QTY"": 1, ""USER_AMOUNT"": 48.08}, {""SYMBOL"": ""AUTOIETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 29.24}, {""SYMBOL"": ""OILIETF"", ""USER_QTY"": 13, ""USER_AMOUNT"": 152.75}, {""SYMBOL"": ""FINIETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 32.6}, {""SYMBOL"": ""AONEGOLD"", ""USER_QTY"": 6, ""USER_AMOUNT"": 75.96000000000001}, {""SYMBOL"": ""PHARMABEES"", ""USER_QTY"": 3, ""USER_AMOUNT"": 70.62}, {""SYMBOL"": ""INFRAIETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 96.42}, {""SYMBOL"": ""ITBEES"", ""USER_QTY"": 3, ""USER_AMOUNT"": 124.94999999999999}, {""SYMBOL"": ""LOWVOLIETF"", ""USER_QTY"": 3, ""USER_AMOUNT"": 69.6}, {""SYMBOL"": ""METALIETF"", ""USER_QTY"": 16, ""USER_AMOUNT"": 179.04}, {""SYMBOL"": ""MOM30IETF"", ""USER_QTY"": 2, ""USER_AMOUNT"": 63.4}, {""SYMBOL"": ""MULTICAP"", ""USER_QTY"": 6, ""USER_AMOUNT"": 98.82}, {""SYMBOL"": ""TOP100CASE"", ""USER_QTY"": 8, ""USER_AMOUNT"": 88.4}, {""SYMBOL"": ""GROWWN200"", ""USER_QTY"": 9, ""USER_AMOUNT"": 105.21}, {""SYMBOL"": ""GROWWNIFTY"", ""USER_QTY"": 6, ""USER_AMOUNT"": 62.400000000000006}, {""SYMBOL"": ""SBIBPB"", ""USER_QTY"": 2, ""USER_AMOUNT"": 100.0}, {""SYMBOL"": ""MIDCAPETF"", ""USER_QTY"": 5, ""USER_AMOUNT"": 113.0}, {""SYMBOL"": ""NEXT50IETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 72.74}, {""SYMBOL"": ""PSUBNKIETF"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""TOP10ADD"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""GROWWRAIL"", ""USER_QTY"": 4, ""USER_AMOUNT"": 138.88}, {""SYMBOL"": ""MOREALTY"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""TATSILV"", ""USER_QTY"": 17, ""USER_AMOUNT"": 385.04999999999995}, {""SYMBOL"": ""SMALLCAP"", ""USER_QTY"": 2, ""USER_AMOUNT"": 87.42}, {""SYMBOL"": ""MOVALUE"", ""USER_QTY"": 1, ""USER_AMOUNT"": 115.06}]"
2026-01-11,12:54:45,2309.64,25,"[{""SYMBOL"": ""ALPHA"", ""USER_QTY"": 1, ""USER_AMOUNT"": 48.08}, {""SYMBOL"": ""AUTOIETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 29.24}, {""SYMBOL"": ""OILIETF"", ""USER_QTY"": 13, ""USER_AMOUNT"": 152.75}, {""SYMBOL"": ""FINIETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 32.6}, {""SYMBOL"": ""AONEGOLD"", ""USER_QTY"": 6, ""USER_AMOUNT"": 75.96000000000001}, {""SYMBOL"": ""PHARMABEES"", ""USER_QTY"": 3, ""USER_AMOUNT"": 70.62}, {""SYMBOL"": ""INFRAIETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 96.42}, {""SYMBOL"": ""ITBEES"", ""USER_QTY"": 3, ""USER_AMOUNT"": 124.94999999999999}, {""SYMBOL"": ""LOWVOLIETF"", ""USER_QTY"": 3, ""USER_AMOUNT"": 69.6}, {""SYMBOL"": ""METALIETF"", ""USER_QTY"": 16, ""USER_AMOUNT"": 179.04}, {""SYMBOL"": ""MOM30IETF"", ""USER_QTY"": 2, ""USER_AMOUNT"": 63.4}, {""SYMBOL"": ""MULTICAP"", ""USER_QTY"": 6, ""USER_AMOUNT"": 98.82}, {""SYMBOL"": ""TOP100CASE"", ""USER_QTY"": 8, ""USER_AMOUNT"": 88.4}, {""SYMBOL"": ""GROWWN200"", ""USER_QTY"": 9, ""USER_AMOUNT"": 105.21}, {""SYMBOL"": ""GROWWNIFTY"", ""USER_QTY"": 6, ""USER_AMOUNT"": 62.400000000000006}, {""SYMBOL"": ""SBIBPB"", ""USER_QTY"": 2, ""USER_AMOUNT"": 100.0}, {""SYMBOL"": ""MIDCAPETF"", ""USER_QTY"": 5, ""USER_AMOUNT"": 113.0}, {""SYMBOL"": ""NEXT50IETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 72.74}, {""SYMBOL"": ""PSUBNKIETF"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""TOP10ADD"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""GROWWRAIL"", ""USER_QTY"": 4, ""USER_AMOUNT"": 138.88}, {""SYMBOL"": ""MOREALTY"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""TATSILV"", ""USER_QTY"": 17, ""USER_AMOUNT"": 385.04999999999995}, {""SYMBOL"": ""SMALLCAP"", ""USER_QTY"": 2, ""USER_AMOUNT"": 87.42}, {""SYMBOL"": ""MOVALUE"", ""USER_QTY"": 1, ""USER_AMOUNT"": 115.06}]"
2026-01-11,13:00:11,2309.64,25,"[{""SYMBOL"": ""ALPHA"", ""USER_QTY"": 1, ""USER_AMOUNT"": 48.08}, {""SYMBOL"": ""AUTOIETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 29.24}, {""SYMBOL"": ""OILIETF"", ""USER_QTY"": 13, ""USER_AMOUNT"": 152.75}, {""SYMBOL"": ""FINIETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 32.6}, {""SYMBOL"": ""AONEGOLD"", ""USER_QTY"": 6, ""USER_AMOUNT"": 75.96000000000001}, {""SYMBOL"": ""PHARMABEES"", ""USER_QTY"": 3, ""USER_AMOUNT"": 70.62}, {""SYMBOL"": ""INFRAIETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 96.42}, {""SYMBOL"": ""ITBEES"", ""USER_QTY"": 3, ""USER_AMOUNT"": 124.94999999999999}, {""SYMBOL"": ""LOWVOLIETF"", ""USER_QTY"": 3, ""USER_AMOUNT"": 69.6}, {""SYMBOL"": ""METALIETF"", ""USER_QTY"": 16, ""USER_AMOUNT"": 179.04}, {""SYMBOL"": ""MOM30IETF"", ""USER_QTY"": 2, ""USER_AMOUNT"": 63.4}, {""SYMBOL"": ""MULTICAP"", ""USER_QTY"": 6, ""USER_AMOUNT"": 98.82}, {""SYMBOL"": ""TOP100CASE"", ""USER_QTY"": 8, ""USER_AMOUNT"": 88.4}, {""SYMBOL"": ""GROWWN200"", ""USER_QTY"": 9, ""USER_AMOUNT"": 105.21}, {""SYMBOL"": ""GROWWNIFTY"", ""USER_QTY"": 6, ""USER_AMOUNT"": 62.400000000000006}, {""SYMBOL"": ""SBIBPB"", ""USER_QTY"": 2, ""USER_AMOUNT"": 100.0}, {""SYMBOL"": ""MIDCAPETF"", ""USER_QTY"": 5, ""USER_AMOUNT"": 113.0}, {""SYMBOL"": ""NEXT50IETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 72.74}, {""SYMBOL"": ""PSUBNKIETF"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""TOP10ADD"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""GROWWRAIL"", ""USER_QTY"": 4, ""USER_AMOUNT"": 138.88}, {""SYMBOL"": ""MOREALTY"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""TATSILV"", ""USER_QTY"": 17, ""USER_AMOUNT"": 385.04999999999995}, {""SYMBOL"": ""SMALLCAP"", ""USER_QTY"": 2, ""USER_AMOUNT"": 87.42}, {""SYMBOL"": ""MOVALUE"", ""USER_QTY"": 1, ""USER_AMOUNT"": 115.06}]"
2026-01-11,13:06:22,2309.64,25,"[{""SYMBOL"": ""ALPHA"", ""USER_QTY"": 1, ""USER_AMOUNT"": 48.08}, {""SYMBOL"": ""AUTOIETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 29.24}, {""SYMBOL"": ""OILIETF"", ""USER_QTY"": 13, ""USER_AMOUNT"": 152.75}, {""SYMBOL"": ""FINIETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 32.6}, {""SYMBOL"": ""AONEGOLD"", ""USER_QTY"": 6, ""USER_AMOUNT"": 75.96000000000001}, {""SYMBOL"": ""PHARMABEES"", ""USER_QTY"": 3, ""USER_AMOUNT"": 70.62}, {""SYMBOL"": ""INFRAIETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 96.42}, {""SYMBOL"": ""ITBEES"", ""USER_QTY"": 3, ""USER_AMOUNT"": 124.94999999999999}, {""SYMBOL"": ""LOWVOLIETF"", ""USER_QTY"": 3, ""USER_AMOUNT"": 69.6}, {""SYMBOL"": ""METALIETF"", ""USER_QTY"": 16, ""USER_AMOUNT"": 179.04}, {""SYMBOL"": ""MOM30IETF"", ""USER_QTY"": 2, ""USER_AMOUNT"": 63.4}, {""SYMBOL"": ""MULTICAP"", ""USER_QTY"": 6, ""USER_AMOUNT"": 98.82}, {""SYMBOL"": ""TOP100CASE"", ""USER_QTY"": 8, ""USER_AMOUNT"": 88.4}, {""SYMBOL"": ""GROWWN200"", ""USER_QTY"": 9, ""USER_AMOUNT"": 105.21}, {""SYMBOL"": ""GROWWNIFTY"", ""USER_QTY"": 6, ""USER_AMOUNT"": 62.400000000000006}, {""SYMBOL"": ""SBIBPB"", ""USER_QTY"": 2, ""USER_AMOUNT"": 100.0}, {""SYMBOL"": ""MIDCAPETF"", ""USER_QTY"": 5, ""USER_AMOUNT"": 113.0}, {""SYMBOL"": ""NEXT50IETF"", ""USER_QTY"": 1, ""USER_AMOUNT"": 72.74}, {""SYMBOL"": ""PSUBNKIETF"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""TOP10ADD"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""GROWWRAIL"", ""USER_QTY"": 4, ""USER_AMOUNT"": 138.88}, {""SYMBOL"": ""MOREALTY"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""TATSILV"", ""USER_QTY"": 17, ""USER_AMOUNT"": 385.04999999999995}, {""SYMBOL"": ""SMALLCAP"", ""USER_QTY"": 2, ""USER_AMOUNT"": 87.42}, {""SYMBOL"": ""MOVALUE"", ""USER_QTY"": 1, ""USER_AMOUNT"": 115.06}]"
2026-01-11,13:20:37,479.25,9,"[{""SYMBOL"": ""ALPHAETF"", ""USER_QTY"": 2, ""USER_AMOUNT"": 49.7}, {""SYMBOL"": ""MOCAPITAL"", ""USER_QTY"": 1, ""USER_AMOUNT"": 46.0}, {""SYMBOL"": ""MNC"", ""USER_QTY"": 2, ""USER_AMOUNT"": 62.64}, {""SYMBOL"": ""MULTICAP"", ""USER_QTY"": 3, ""USER_AMOUNT"": 48.900000000000006}, {""SYMBOL"": ""GROWWN200"", ""USER_QTY"": 5, ""USER_AMOUNT"": 58.05}, {""SYMBOL"": ""ABSLPSE"", ""USER_QTY"": 6, ""USER_AMOUNT"": 60.17999999999999}, {""SYMBOL"": ""GROWWRAIL"", ""USER_QTY"": 2, ""USER_AMOUNT"": 68.14}, {""SYMBOL"": ""MOREALTY"", ""USER_QTY"": 0, ""USER_AMOUNT"": 0.0}, {""SYMBOL"": ""SMALLCAP"", ""USER_QTY"": 2, ""USER_AMOUNT"": 85.64}]"
