Index Name,Average Fall (%)
NIFTY FINSRV25 50,-0.914543124
NIFTY MID SELECT,-1.140218845
NIFTY100 QUALTY30,-0.923489042
NIFTY PVT BANK,-0.981142891
NIFTY100 EQL WGT,-1.097545777
NIFTY100 LOWVOL30,-6.323846317
NIFTY GROWSECT 15,-3.62238974
NIFTY MID LIQ 15,-3.71598361
NIFTY NEXT 50,-1.095097842
NIFTY GS 8 13YR,-6.426710203
NIFTY GS 10YR CLN,-0.190270302
NIFTY GS 10YR,-0.242148435
NIFTY GS 11 15YR,-0.205451797
NIFTY GS 15YRPLUS,-0.370229
NIFTY 500,-0.751481868
NIFTY CPSE,-1.037325366
NIFTY GS 4 8YR,-13.14812293
NIFTY100 LIQ 15,-7.611070769
NIFTY SMLCAP 50,-1.212063381
NIFTY SMLCAP 100,-1.099031151
NIFTY SMLCAP 250,-1.001438113
NIFTY50 VALUE 20,-0.718480962
NIFTY ALPHA 50,-1.3
NIFTY MIDCAP 150,-0.978383288
NIFTY MIDSML 400,-1.182879523
NIFTY50 DIV POINT,-83.29581246
NIFTY200 QUALTY30,-0.751082688
HANGSENG BEES-NAV,-0.815723816
INDIA VIX,-3.302856828
NIFTY 200,-0.744124703
NIFTY MEDIA,-2.25339338
NIFTY AUTO,-0.974425783
NIFTY METAL,-1.31798159
NIFTY PSE,-0.994429331
NIFTY PSU BANK,-1.470814424
NIFTY SERV SECTOR,-0.788581335
NIFTY ENERGY,-0.961573563
NIFTY FMCG,-1.2
NIFTY MNC,-0.714041062
NIFTY PHARMA,-0.898466115
NIFTY INFRA,-0.887310126
NIFTY IT,-0.901578783
NIFTY MIDCAP 50,-1.067899231
NIFTY REALTY,-1.407823133
NIFTY50 TR 1X INV,-0.700587888
NIFTY FIN SERVICE,-0.916253686
NIFTY50 PR 1X INV,-0.698197699
NIFTY50 PR 2X LEV,-1.447882576
NIFTY50 TR 2X LEV,-1.44930034
NIFTY 100,-0.737096876
NIFTY COMMODITIES,-9.147260485
NIFTY CONSUMPTION,-0.688189615
NIFTY DIV OPPS 50,-0.72907021
NIFTY 50,-0.78431513
NIFTY BANK,-0.987604184
NIFTY MIDCAP 100,-0.944591688
NIFTY50 EQL WGT,-0.803325755
NIFTY GS COMPSITE,-0.102375553
NIFTY MIDSML HLTH,-0.765702223
NIFTY MULTI INFRA,-0.871146609
NIFTY MULTI MFG,-0.86681006
NIFTY TATA 25 CAP,-0.956436565
NIFTY200 ALPHA 30,-0.995940319
NIFTYM150MOMNTM50,-0.893609869
NIFTY IND DIGITAL,-0.857783012
NIFTY INDIA MFG,-0.841628478
NIFTY M150 QLTY50,-0.738513408
NIFTY100 ESG,-0.749054378
NIFTY LARGEMID250,-0.76230804
NIFTY MICROCAP250,-1.074104087
NIFTY TOTAL MKT,-0.755550238
NIFTY100ESGSECLDR,-0.731856983
NIFTY200MOMENTM30,-0.90931797
NIFTY CONSR DURBL,-0.831966399
NIFTY HEALTHCARE,-0.84771575
NIFTY OIL AND GAS,-0.978415909
NIFTY500 MULTICAP,-0.821151647
NIFTY ALPHALOWVOL,-0.84675219
GOLD,-0.731856983
SILVER,-1.074104087
